Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000158711,ELK4,7,-1.0513,4,-1.8265,4,-1.8322,16,0.29902,16,0.27001,22,0.80371,8,-0.7467,16,0.29686,37,1.73554
ENSG00000069275,NUCKS1,156,-1.4549,315,-0.3815,283,-0.6036,634,0.75570,521,0.42473,506,0.37765,301,-0.4539,475,0.27331,537,0.47600
ENSG00000117280,RAB29,17,-0.5067,11,-1.1541,20,-0.3131,19,-0.3841,48,1.15979,19,-0.3588,27,0.21486,21,-0.2287,37,0.71780
ENSG00000133065,SLC41A1,6,-2.6792,10,-1.9001,19,-1.0787,18,-1.0708,31,-0.2868,24,-0.6470,32,-0.2047,176,3.01911,32,-0.2321
ENSG00000266028,SRGAP2,29,-0.5881,23,-0.9225,40,-0.1346,43,0.00859,42,-0.0384,53,0.35651,43,0.02536,59,0.51162,55,0.41815
ENSG00000162889,MAPKAPK2,20,-0.8107,24,-0.5137,19,-0.9218,49,0.61352,31,-0.1177,36,0.08922,20,-0.8069,77,1.38837,41,0.33215
ENSG00000123836,PFKFB2,14,-1.4032,21,-0.7409,16,-1.2421,18,-0.9725,58,0.84566,22,-0.6815,17,-1.0945,130,2.41405,33,-0.0727
ENSG00000180667,YOD1,3,-2.1270,8,-0.5271,15,0.37472,8,-0.6748,13,0.12591,12,-0.0200,10,-0.2782,32,1.65310,5,-1.2729
ENSG00000196352,CD55,141,1.26228,89,0.46536,81,0.35657,49,-0.4817,43,-0.7010,40,-0.8130,45,-0.6012,39,-0.8450,60,-0.1604
ENSG00000117335,CD46,98,0.67363,47,-0.5084,70,0.12169,53,-0.3371,31,-1.1514,30,-1.1836,57,-0.2203,66,0.02048,130,1.16708
ENSG00000076356,PLXNA2,24,-0.2179,45,0.78579,30,0.15426,14,-1.0475,13,-1.1109,17,-0.7308,21,-0.4142,45,0.79171,37,0.47047
ENSG00000008118,CAMK1G,80,1.50246,31,-0.0710,76,1.74936,10,-1.7846,7,-2.1999,12,-1.4804,15,-1.2396,13,-1.4423,10,-1.8024
ENSG00000117594,HSD11B1,6,-1.3530,5,-1.6563,0,-4.9399,67,2.74717,7,-1.1862,6,-1.4654,5,-1.5238,0,-7.1815,57,2.37558
ENSG00000117597,UTP25,13,-0.4892,25,0.58246,25,0.70773,15,-0.2769,12,-0.5447,11,-0.6481,18,0.08772,18,0.03039,11,-0.6630
ENSG00000143469,SYT14,14,-0.7099,34,0.64204,23,0.00060,20,-0.2193,16,-0.5085,17,-0.4769,27,0.26983,30,0.44475,24,0.08687
ENSG00000203706,SERTAD4-AS1,11,-0.3075,19,0.50746,16,0.24076,21,0.63027,17,0.34770,8,-0.7713,19,0.51117,3,-2.1810,8,-0.7792
ENSG00000117625,RCOR3,21,-0.9711,61,0.70790,39,-0.0033,41,0.06945,26,-0.6447,29,-0.4860,36,-0.1241,39,-0.0333,63,0.76025
ENSG00000170385,SLC30A1,15,-1.0661,13,-1.3298,25,-0.3740,15,-1.1182,24,-0.4325,28,-0.1670,30,-0.0329,64,1.21181,72,1.41127
ENSG00000123684,LPGAT1,38,-0.6488,77,0.46280,74,0.45131,74,0.40407,23,-1.3769,67,0.22985,55,-0.0729,46,-0.3703,50,-0.2197
ENSG00000066027,PPP2R5A,18,-1.1572,11,-1.9516,20,-1.1395,48,0.31105,82,1.23411,47,0.29595,67,0.87069,39,-0.0201,42,0.10439
ENSG00000065600,PACC1,3,-2.8065,25,0.10102,22,-0.1589,99,2.63889,20,-0.2888,8,-1.6176,5,-2.3148,7,-1.8626,28,0.24181
ENSG00000117691,NENF,143,-0.4602,238,0.35242,212,0.18565,388,1.19315,168,-0.2081,97,-1.0568,140,-0.4910,148,-0.4065,168,-0.2033
ENSG00000117697,NSL1,15,-1.6604,56,0.41252,34,-0.4534,79,0.98994,41,-0.0937,29,-0.6397,39,-0.1673,60,0.50827,50,0.22107
ENSG00000203705,TATDN3,23,-0.1967,37,0.60059,30,0.29724,23,-0.1617,29,0.22178,26,0.00969,23,-0.1475,15,-0.8175,19,-0.4280
ENSG00000162769,FLVCR1,33,0.02821,75,1.45415,46,0.68808,11,-1.5809,11,-1.5688,33,0.04174,22,-0.5518,19,-0.7935,23,-0.5081
ENSG00000174606,ANGEL2,4,-1.8880,15,-0.1626,18,0.21474,18,0.13629,19,0.26620,21,0.44348,14,-0.2383,20,0.30565,15,-0.1526
ENSG00000136643,RPS6KC1,44,0.87348,41,0.74885,29,0.19096,26,0.01245,25,-0.0151,15,-0.8113,17,-0.5980,20,-0.3683,11,-1.2552
ENSG00000117707,PROX1,0,-6.7326,3,-1.8265,3,-2.2315,64,3.28804,13,0.09223,13,0.11044,3,-1.8684,14,0.19126,5,-1.3250
ENSG00000143499,SMYD2,37,-0.2270,73,0.90581,52,0.37366,20,-1.1555,19,-1.2049,26,-0.7342,33,-0.3797,63,0.65165,48,0.19651
ENSG00000152104,PTPN14,3,-2.2112,2,-2.7760,3,-2.2063,3,-2.2483,25,0.85752,26,0.94854,11,-0.4496,36,1.54370,33,1.36318
ENSG00000136636,KCTD3,15,-1.0513,17,-0.8726,11,-1.6066,55,1.03376,27,-0.1229,24,-0.2919,31,0.06863,57,1.10046,47,0.75764
ENSG00000196482,ESRRG,22,0.44188,35,1.19261,10,-0.8770,9,-1.0089,9,-0.9960,28,0.81223,18,0.10932,26,0.69552,3,-2.5478
ENSG00000092978,GPATCH2,23,0.41125,35,1.10275,14,-0.3979,9,-0.9968,16,-0.2152,19,0.11387,16,-0.2148,19,0.10365,14,-0.3997
ENSG00000067533,RRP15,9,-1.2314,20,0.01347,14,-0.5780,23,0.18313,27,0.46719,31,0.70713,19,-0.0843,14,-0.5078,29,0.60392
ENSG00000143353,LYPLAL1,46,0.47045,35,0.02234,35,0.04574,25,-0.4756,38,0.15563,28,-0.3023,23,-0.6207,40,0.22530,38,0.16729
ENSG00000136628,EPRS,73,-0.4868,168,0.87495,110,0.19028,80,-0.3259,102,0.05452,79,-0.3483,53,-0.9778,86,-0.2175,128,0.42157
ENSG00000162813,BPNT1,1,-3.8953,18,0.37271,19,0.58132,30,1.28759,13,-0.1496,6,-1.2779,7,-1.0339,17,0.30577,10,-0.4726
ENSG00000067704,IARS2,76,0.32248,88,0.56735,56,-0.2020,44,-0.5309,54,-0.2305,43,-0.5643,33,-0.9973,141,1.38689,32,-1.0059
ENSG00000118873,RAB3GAP2,116,0.78718,82,0.21064,99,0.61154,39,-0.9384,36,-1.0838,79,0.14475,48,-0.6327,68,-0.0831,52,-0.4972
ENSG00000116141,MARK1,43,0.17599,50,0.40580,70,1.17531,10,-1.9750,14,-1.5556,40,0.04050,37,-0.0790,16,-1.3366,37,-0.0732
ENSG00000117791,MARC2,2,-2.5554,19,0.81725,10,-0.3178,1,-3.5418,18,0.73599,4,-1.5643,21,0.98521,5,-1.1518,26,1.35165
ENSG00000186205,MARC1,16,-0.1707,24,0.45189,16,-0.1851,9,-0.9572,17,-0.0423,26,0.57478,28,0.74777,11,-0.6797,15,-0.3081
ENSG00000154305,MIA3,34,-1.1517,88,0.33088,91,0.43386,33,-1.1905,59,-0.3065,65,-0.1594,83,0.22497,65,-0.1616,110,0.69736
ENSG00000186063,AIDA,49,-0.4841,59,-0.2062,73,0.16806,62,-0.1220,90,0.47748,46,-0.5886,61,-0.1440,43,-0.6905,113,0.86251
ENSG00000162819,BROX,46,-0.1974,24,-1.1783,51,-0.0601,71,0.49345,39,-0.4548,30,-0.8341,50,-0.0592,80,0.68660,81,0.71732
ENSG00000143502,SUSD4,54,0.58523,54,0.57627,58,0.81718,23,-0.7605,22,-0.8561,41,0.10626,58,0.69067,7,-2.4862,4,-3.2569
ENSG00000162909,CAPN2,45,-0.3860,37,-0.6804,38,-0.6884,46,-0.3390,54,-0.0976,42,-0.4770,62,0.11321,119,1.23285,92,0.77120
ENSG00000143514,TP53BP2,26,-1.1967,41,-0.5073,25,-1.3288,31,-0.9347,115,1.19927,37,-0.6697,84,0.66679,106,1.05358,73,0.42623
ENSG00000143756,FBXO28,37,0.07761,43,0.33199,44,0.38036,16,-1.1665,26,-0.4886,25,-0.5652,38,0.13389,37,0.09319,43,0.31997
ENSG00000143753,DEGS1,85,-0.1874,139,0.62497,136,0.67991,114,0.29413,56,-0.8362,47,-1.0921,73,-0.4138,84,-0.1941,81,-0.2527
ENSG00000143771,CNIH4,57,0.53544,63,0.68348,46,0.19977,32,-0.3748,19,-1.1674,24,-0.8224,39,-0.0699,35,-0.2753,50,0.31997
ENSG00000162923,WDR26,46,-0.1763,45,-0.2075,49,-0.0787,46,-0.1771,48,-0.0807,38,-0.4687,54,0.10262,82,0.78461,54,0.08111
ENSG00000143786,CNIH3,7,-0.7499,8,-0.4887,24,1.52000,14,0.30464,11,-0.0295,10,-0.1852,6,-0.8349,5,-1.2297,4,-1.6008
ENSG00000143815,LBR,7,-1.4921,9,-1.1469,16,-0.3952,22,0.14792,9,-1.1185,27,0.48021,20,0.04095,39,1.09398,34,0.85885
ENSG00000154380,ENAH,74,-0.7701,118,-0.0530,90,-0.5186,91,-0.4609,171,0.56153,99,-0.3233,84,-0.5693,276,1.40166,121,-0.0034
ENSG00000143742,SRP9,230,-0.3320,306,0.12070,300,0.10005,193,-0.6064,324,0.21237,175,-0.7561,320,0.19052,418,0.63360,274,-0.0583
ENSG00000143819,EPHX1,98,-0.3960,39,-1.7955,68,-1.0504,92,-0.5034,151,0.29173,103,-0.3243,163,0.41106,296,1.45674,186,0.63393
ENSG00000196187,TMEM63A,5,-2.8865,5,-2.7465,12,-1.7381,178,3.26058,22,-0.6813,22,-0.6546,5,-2.7387,25,-0.4709,56,0.80086
ENSG00000143811,PYCR2,73,-0.4146,95,-0.0037,80,-0.3139,78,-0.3103,86,-0.1727,68,-0.5261,95,-0.0015,249,1.66664,49,-1.0302
ENSG00000143751,SDE2,13,-0.6907,25,0.34067,22,0.20072,21,0.10274,18,-0.1750,14,-0.5505,12,-0.7704,21,0.11061,31,0.71312
ENSG00000163041,H3F3A,71,-2.2040,160,-0.9922,151,-1.1715,456,0.67846,402,0.46681,201,-0.6388,273,-0.1611,670,1.35782,487,0.78738
ENSG00000182827,ACBD3,57,0.36914,86,1.06890,42,-0.1485,36,-0.3580,36,-0.3758,39,-0.2241,31,-0.5909,38,-0.2756,47,0.04993
ENSG00000143799,PARP1,115,-0.0218,101,-0.2311,105,-0.1770,191,0.81568,93,-0.3463,108,-0.1215,93,-0.3599,145,0.35175,109,-0.1105
ENSG00000203685,STUM,10,-0.9375,26,0.52286,11,-0.8251,27,0.60211,27,0.60698,19,0.06237,15,-0.3151,9,-1.1529,30,0.79098
ENSG00000143772,ITPKB,50,-1.3442,29,-2.1222,39,-1.8344,186,0.72775,201,0.86001,151,0.37683,109,-0.1445,253,1.26800,139,0.23886
ENSG00000143801,PSEN2,20,-0.4782,21,-0.4264,63,1.72901,11,-1.3832,22,-0.3216,11,-1.3356,21,-0.4228,22,-0.3392,20,-0.4620
ENSG00000163050,COQ8A,24,-0.0584,26,0.03837,31,0.36810,20,-0.3773,12,-1.1512,27,0.13448,26,0.03100,36,0.59910,19,-0.4326
ENSG00000143776,CDC42BPA,72,-0.3208,117,0.45800,63,-0.5667,116,0.44619,54,-0.7573,108,0.32398,83,-0.0834,75,-0.2496,129,0.61982
ENSG00000143740,SNAP47,28,-0.4086,84,1.41157,38,0.05780,24,-0.6338,14,-1.4184,28,-0.4250,32,-0.2276,50,0.50772,30,-0.3173
ENSG00000081692,JMJD4,42,1.55390,11,-0.6223,17,-0.0264,11,-0.7079,6,-1.4218,16,-0.0282,15,-0.2139,15,-0.1342,18,0.13122
ENSG00000143761,ARF1,359,0.39725,382,0.49734,387,0.60002,194,-0.5806,182,-0.6833,186,-0.6505,244,-0.2272,202,-0.5212,291,0.05429
ENSG00000143793,C1orf35,8,-1.2389,18,0.02319,16,-0.1825,38,1.23464,12,-0.6671,17,-0.0629,18,0.04471,23,0.39303,13,-0.4733
ENSG00000162910,MRPL55,73,0.09117,88,0.37980,109,0.87374,38,-0.9338,64,-0.1190,53,-0.4122,80,0.22432,52,-0.4562,27,-1.4519
ENSG00000143774,GUK1,395,0.55892,318,0.20106,347,0.39337,253,-0.1682,269,-0.0709,180,-0.6973,238,-0.2630,174,-0.7469,287,0.03596
ENSG00000198835,GJC2,8,-1.8633,2,-3.5541,8,-1.9712,208,4.84573,11,-1.3325,14,-0.9397,3,-2.9765,0,-7.9808,7,-1.9437
ENSG00000154370,TRIM11,2,-2.3676,24,1.07789,14,0.27728,11,-0.0879,8,-0.7149,7,-0.7627,7,-0.7969,22,0.96076,12,-0.0163
ENSG00000181218,HIST3H2A,4,-1.9465,7,-1.2140,34,1.64329,14,-0.1843,6,-1.2973,6,-1.3034,14,-0.1001,14,-0.1741,20,0.41203
ENSG00000168159,RNF187,484,0.45546,366,0.00114,491,0.55089,257,-0.5572,264,-0.5134,350,-0.0711,364,-0.0100,300,-0.3159,294,-0.3487
ENSG00000116574,RHOU,18,-1.6052,16,-1.8387,15,-2.0280,253,2.99894,82,0.70875,35,-0.6613,28,-0.9953,39,-0.4883,32,-0.7752
ENSG00000168118,RAB4A,83,-0.4591,136,0.33175,112,0.01971,84,-0.4402,102,-0.1404,90,-0.3284,136,0.33075,162,0.62286,92,-0.2944
ENSG00000154429,CCSAP,9,-1.7451,37,0.30268,44,0.70762,40,0.42077,17,-0.8651,33,0.13733,30,-0.0152,15,-1.0936,35,0.19824
ENSG00000069248,NUP133,17,-1.0770,28,-0.3097,32,-0.0985,30,-0.1939,32,-0.1036,24,-0.5212,22,-0.6437,73,1.28265,50,0.61124
ENSG00000135776,ABCB10,12,-0.1700,16,0.29527,16,0.41812,5,-1.4004,10,-0.4665,4,-1.7708,21,0.74834,25,1.05854,6,-1.1350
ENSG00000143641,GALNT2,32,-0.4456,53,0.32481,44,0.04947,41,-0.1007,45,0.04666,34,-0.3819,45,0.05942,36,-0.2890,58,0.48189
ENSG00000177614,PGBD5,29,-0.3418,65,0.95624,32,-0.2185,32,-0.2092,33,-0.1437,38,0.05150,43,0.24670,32,-0.2338,29,-0.3524
ENSG00000135775,COG2,17,-0.5368,10,-1.3461,9,-1.5542,16,-0.6090,18,-0.4385,15,-0.7341,20,-0.3105,76,1.97630,53,1.30856
ENSG00000135744,AGT,188,-1.5998,85,-2.7793,117,-2.4461,158,-1.8634,749,0.55480,277,-1.0231,697,0.43328,2668,3.16651,284,-0.9837
ENSG00000119280,C1orf198,14,-2.3629,14,-2.3604,12,-2.6952,198,1.86219,108,0.74854,42,-0.7757,32,-1.1619,156,1.40555,96,0.54871
ENSG00000143643,TTC13,23,0.88712,14,0.02268,21,0.85057,9,-0.6730,7,-0.9226,11,-0.3147,14,0.01536,8,-0.7252,7,-1.0503
ENSG00000173409,ARV1,19,-0.9071,51,0.64621,43,0.41296,35,0.01939,23,-0.6310,20,-0.8559,25,-0.4988,43,0.36262,42,0.32661
ENSG00000182118,FAM89A,13,-1.1212,7,-2.0336,8,-2.0166,13,-1.1119,44,0.76037,30,0.14335,33,0.29692,31,0.16017,89,2.08010
ENSG00000116906,GNPAT,71,0.07047,64,-0.0934,92,0.56866,53,-0.3849,45,-0.6486,56,-0.3022,66,-0.0428,100,0.63787,40,-0.8338
ENSG00000116903,EXOC8,15,-0.4008,26,0.39605,22,0.18176,30,0.65980,16,-0.3177,19,-0.1148,18,-0.1638,15,-0.4453,17,-0.2774
ENSG00000135766,EGLN1,78,-0.1919,109,0.34515,59,-0.7031,76,-0.2385,113,0.40592,79,-0.1734,106,0.29241,94,0.10250,110,0.35087
ENSG00000116918,TSNAX,46,-0.7220,120,0.83112,82,0.22806,53,-0.5031,42,-0.8439,56,-0.4073,65,-0.1646,110,0.68922,69,-0.0832
ENSG00000116991,SIPA1L2,7,-2.4925,21,-0.8202,43,0.34603,32,-0.1843,29,-0.3418,36,0.02938,45,0.36809,72,1.16599,30,-0.2809
ENSG00000135778,NTPCR,42,-0.7590,81,0.27616,111,0.92846,45,-0.6709,58,-0.2507,62,-0.1566,77,0.18949,28,-1.3505,70,0.03000
ENSG00000135749,PCNX2,18,-0.4030,18,-0.3352,38,0.98043,14,-0.7326,24,0.05044,22,-0.0249,16,-0.5065,29,0.40497,10,-1.2008
ENSG00000135750,KCNK1,19,-0.8599,35,0.05132,17,-1.1583,124,2.34111,18,-0.9459,34,0.00548,44,0.39019,14,-1.3629,18,-0.9400
ENSG00000183780,SLC35F3,2,-2.5624,20,0.77881,32,2.09442,5,-1.4005,6,-1.1378,12,-0.0023,12,-0.0133,2,-2.7558,0,-6.3022
ENSG00000168275,COA6,76,0.37772,138,1.40911,74,0.37049,29,-1.1059,59,-0.0383,18,-1.7988,48,-0.3566,44,-0.5031,43,-0.5281
ENSG00000059588,TARBP1,0,-4.1381,10,-0.5896,16,0.13455,12,-0.2744,15,-0.0009,9,-0.7181,20,0.49262,36,1.54898,12,-0.3198
ENSG00000168264,IRF2BP2,74,-0.8524,70,-0.9325,70,-1.0290,162,0.38756,104,-0.3204,89,-0.5732,103,-0.3344,375,1.89728,161,0.37638
ENSG00000173726,TOMM20,285,0.14284,386,0.64453,336,0.47380,259,-0.0127,146,-0.9019,176,-0.6216,232,-0.1882,152,-0.8392,300,0.22609
ENSG00000054267,ARID4B,29,-1.6193,65,-0.4257,47,-1.0100,146,0.90266,83,-0.0284,127,0.66699,88,0.05520,139,0.81205,77,-0.1444
ENSG00000152904,GGPS1,36,0.17689,62,1.11512,30,-0.1251,17,-1.0003,36,0.17009,27,-0.2592,39,0.33488,31,-0.0683,13,-1.3957
ENSG00000168243,GNG4,91,-0.1386,58,-0.8218,201,1.45289,28,-1.8945,50,-1.0397,84,-0.2481,130,0.44382,72,-0.5014,72,-0.4974
ENSG00000143669,LYST,16,-0.4818,25,0.25718,20,-0.0799,12,-0.8261,24,0.19028,27,0.38715,12,-0.9306,28,0.44480,29,0.46510
ENSG00000077585,GPR137B,6,-2.2185,15,-1.0499,18,-0.8552,30,0.05424,62,1.24937,27,-0.1097,41,0.54402,33,0.19973,43,0.62165
ENSG00000116977,LGALS8,49,0.32702,69,0.90771,57,0.67066,24,-0.7884,20,-1.0639,36,-0.1641,50,0.35053,5,-2.9887,32,-0.3247
ENSG00000116984,MTR,17,-0.0424,16,-0.1852,12,-0.6203,37,1.21180,13,-0.4779,20,0.17379,9,-0.9394,17,-0.0167,23,0.42800
ENSG00000198626,RYR2,6,-1.6449,65,2.20130,12,-0.7628,5,-1.9941,4,-2.2746,47,1.56707,20,0.11988,0,-7.1406,17,-0.1105
ENSG00000270188,MTRNR2L11,10,0.12577,1,-2.6743,5,-1.0736,13,0.42231,16,0.79739,25,1.57109,14,0.64107,7,-0.5680,1,-3.2509
ENSG00000155816,FMN2,34,-0.6504,39,-0.4489,29,-1.0011,21,-1.3634,87,0.84081,44,-0.2588,64,0.33698,103,1.13013,72,0.50924
ENSG00000180875,GREM2,2,-2.3895,14,0.22067,9,-0.5146,7,-0.8887,8,-0.5779,9,-0.4229,41,2.08809,0,-6.7699,24,1.09091
ENSG00000182901,RGS7,78,0.97283,55,0.39114,81,1.25006,8,-2.4249,19,-1.2701,37,-0.2320,38,-0.2101,15,-1.6242,20,-1.1485
ENSG00000091483,FH,51,-0.1870,94,0.82625,69,0.35987,26,-1.2246,35,-0.7730,33,-0.8342,70,0.34281,60,0.07752,63,0.15425
ENSG00000180287,PLD5,0,-6.7917,17,0.24278,13,-0.2045,27,1.00655,4,-1.7260,21,0.60695,20,0.54169,14,-0.0282,16,0.11367
ENSG00000143702,CEP170,54,-0.4165,100,0.56421,67,-0.0960,117,0.83645,67,-0.0838,61,-0.2175,42,-0.8114,38,-0.9649,93,0.44537
ENSG00000054282,SDCCAG8,18,-1.7595,43,-0.4746,30,-1.1090,62,0.11880,100,0.91457,93,0.77676,39,-0.6285,110,1.08024,53,-0.1282
ENSG00000117020,AKT3,50,-0.9686,61,-0.6786,96,0.03738,41,-1.2529,153,0.81136,129,0.51516,120,0.40069,74,-0.3749,118,0.37046
ENSG00000179456,ZBTB18,22,-1.2628,27,-0.9254,47,-0.0752,14,-1.9238,49,-0.0209,58,0.26114,29,-0.8444,126,1.61516,75,0.68778
ENSG00000035687,ADSS,40,-0.6895,78,0.34804,72,0.25768,70,0.17749,42,-0.6347,57,-0.1533,46,-0.4990,107,0.88773,43,-0.5870
ENSG00000203667,COX20,151,0.28773,118,-0.1052,97,-0.4650,75,-0.7991,188,0.65177,134,0.09414,169,0.47602,129,0.03433,104,-0.2975
ENSG00000153187,HNRNPU,100,-1.2131,171,-0.3882,197,-0.1811,278,0.39161,209,-0.0689,163,-0.4625,178,-0.3179,371,0.88150,319,0.62139
ENSG00000203666,EFCAB2,16,-0.5593,7,-1.7269,5,-2.2406,17,-0.4746,24,0.04762,10,-1.2230,12,-0.9596,116,3.15668,17,-0.4979
ENSG00000162849,KIF26B,2,-2.5054,15,0.31187,15,0.34282,4,-1.5915,9,-0.4694,5,-1.1867,20,0.80415,25,1.14919,13,0.03628
ENSG00000185420,SMYD3,48,0.22230,35,-0.2887,91,1.62300,20,-1.1143,43,0.04899,11,-1.9542,24,-0.8436,21,-1.0626,32,-0.3886
ENSG00000162852,CNST,126,1.56946,83,0.80501,66,0.48199,17,-1.6340,21,-1.3196,33,-0.6848,43,-0.2700,34,-0.6105,18,-1.5481
ENSG00000143653,SCCPDH,74,-0.6034,126,0.23261,157,0.68267,134,0.33316,68,-0.7401,38,-1.6112,68,-0.7500,174,0.76893,97,-0.1928
ENSG00000153207,AHCTF1,13,-1.4653,15,-1.2009,13,-1.5837,22,-0.6474,34,-0.0103,21,-0.7666,33,-0.0563,117,2.22628,59,0.91000
ENSG00000162722,TRIM58,41,1.79233,12,-0.3002,15,0.09219,4,-1.7980,10,-0.6134,25,0.89514,9,-0.7872,0,-4.2578,13,-0.1206
ENSG00000171161,ZNF672,13,-0.0218,4,-1.6476,15,0.27140,16,0.37772,16,0.30065,7,-0.8282,8,-0.7636,32,1.50253,3,-1.8947
ENSG00000035115,SH3YL1,6,-1.9479,6,-1.8001,17,-0.3646,46,1.25408,14,-0.7047,22,0.05028,19,-0.1740,19,-0.2238,49,1.38947
ENSG00000143727,ACP1,111,0.38258,86,-0.0243,122,0.62226,94,0.11732,64,-0.5004,58,-0.6557,69,-0.3785,80,-0.1528,71,-0.3296
ENSG00000151353,TMEM18,68,0.89698,58,0.64148,39,-0.0352,43,0.14428,30,-0.4374,23,-0.8104,14,-1.5267,55,0.53703,25,-0.7009
ENSG00000186487,MYT1L,28,-1.1030,108,1.02989,91,0.85318,20,-1.5907,20,-1.6004,81,0.53216,94,0.77369,20,-1.6174,29,-1.0526
ENSG00000032389,EIPR1,38,-0.0165,66,0.89559,53,0.59612,21,-0.9490,30,-0.3761,26,-0.5909,42,0.16425,23,-0.8040,32,-0.2971
ENSG00000171853,TRAPPC12,27,-0.7807,60,0.47600,61,0.60172,44,-0.0276,29,-0.6429,38,-0.2636,34,-0.4435,52,0.24982,39,-0.1910
ENSG00000182551,ADI1,39,-0.3533,21,-1.2866,41,-0.2879,71,0.62240,73,0.65665,38,-0.3811,60,0.35049,52,0.10603,50,0.02924
ENSG00000171865,RNASEH1,38,0.52452,28,0.01902,37,0.56226,30,0.12843,20,-0.5054,12,-1.2328,24,-0.2445,13,-1.1921,37,0.46832
ENSG00000234171,RNASEH1-AS1,14,0.07993,8,-0.6594,17,0.50407,20,0.74939,19,0.65682,15,0.26918,12,-0.1051,1,-3.4934,5,-1.4344
ENSG00000171863,RPS7,244,-0.8940,306,-0.5473,365,-0.3024,347,-0.3537,806,1.03853,228,-1.0003,384,-0.1935,423,-0.0379,866,1.16745
ENSG00000232044,SILC1,24,-1.1364,39,-0.4082,60,0.33653,149,1.91407,25,-1.0828,34,-0.5880,62,0.33367,5,-3.2297,43,-0.2335
ENSG00000151692,RNF144A,11,-1.3372,13,-1.1590,26,-0.1017,79,1.81395,24,-0.2379,26,-0.0970,25,-0.1750,10,-1.4580,37,0.45178
ENSG00000115738,ID2,38,-1.5186,34,-1.6812,51,-1.1715,33,-1.7141,197,1.08716,94,-0.1471,113,0.14610,306,1.92266,112,0.13103
ENSG00000134313,KIDINS220,112,-0.2812,205,0.71110,161,0.34362,151,0.20159,88,-0.6535,110,-0.2980,116,-0.2254,74,-0.9093,156,0.24980
ENSG00000143797,MBOAT2,87,0.23070,62,-0.3269,69,-0.1541,85,0.18038,83,0.14395,88,0.24471,55,-0.4964,90,0.28546,68,-0.1671
ENSG00000151693,ASAP2,46,0.12105,42,0.00445,39,-0.1546,30,-0.5165,28,-0.6523,33,-0.3864,51,0.31023,30,-0.5074,84,1.15630
ENSG00000119185,ITGB1BP1,203,0.61178,226,0.79624,181,0.48270,113,-0.3346,104,-0.4619,75,-0.9643,143,0.04459,53,-1.4715,116,-0.2887
ENSG00000119203,CPSF3,34,0.65735,25,0.16279,22,-0.0662,21,-0.0797,27,0.26082,19,-0.2241,20,-0.1710,33,0.60301,3,-2.9884
ENSG00000134330,IAH1,39,-0.1896,49,0.18799,48,0.15842,51,0.25701,28,-0.6923,41,-0.1173,42,-0.0752,57,0.41612,36,-0.3199
ENSG00000151694,ADAM17,4,-2.8335,17,-0.7712,10,-1.7193,48,0.88507,37,0.45434,31,0.19125,19,-0.5799,59,1.24918,45,0.77624
ENSG00000134308,YWHAQ,675,0.56694,646,0.49359,691,0.70280,432,-0.1602,283,-0.8186,233,-1.1138,387,-0.3346,396,-0.2970,342,-0.5241
ENSG00000115756,HPCAL1,239,0.19934,624,1.91387,207,-0.0349,85,-1.4020,70,-1.6805,145,-0.5851,291,0.52665,69,-1.7160,173,-0.3133
ENSG00000115758,ODC1,30,-0.3403,37,0.00782,39,0.11999,19,-0.9866,56,0.67561,22,-0.7688,31,-0.2784,76,1.21533,19,-1.0434
ENSG00000115761,NOL10,10,-0.4914,33,1.40299,14,-0.0814,10,-0.5240,10,-0.5257,28,1.13068,13,-0.1774,6,-1.1960,4,-1.6692
ENSG00000143870,PDIA6,83,-0.6693,128,0.00896,96,-0.5006,141,0.16286,127,-0.0064,86,-0.6133,111,-0.2152,210,0.82885,196,0.71052
ENSG00000134318,ROCK2,46,-0.6453,99,0.55504,58,-0.3465,75,0.10676,48,-0.5873,83,0.27732,38,-0.9447,96,0.51552,101,0.58656
ENSG00000169016,E2F6,6,-1.0656,9,-0.4868,13,0.12516,16,0.44693,16,0.37108,9,-0.4528,23,1.03661,14,0.17865,4,-1.7355
ENSG00000196208,GREB1,22,0.70920,27,1.03741,12,-0.2933,4,-1.7873,15,0.10914,14,-0.0924,22,0.71167,6,-1.2981,9,-0.7652
ENSG00000169006,NTSR2,64,-0.6666,55,-0.9031,51,-1.1166,38,-1.4445,212,1.29925,101,0.03423,270,1.75842,31,-1.7489,112,0.20887
ENSG00000134324,LPIN1,142,0.59508,185,1.05334,96,-0.0565,64,-0.6852,98,-0.0044,79,-0.3561,100,0.01295,80,-0.3367,48,-1.1026
ENSG00000071575,TRIB2,13,-0.7797,15,-0.5292,22,-0.0002,19,-0.2032,18,-0.2932,23,0.08022,31,0.59655,19,-0.1951,35,0.76872
ENSG00000162981,LRATD1,4,-2.5330,25,0.21861,27,0.39039,13,-0.7907,10,-1.1684,51,1.46321,36,0.84927,11,-1.0200,13,-0.8212
