Tested Domain	Other Domain	Gene Symbol	FDR	logFC	p	t statistic	Ensembl Gene ID
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IGFBP5	0.79	0.082	0.654	0.449	ENSG00000115461
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TNS1	0.728	0.092	0.564	0.577	ENSG00000079308
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARPC2	0.261	-0.219	0.095	-1.672	ENSG00000163466
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AAMP	0.469	-0.188	0.261	-1.125	ENSG00000127837
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PNKD	0.641	-0.101	0.448	-0.759	ENSG00000127838
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMBIM1	0.086	0.442	0.016	2.426	ENSG00000135926
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CTDSP1	0.818	0.076	0.692	0.396	ENSG00000144579
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CYP27A1	0.897	0.04	0.815	0.234	ENSG00000135929
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDK5R2	0.641	-0.134	0.449	-0.758	ENSG00000171450
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RETREG2	0.342	-0.152	0.151	-1.437	ENSG00000144567
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ABCB6	0.031	-0.564	0.003	-2.933	ENSG00000115657
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATG9A	0.163	-0.358	0.043	-2.028	ENSG00000198925
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TUBA4A	0.005	-0.378	0	-3.618	ENSG00000127824
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DNAJB2	0.161	0.233	0.042	2.038	ENSG00000135924
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTPRN	0.304	-0.169	0.122	-1.547	ENSG00000054356
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CHPF	0.458	-0.182	0.249	-1.153	ENSG00000123989
ACHE_SERT_LC_WM	ACHE_SERT_Npep	OBSL1	0.004	-0.673	0	-3.692	ENSG00000124006
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC4A3	0.677	-0.118	0.491	-0.688	ENSG00000114923
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FARSB	0.146	-0.371	0.036	-2.101	ENSG00000116120
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACSL3	0.682	-0.056	0.499	-0.676	ENSG00000123983
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SCG2	0	-0.503	0	-6.138	ENSG00000171951
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SERPINE2	0.932	0.019	0.871	0.162	ENSG00000135919
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CUL3	0.277	-0.266	0.105	-1.622	ENSG00000036257
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DOCK10	0.711	0.127	0.542	0.61	ENSG00000135905
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MFF	0.074	-0.38	0.012	-2.512	ENSG00000168958
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AGFG1	0.595	-0.148	0.396	-0.85	ENSG00000173744
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPHKAP	0.079	-0.512	0.013	-2.478	ENSG00000153820
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DNER	0.002	-0.308	0	-3.923	ENSG00000187957
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TRIP12	0.704	-0.086	0.531	-0.627	ENSG00000153827
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CAB39	0.208	-0.251	0.064	-1.852	ENSG00000135932
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ITM2C	0.808	0.033	0.679	0.415	ENSG00000135916
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C2orf72	0.702	0.11	0.527	0.633	ENSG00000204128
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PSMD1	0.524	0.115	0.317	1.001	ENSG00000173692
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NCL	0.087	0.244	0.016	2.419	ENSG00000115053
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTMA	0	0.349	0	4.924	ENSG00000187514
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EFHD1	0.335	0.195	0.145	1.459	ENSG00000115468
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GIGYF2	0.505	0.187	0.296	1.045	ENSG00000204120
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SNORC	0.35	0.205	0.157	1.415	ENSG00000182600
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARL4C	0.314	-0.269	0.128	-1.524	ENSG00000188042
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AGAP1	0.527	0.137	0.32	0.995	ENSG00000157985
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IQCA1	0.127	0.411	0.029	2.188	ENSG00000132321
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COPS8	0.044	-0.363	0.006	-2.761	ENSG00000198612
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LRRFIP1	0.819	-0.073	0.695	-0.393	ENSG00000124831
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAMP1	0.451	0.149	0.242	1.171	ENSG00000132329
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBE2F	0.629	-0.134	0.436	-0.779	ENSG00000184182
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFA10	0.958	-0.013	0.917	-0.104	ENSG00000130414
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COPS9	0.03	-0.274	0.003	-2.94	ENSG00000172428
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GPC1	0.69	0.108	0.509	0.661	ENSG00000063660
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KIF1A	0.337	0.079	0.147	1.452	ENSG00000130294
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PPP1R7	0.093	-0.377	0.018	-2.377	ENSG00000115685
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HDLBP	0.782	-0.052	0.642	-0.466	ENSG00000115677
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SEPTIN2	0.057	0.285	0.008	2.64	ENSG00000168385
ACHE_SERT_LC_WM	ACHE_SERT_Npep	STK25	0.434	-0.172	0.226	-1.213	ENSG00000115694
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BOK	0.446	0.189	0.238	1.182	ENSG00000176720
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATG4B	0.326	-0.275	0.138	-1.487	ENSG00000168397
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RTP5	0.56	-0.17	0.36	-0.915	ENSG00000188011
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CHL1	0.126	-0.286	0.029	-2.192	ENSG00000134121
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CRBN	0.257	-0.263	0.092	-1.686	ENSG00000113851
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BHLHE40	0.702	-0.129	0.528	-0.631	ENSG00000134107
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARL8B	0.072	-0.275	0.012	-2.529	ENSG00000134108
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRGAP3	0.889	0.045	0.801	0.252	ENSG00000196220
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TADA3	0.907	0.03	0.833	0.21	ENSG00000171148
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARPC4	0.558	-0.13	0.356	-0.923	ENSG00000241553
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CRELD1	0.273	-0.296	0.103	-1.634	ENSG00000163703
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EMC3	0.332	-0.221	0.142	-1.47	ENSG00000125037
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BRK1	0.21	-0.231	0.066	-1.844	ENSG00000254999
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP2B2	0.361	-0.22	0.167	-1.385	ENSG00000157087
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC6A11	0.203	0.291	0.061	1.873	ENSG00000132164
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC6A1	0.381	-0.156	0.182	-1.337	ENSG00000157103
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SYN2	0.055	-0.344	0.008	-2.657	ENSG00000157152
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL32	0.052	0.146	0.007	2.689	ENSG00000144713
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IQSEC1	0.498	-0.127	0.29	-1.06	ENSG00000144711
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HDAC11	0.779	-0.082	0.635	-0.475	ENSG00000163517
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LSM3	0.498	-0.184	0.29	-1.059	ENSG00000170860
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FGD5-AS1	0.589	-0.093	0.389	-0.862	ENSG00000225733
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPS25	0.281	-0.303	0.108	-1.609	ENSG00000131368
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RBSN	0.826	0.069	0.708	0.375	ENSG00000131381
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SH3BP5	0.231	-0.283	0.077	-1.77	ENSG00000131370
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GALNT15	0.577	0.166	0.377	0.885	ENSG00000131386
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TBC1D5	0.509	-0.177	0.301	-1.034	ENSG00000131374
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SATB1	0.702	-0.108	0.528	-0.631	ENSG00000182568
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAB5A	0.532	-0.131	0.327	-0.981	ENSG00000144566
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KAT2B	0.659	0.139	0.468	0.726	ENSG00000114166
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZNF385D	0.398	-0.279	0.194	-1.299	ENSG00000151789
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBE2E2	0.106	-0.398	0.022	-2.303	ENSG00000182247
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBE2E1	0.592	-0.127	0.392	-0.856	ENSG00000170142
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NKIRAS1	0.005	-0.682	0	-3.613	ENSG00000197885
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL15	0	-0.223	0	-4.349	ENSG00000174748
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NR1D2	0.483	-0.204	0.274	-1.095	ENSG00000174738
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TOP2B	0.419	-0.169	0.212	-1.248	ENSG00000077097
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AZI2	0.156	-0.342	0.04	-2.063	ENSG00000163512
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RBMS3	0.933	0.028	0.874	0.159	ENSG00000144642
ACHE_SERT_LC_WM	ACHE_SERT_Npep	STT3B	0.166	-0.337	0.044	-2.015	ENSG00000163527
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GPD1L	0.129	-0.401	0.03	-2.177	ENSG00000152642
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DYNC1LI1	0.398	-0.23	0.195	-1.298	ENSG00000144635
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CRTAP	0.362	0.23	0.167	1.383	ENSG00000170275
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLASP2	0.306	-0.172	0.123	-1.544	ENSG00000163539
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PDCD6IP	0.433	-0.197	0.224	-1.216	ENSG00000170248
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EPM2AIP1	0.953	-0.016	0.908	-0.115	ENSG00000178567
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LRRFIP2	0.411	-0.236	0.206	-1.265	ENSG00000093167
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GOLGA4	0.008	0.506	0.001	3.467	ENSG00000144674
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACAA1	0.819	-0.065	0.695	-0.392	ENSG00000060971
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WDR48	0.403	-0.236	0.199	-1.286	ENSG00000114742
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CX3CR1	0.961	-0.019	0.923	-0.096	ENSG00000168329
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPSA	0.63	0.051	0.437	0.777	ENSG00000168028
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MOBP	0	1.062	0	11.336	ENSG00000168314
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EIF1B	0.011	-0.391	0.001	-3.349	ENSG00000114784
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL14	0.467	-0.07	0.26	-1.127	ENSG00000188846
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CTNNB1	0.741	0.052	0.581	0.552	ENSG00000168036
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TRAK1	0.679	-0.115	0.494	-0.684	ENSG00000182606
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCK	0.016	-0.654	0.001	-3.212	ENSG00000187094
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SEC22C	0.959	0.017	0.919	0.102	ENSG00000093183
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NKTR	0.104	0.422	0.021	2.319	ENSG00000114857
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZBTB47	0.199	0.356	0.059	1.891	ENSG00000114853
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HHATL	0.111	0.312	0.023	2.278	ENSG00000010282
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HIGD1A	0.195	-0.205	0.057	-1.905	ENSG00000181061
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SNRK	0.125	-0.383	0.028	-2.201	ENSG00000163788
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KIAA1143	0.461	-0.215	0.252	-1.148	ENSG00000163807
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SACM1L	0.461	-0.201	0.253	-1.145	ENSG00000211456
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTH1R	0.13	0.418	0.03	2.175	ENSG00000160801
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CSPG5	0.326	-0.216	0.137	-1.488	ENSG00000114646
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SMARCC1	0.023	0.545	0.002	3.063	ENSG00000173473
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DHX30	0.065	-0.362	0.01	-2.577	ENSG00000132153
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MAP4	0.025	0.172	0.003	3.023	ENSG00000047849
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PLXNB1	0.041	0.35	0.005	2.795	ENSG00000164050
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMA7	0.023	-0.203	0.002	-3.049	ENSG00000232112
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SHISA5	0.706	-0.089	0.534	-0.623	ENSG00000164054
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UQCRC1	0.077	-0.238	0.013	-2.494	ENSG00000010256
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NCKIPSD	0.598	-0.146	0.399	-0.843	ENSG00000213672
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IP6K2	0.336	-0.237	0.146	-1.457	ENSG00000068745
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRKAR2A	0.9	0.04	0.82	0.228	ENSG00000114302
ACHE_SERT_LC_WM	ACHE_SERT_Npep	P4HTM	0.023	-0.454	0.002	-3.059	ENSG00000178467
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WDR6	0.714	-0.089	0.546	-0.605	ENSG00000178252
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFAF3	0.099	-0.324	0.019	-2.347	ENSG00000178057
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IMPDH2	0.244	-0.306	0.085	-1.725	ENSG00000178035
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LAMB2	0.433	0.22	0.225	1.215	ENSG00000172037
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RHOA	0.625	0.055	0.428	0.792	ENSG00000067560
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TCTA	0.558	-0.175	0.355	-0.925	ENSG00000145022
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DAG1	0.967	-0.015	0.933	-0.084	ENSG00000173402
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BSN	0.518	-0.198	0.31	-1.015	ENSG00000164061
ACHE_SERT_LC_WM	ACHE_SERT_Npep	APEH	0.21	-0.322	0.066	-1.844	ENSG00000164062
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IP6K1	0.846	-0.055	0.739	-0.334	ENSG00000176095
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CAMKV	0.721	-0.116	0.557	-0.588	ENSG00000164076
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RBM6	0.999	0	0.998	-0.002	ENSG00000004534
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RBM5	0.864	0.05	0.765	0.299	ENSG00000003756
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GNAI2	0.561	0.076	0.362	0.913	ENSG00000114353
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SEMA3B	0.043	0.485	0.006	2.779	ENSG00000012171
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TUSC2	0.407	-0.193	0.202	-1.277	ENSG00000114383
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CACNA2D2	0.432	-0.23	0.223	-1.22	ENSG00000007402
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DOCK3	0.43	-0.222	0.221	-1.224	ENSG00000088538
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MANF	0.127	-0.409	0.029	-2.19	ENSG00000145050
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PCBP4	0.882	-0.039	0.79	-0.266	ENSG00000090097
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ABHD14A	0.166	-0.324	0.044	-2.017	ENSG00000248487
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL29	0.791	0.029	0.655	0.447	ENSG00000162244
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WDR82	0.796	-0.053	0.661	-0.438	ENSG00000164091
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NISCH	0.351	-0.193	0.158	-1.413	ENSG00000010322
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NT5DC2	0.302	0.298	0.121	1.552	ENSG00000168268
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPCS1	0.082	-0.274	0.014	-2.452	ENSG00000114902
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MUSTN1	0.223	0.363	0.073	1.799	ENSG00000272573
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TKT	0.826	-0.039	0.707	-0.376	ENSG00000163931
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SELENOK	0.384	-0.19	0.184	-1.33	ENSG00000113811
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ERC2	0.674	-0.132	0.488	-0.693	ENSG00000187672
ACHE_SERT_LC_WM	ACHE_SERT_Npep	APPL1	0.693	-0.101	0.514	-0.654	ENSG00000157500
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARF4	0.02	-0.469	0.002	-3.127	ENSG00000168374
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLMAP	0.981	-0.009	0.959	-0.051	ENSG00000163681
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FLNB	0.882	-0.053	0.789	-0.268	ENSG00000136068
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ABHD6	0.894	0.044	0.808	0.243	ENSG00000163686
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PXK	0.082	0.368	0.014	2.452	ENSG00000168297
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PDHB	0.302	-0.26	0.121	-1.551	ENSG00000168291
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAM107A	0.031	0.387	0.003	2.938	ENSG00000168309
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C3orf14	0.081	-0.428	0.014	-2.459	ENSG00000114405
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CADPS	0.125	-0.349	0.028	-2.2	ENSG00000163618
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SYNPR	0.316	-0.304	0.13	-1.516	ENSG00000163630
ACHE_SERT_LC_WM	ACHE_SERT_Npep	THOC7	0.016	-0.507	0.001	-3.23	ENSG00000163634
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PSMD6	0.071	-0.437	0.011	-2.535	ENSG00000163636
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MAGI1	0.884	0.048	0.792	0.264	ENSG00000151276
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LRIG1	0.719	0.106	0.552	0.595	ENSG00000144749
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMF1	0.358	-0.258	0.164	-1.395	ENSG00000144747
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBA3	0.293	-0.275	0.115	-1.579	ENSG00000144744
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARL6IP5	0.047	-0.245	0.006	-2.731	ENSG00000144746
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FRMD4B	0.369	0.276	0.173	1.365	ENSG00000114541
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FOXP1	0.073	0.462	0.012	2.522	ENSG00000114861
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EIF4E3	0.941	-0.025	0.886	-0.143	ENSG00000163412
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RYBP	0.628	0.148	0.434	0.783	ENSG00000163602
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PPP4R2	0.506	-0.186	0.297	-1.044	ENSG00000163605
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ROBO1	0.408	-0.261	0.203	-1.274	ENSG00000169855
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GBE1	0.166	-0.4	0.044	-2.018	ENSG00000114480
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CADM2	0.904	0.024	0.828	0.218	ENSG00000175161
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CHMP2B	0.708	-0.094	0.536	-0.618	ENSG00000083937
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CGGBP1	0.715	-0.101	0.546	-0.603	ENSG00000163320
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MTRNR2L12	0	1.209	0	10.998	ENSG00000269028
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLDND1	0.02	0.229	0.002	3.133	ENSG00000080822
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DCBLD2	0.829	-0.075	0.713	-0.368	ENSG00000057019
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CMSS1	0.147	-0.348	0.037	-2.095	ENSG00000184220
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NIT2	0.006	-0.718	0	-3.611	ENSG00000114021
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TOMM70	0.889	-0.041	0.801	-0.252	ENSG00000154174
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TFG	0.121	-0.351	0.027	-2.222	ENSG00000114354
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PCNP	0.702	0.06	0.528	0.631	ENSG00000081154
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL24	0.693	-0.041	0.513	-0.655	ENSG00000114391
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NXPE3	0.732	-0.096	0.571	-0.567	ENSG00000144815
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ALCAM	0.207	-0.216	0.064	-1.856	ENSG00000170017
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BBX	0.217	0.263	0.069	1.819	ENSG00000114439
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CD47	0.732	-0.078	0.57	-0.568	ENSG00000196776
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IFT57	0.222	-0.35	0.072	-1.801	ENSG00000114446
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DZIP3	0.896	0.037	0.813	0.236	ENSG00000198919
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ABHD10	0.218	-0.327	0.07	-1.814	ENSG00000144827
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TAGLN3	0	-0.42	0	-4.522	ENSG00000144834
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CD200	0.023	-0.513	0.002	-3.06	ENSG00000091972
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATG3	0.826	0.054	0.706	0.377	ENSG00000144848
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC35A5	0.132	-0.357	0.031	-2.163	ENSG00000138459
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCDC80	0.924	0.034	0.857	0.18	ENSG00000091986
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP6V1A	0.015	-0.348	0.001	-3.253	ENSG00000114573
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZBTB20	0	0.769	0	4.704	ENSG00000181722
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GAP43	0	-0.432	0	-4.763	ENSG00000172020
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LSAMP	0.388	0.134	0.187	1.321	ENSG00000185565
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TIMMDC1	0.494	-0.154	0.287	-1.066	ENSG00000113845
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COX17	0.037	-0.432	0.005	-2.848	ENSG00000138495
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GSK3B	0.674	-0.099	0.489	-0.692	ENSG00000082701
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LRRC58	0.697	0.113	0.519	0.646	ENSG00000163428
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFB4	0	-0.349	0	-4.317	ENSG00000065518
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GOLGB1	0.146	0.329	0.036	2.102	ENSG00000173230
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAM162A	0.206	-0.283	0.064	-1.858	ENSG00000114023
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KPNA1	0.533	-0.159	0.327	-0.98	ENSG00000114030
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ADCY5	0.353	-0.276	0.16	-1.405	ENSG00000173175
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MYLK	0.054	0.403	0.008	2.666	ENSG00000065534
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ITGB5	0.245	0.309	0.086	1.722	ENSG00000082781
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HEG1	0.65	0.145	0.459	0.741	ENSG00000173706
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC41A3	0.149	-0.349	0.037	-2.09	ENSG00000114544
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ALDH1L1	0.284	0.309	0.109	1.603	ENSG00000144908
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CHCHD6	0.256	-0.33	0.091	-1.691	ENSG00000159685
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PODXL2	0.299	-0.189	0.119	-1.56	ENSG00000114631
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MGLL	0.236	0.262	0.08	1.754	ENSG00000074416
