gene_name	LCNMadj_subclus	DEtest_unadjP.05_forCluster	Nsigmodels_forCluster
GUCD1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
HCG15	5HT.2_LCNMadj	E4_wAncestry_wRin	3
AC067852.5	5HT.2_LCNMadj	E4_wAncestry_wRin	3
CYBB	5HT.2_LCNMadj	E4_wAncestry_wRin	4
BMPR1A	5HT.2_LCNMadj	E4_wAncestry_wRin	4
FOLR1	5HT.2_LCNMadj	E4_wAncestry_wRin	3
CRIP1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CHST1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
EOGT	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SLC25A10	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ZNF337	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RNASET2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
HMGB3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
GINM1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NEUROD2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TCTEX1D2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
KIF3B	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NPR2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AL138976.2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
NUP188	5HT.2_LCNMadj	E4_wAncestry_wRin	3
DYRK2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
NPIPB5	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CDK14	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AAAS	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CNOT8	5HT.2_LCNMadj	E4_wAncestry_wRin	4
HMG20B	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SPRTN	5HT.2_LCNMadj	E4_wAncestry_wRin	4
C9orf24	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CDK5R1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MRPS21	5HT.2_LCNMadj	E4_wAncestry_wRin	4
API5	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TBC1D16	5HT.2_LCNMadj	E4_wAncestry_wRin	3
CAPS	5HT.2_LCNMadj	E4_wAncestry_wRin	4
C12orf66	5HT.2_LCNMadj	E4_wAncestry_wRin	4
KLF10	5HT.2_LCNMadj	E4_wAncestry_wRin	2
AC245297.3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SETD4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ANKRD29	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CNEP1R1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PPP6R2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NPFF	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AC026979.2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AL109627.1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AL118516.1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TCTN3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DMAC2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CIAO1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
POMT1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
FGD3	5HT.2_LCNMadj	E4_wAncestry_wRin	1
TMEM120B	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SLC6A8	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TM6SF1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SHOX2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TBC1D2B	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ABCC8	5HT.2_LCNMadj	E4_wAncestry_wRin	4
UPP1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LSMEM1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
INSYN1-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PTGR2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RYK	5HT.2_LCNMadj	E4_wAncestry_wRin	1
B3GALNT2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
C1orf109	5HT.2_LCNMadj	E4_wAncestry_wRin	4
WDR70	5HT.2_LCNMadj	E4_wAncestry_wRin	3
SHPRH	5HT.2_LCNMadj	E4_wAncestry_wRin	1
SYNE4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
KALRN	5HT.2_LCNMadj	E4_wAncestry_wRin	2
EDC4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AKR1C2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TMEM43	5HT.2_LCNMadj	E4_wAncestry_wRin	4
GATD3A	5HT.2_LCNMadj	E4_wAncestry_wRin	4
HTT	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MRM1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AL162458.1	5HT.2_LCNMadj	E4_wAncestry_wRin	3
CD36	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ZNF800	5HT.2_LCNMadj	E4_wAncestry_wRin	2
ATG10	5HT.2_LCNMadj	E4_wAncestry_wRin	3
BRINP2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CDH19	5HT.2_LCNMadj	E4_wAncestry_wRin	3
NUAK1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
BANF1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SLC35F1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
KCNQ2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RB1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PYCARD	5HT.2_LCNMadj	E4_wAncestry_wRin	1
SP100	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SMARCC2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZFAND2B	5HT.2_LCNMadj	E4_wAncestry_wRin	4
EVI5	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PREP	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SMIM17	5HT.2_LCNMadj	E4_wAncestry_wRin	3
TTC38	5HT.2_LCNMadj	E4_wAncestry_wRin	4
XPO4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SPTLC1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
COQ6	5HT.2_LCNMadj	E4_wAncestry_wRin	4
EHMT1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MFSD10	5HT.2_LCNMadj	E4_wAncestry_wRin	4
VSTM2L	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DEPTOR	5HT.2_LCNMadj	E4_wAncestry_wRin	3
DPP10-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
EHHADH	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MTG1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ATG9B	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LAMA4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
APCDD1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
WDR61	5HT.2_LCNMadj	E4_wAncestry_wRin	4
REEP6	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LINC01561	5HT.2_LCNMadj	E4_wAncestry_wRin	4
BAG2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SLC25A20	5HT.2_LCNMadj	E4_wAncestry_wRin	2
CYP7B1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
GLG1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZNF653	5HT.2_LCNMadj	E4_wAncestry_wRin	4
YPEL4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CCDC149	5HT.2_LCNMadj	E4_wAncestry_wRin	3
HINT2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
BEND6	5HT.2_LCNMadj	E4_wAncestry_wRin	4
C2orf68	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RBM23	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PTGER3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DNALI1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NPY1R	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZNF124	5HT.2_LCNMadj	E4_wAncestry_wRin	4
USP2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
KCTD6	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SGK3	5HT.2_LCNMadj	E4_wAncestry_wRin	2
ZNF286A	5HT.2_LCNMadj	E4_wAncestry_wRin	4
FLCN	5HT.2_LCNMadj	E4_wAncestry_wRin	4
C9orf135	5HT.2_LCNMadj	E4_wAncestry_wRin	1
TMEM186	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SLC9A8	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SYNM	5HT.2_LCNMadj	E4_wAncestry_wRin	4
HECW1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PM20D2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
EPC2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
WDFY3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PIEZO1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
GRM8	5HT.2_LCNMadj	E4_wAncestry_wRin	2
STK4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MARK1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NAB1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ENTPD1	5HT.2_LCNMadj	E4_wAncestry_wRin	3
STRIP1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LSM11	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PITPNA-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	2
SCRN2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ACTR6	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CRISPLD2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
KCNIP2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NBR2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
INSM2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
UBQLN4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ITGB4	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ZNF71	5HT.2_LCNMadj	E4_wAncestry_wRin	3
INTU	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZNF639	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZBED3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
GPR22	5HT.2_LCNMadj	E4_wAncestry_wRin	2
ATP6V1H	5HT.2_LCNMadj	E4_wAncestry_wRin	4
EMG1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
C1QL4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ADGRA1-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	3
SIPA1L3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MIR22HG	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ERBB3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MYO15B	5HT.2_LCNMadj	E4_wAncestry_wRin	1
MTRNR2L4	5HT.2_LCNMadj	E4_wAncestry_wRin	1
UBE2L3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SBK1	5HT.2_LCNMadj	E4_wAncestry_wRin	2
DAZAP1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CPSF6	5HT.2_LCNMadj	E4_wAncestry_wRin	4
FAM207A	5HT.2_LCNMadj	E4_wAncestry_wRin	2
ZNF621	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LAMA5	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NPIPA2	5HT.2_LCNMadj	E4_wAncestry_wRin	1
DNAH14	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ACVR1C	5HT.2_LCNMadj	E4_wAncestry_wRin	2
NATD1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZMYM5	5HT.2_LCNMadj	E4_wAncestry_wRin	3
TSPAN11	5HT.2_LCNMadj	E4_wAncestry_wRin	1
AF131215.6	5HT.2_LCNMadj	E4_wAncestry_wRin	2
LRRC28	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZNF32	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AL158212.3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PTRH2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ANP32A	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DHX34	5HT.2_LCNMadj	E4_wAncestry_wRin	2
PSMB9	5HT.2_LCNMadj	E4_wAncestry_wRin	1
PPRC1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
UBR5-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
TPRA1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZNF322	5HT.2_LCNMadj	E4_wAncestry_wRin	4
A2M-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LINC00266-1	5HT.2_LCNMadj	E4_wAncestry_wRin	2
INO80D	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ZNHIT6	5HT.2_LCNMadj	E4_wAncestry_wRin	4
P2RX5	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TREM2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
FHOD1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TTC4	5HT.2_LCNMadj	E4_wAncestry_wRin	2
HAGHL	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SEMA4A	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LRP2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
PLSCR1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
STOML3	5HT.2_LCNMadj	E4_wAncestry_wRin	1
SARS2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CADPS2	5HT.2_LCNMadj	E4_wAncestry_wRin	1
KDM4A	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ELOA	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DECR1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SLC33A1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
HBB	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ATP2B3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
EHBP1L1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PNP	5HT.2_LCNMadj	E4_wAncestry_wRin	2
HIST1H2BE	5HT.2_LCNMadj	E4_wAncestry_wRin	1
IDNK	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MGA	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ABCB6	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZNF605	5HT.2_LCNMadj	E4_wAncestry_wRin	1
TMEM69	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ARNTL2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MPZL3	5HT.2_LCNMadj	E4_wAncestry_wRin	2
PIGF	5HT.2_LCNMadj	E4_wAncestry_wRin	2
UBE3D	5HT.2_LCNMadj	E4_wAncestry_wRin	2
BRD1	5HT.2_LCNMadj	E4_wAncestry_wRin	2
CEP97	5HT.2_LCNMadj	E4_wAncestry_wRin	4
KIAA0895	5HT.2_LCNMadj	E4_wAncestry_wRin	3
EMX2OS	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SLC25A46	5HT.2_LCNMadj	E4_wAncestry_wRin	4
JDP2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ZFP82	5HT.2_LCNMadj	E4_wAncestry_wRin	2
IL1RAP	5HT.2_LCNMadj	E4_wAncestry_wRin	1
FRZB	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RERGL	5HT.2_LCNMadj	E4_wAncestry_wRin	2
NCLN	5HT.2_LCNMadj	E4_wAncestry_wRin	4
C10orf105	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CCNK	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZNF568	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RFNG	5HT.2_LCNMadj	E4_wAncestry_wRin	3
PYDC1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ACSBG1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CTNNBL1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ANKMY1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
ZNF775	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AC091152.2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
IL6R	5HT.2_LCNMadj	E4_wAncestry_wRin	2
MYLK3	5HT.2_LCNMadj	E4_wAncestry_wRin	1
TTR	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LAMTOR2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
GPD1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MRPL14	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ACBD5	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TRPV2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
LINGO2	5HT.2_LCNMadj	E4_wAncestry_wRin	1
FKBP14	5HT.2_LCNMadj	E4_wAncestry_wRin	1
MAPK15	5HT.2_LCNMadj	E4_wAncestry_wRin	1
GANC	5HT.2_LCNMadj	E4_wAncestry_wRin	4
POFUT1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
FRMD8	5HT.2_LCNMadj	E4_wAncestry_wRin	3
MAP3K21	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ADNP2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
COQ3	5HT.2_LCNMadj	E4_wAncestry_wRin	1
CEP112	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SHANK2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TMEM200B	5HT.2_LCNMadj	E4_wAncestry_wRin	1
AL158211.1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
MKLN1-AS	5HT.2_LCNMadj	E4_wAncestry_wRin	1
ELK3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NIFK-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	3
CRB2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ATP5PF	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TMOD1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AL022313.4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CA3-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
NXT1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
SKI	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RASSF4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AC105285.1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
IL17RD	5HT.2_LCNMadj	E4_wAncestry_wRin	2
PDZRN4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AC019131.2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
TRIM35	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DPH2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
FAM41C	5HT.2_LCNMadj	E4_wAncestry_wRin	2
SYNDIG1L	5HT.2_LCNMadj	E4_wAncestry_wRin	4
USP27X	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ZNF875	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CACNG8	5HT.2_LCNMadj	E4_wAncestry_wRin	3
CYB561	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LINC02482	5HT.2_LCNMadj	E4_wAncestry_wRin	3
BTBD11	5HT.2_LCNMadj	E4_wAncestry_wRin	4
BZW2	5HT.2_LCNMadj	E4_wAncestry_wRin	1
MYO9B	5HT.2_LCNMadj	E4_wAncestry_wRin	2
PRDM4	5HT.2_LCNMadj	E4_wAncestry_wRin	3
CD99L2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SUSD3	5HT.2_LCNMadj	E4_wAncestry_wRin	2
AC008870.2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
KRBOX1	5HT.2_LCNMadj	E4_wAncestry_wRin	3
DNPH1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DTX3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LINC01234	5HT.2_LCNMadj	E4_wAncestry_wRin	1
TM9SF1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PEX26	5HT.2_LCNMadj	E4_wAncestry_wRin	4
AC110285.2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LINGO1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PRR5	5HT.2_LCNMadj	E4_wAncestry_wRin	4
GFRA2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
KSR2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RHOC	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PNRC1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TBK1	5HT.2_LCNMadj	E4_wAncestry_wRin	2
RPAP1	5HT.2_LCNMadj	E4_wAncestry_wRin	2
SNHG9	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LRRFIP2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
ANXA2R	5HT.2_LCNMadj	E4_wAncestry_wRin	2
EFCAB7	5HT.2_LCNMadj	E4_wAncestry_wRin	4
GPR12	5HT.2_LCNMadj	E4_wAncestry_wRin	2
STAT6	5HT.2_LCNMadj	E4_wAncestry_wRin	2
MTOR	5HT.2_LCNMadj	E4_wAncestry_wRin	2
RASGRF1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ISCU	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PLK2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
EP300	5HT.2_LCNMadj	E4_wAncestry_wRin	2
NAGA	5HT.2_LCNMadj	E4_wAncestry_wRin	3
GATA2	5HT.2_LCNMadj	E4_wAncestry_wRin	1
GPNMB	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ENKD1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
ADCY5	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ECM2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
JPH3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DR1	5HT.2_LCNMadj	E4_wAncestry_wRin	3
UQCRFS1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
BBS10	5HT.2_LCNMadj	E4_wAncestry_wRin	2
CYTH1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RNF38	5HT.2_LCNMadj	E4_wAncestry_wRin	4
VPS52	5HT.2_LCNMadj	E4_wAncestry_wRin	4
HLA-DMA	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PELO	5HT.2_LCNMadj	E4_wAncestry_wRin	3
APOL3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ZNF346	5HT.2_LCNMadj	E4_wAncestry_wRin	3
EXTL1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
SF3B4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CLK1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LENG1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NRN1L	5HT.2_LCNMadj	E4_wAncestry_wRin	3
MRPL11	5HT.2_LCNMadj	E4_wAncestry_wRin	3
FRY	5HT.2_LCNMadj	E4_wAncestry_wRin	4
VMA21	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DCC	5HT.2_LCNMadj	E4_wAncestry_wRin	4
TRABD	5HT.2_LCNMadj	E4_wAncestry_wRin	2
GTF3A	5HT.2_LCNMadj	E4_wAncestry_wRin	2
NUP62	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MBD2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
NAA60	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PIGW	5HT.2_LCNMadj	E4_wAncestry_wRin	4
CSNK1G1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
SCRT1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SEMA4C	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ESAM	5HT.2_LCNMadj	E4_wAncestry_wRin	1
NECTIN3	5HT.2_LCNMadj	E4_wAncestry_wRin	1
ARHGEF10L	5HT.2_LCNMadj	E4_wAncestry_wRin	4
WNT7A	5HT.2_LCNMadj	E4_wAncestry_wRin	2
ZWILCH	5HT.2_LCNMadj	E4_wAncestry_wRin	2
CYP4F11	5HT.2_LCNMadj	E4_wAncestry_wRin	2
PLCE1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SPHKAP	5HT.2_LCNMadj	E4_wAncestry_wRin	2
GAD2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
C1orf74	5HT.2_LCNMadj	E4_wAncestry_wRin	2
WNT7B	5HT.2_LCNMadj	E4_wAncestry_wRin	4
LRIG2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
HIRIP3	5HT.2_LCNMadj	E4_wAncestry_wRin	2
ELP3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MAP1S	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SERTAD2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
PHTF1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MARCH1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
BRF2	5HT.2_LCNMadj	E4_wAncestry_wRin	3
ZBTB33	5HT.2_LCNMadj	E4_wAncestry_wRin	2
PLEKHA8	5HT.2_LCNMadj	E4_wAncestry_wRin	4
MAPK3	5HT.2_LCNMadj	E4_wAncestry_wRin	4
NKAIN4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
DUSP14	5HT.2_LCNMadj	E4_wAncestry_wRin	3
UFC1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
SLC45A4	5HT.2_LCNMadj	E4_wAncestry_wRin	4
EIF4E3	5HT.2_LCNMadj	E4_wAncestry_wRin	2
MAB21L1	5HT.2_LCNMadj	E4_wAncestry_wRin	2
TP53INP1	5HT.2_LCNMadj	E4_wAncestry_wRin	4
RIPOR2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
PDIA2	5HT.2_LCNMadj	E4_wAncestry_wRin	2
SECISBP2	5HT.2_LCNMadj	E4_wAncestry_wRin	4
ARAF	5HT.2_LCNMadj	E4_wAncestry_wRin	1
AL031283.1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
CFAP45	5HT.2_LCNMadj	E4_wAncestry_wRin	1
LINC02004	5HT.2_LCNMadj	E4_wAncestry_wRin	1
TNFAIP3	5HT.2_LCNMadj	E4_wAncestry_wRin	1
C7orf57	5HT.2_LCNMadj	E4_wAncestry_wRin	1
AC008060.4	5HT.2_LCNMadj	E4_wAncestry_wRin	1
B4GALT1-AS1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
LINC01410	5HT.2_LCNMadj	E4_wAncestry_wRin	1
TRIM29	5HT.2_LCNMadj	E4_wAncestry_wRin	1
AL357093.2	5HT.2_LCNMadj	E4_wAncestry_wRin	1
C14orf180	5HT.2_LCNMadj	E4_wAncestry_wRin	1
AC007613.1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
AC092118.2	5HT.2_LCNMadj	E4_wAncestry_wRin	1
ZNF599	5HT.2_LCNMadj	E4_wAncestry_wRin	1
SLPI	5HT.2_LCNMadj	E4_wAncestry_wRin	1
RFPL3	5HT.2_LCNMadj	E4_wAncestry_wRin	1
BAIAP2L2	5HT.2_LCNMadj	E4_wAncestry_wRin	1
AC145212.1	5HT.2_LCNMadj	E4_wAncestry_wRin	1
