ens	zstat	p	fdr	symbol	dx	method	citation	method_stat_thresh	other_notes
	0	6.6401		EGFR	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.2439		FAM213A	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	6.1497		FAM57B	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.7475		FAM96A	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-7.3898		GRN	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.9082		HIRIP3	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.901		IAH1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.0355		ICA1L	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.3068		IGHV1-67	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	6.2375		INO80E	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.6838		IQCD	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.9146		KCTD13	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.9146		KCTD13	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.5273		KLF16	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.9037		KRT8P15	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.8076		LACTB	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.9916		MAT1A	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-7.0546		MYLPF	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.05		NBEAL1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.2431		NPIPB12	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.0503		OTULIN	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.6821		PLCD3	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.8673		POLR2E	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	6.6167		PPP4C	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.7299		RBCK1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.6591		REXO1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.8249		RITA1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.6944		RP11-182L21.6	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	6.027		RP11-426C22.4	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.054		RP11-455F5.3	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.3999		SETD1A	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-6.9877		SHARPIN	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.9784		SLC26A1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.7475		SNX1	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-5.0579		SRCAP	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.1045		STX1B	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	6.1129		TAOK2	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-4.2777		TBX6	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.4708		TMEM219	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	7.7751		TSPAN14	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	6.2743		TUBB8P7	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	5.075		WDR12	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	-6.5579		YPEL3	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
	0	4.8598		ZNF689	AD	eTWAS_FOCUSTWAS_multipanel	Bellenguez22	Authors	Suptab26_Subsetted_to_min-eTWAS-pval_per_gene
				ITGB1BP1	AD	spliceQTL_coloc_multipanel	Bellenguez22	Authors	Suptab25
				ADAM17	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				RP11-214N9.1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				ICA1L	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				KRT8P15	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				CARF	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				NBEAL1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				DGKQ	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				SLC26A1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				IDUA	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				RHOH	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				OTULIN	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				JAZF1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				EGFR	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				CCDC6	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				FAM213A	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				TSPAN14	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				BLNK	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				PLEKHA1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				RITA1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				IQCD	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				APH1B	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				CTSH	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				RP11-426C22.4	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				TAOK2	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				DOC2A	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				PPP4C	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				YPEL3	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				RP11-455F5.3	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				RP11-455F5.4	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				TUBB8P7	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				WDR81	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				MYO15A	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				LLGL1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				TOP3A	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				GRN	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				SIGLEC11	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				MYADM	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				RBCK1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				CYYR1-AS1	AD	eQTL_coloc_multipanel	Bellenguez22	Authors	Suptab24
				SORT1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				CR1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ADAM17	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				PRKD3	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				NCK2	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				BIN1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				WDR12	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				INPP5D	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				MME	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				IDUA	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				CLNK	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				RHOH	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ANKH	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				COX7C	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				TNIP1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				RASGEF1C	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				HLA-DQA1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				UNC5CL	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				TREM2	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				TREML2	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				CD2AP	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				HS3ST5	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				UMAD1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ICA1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				TMEM106B	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				JAZF1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				EPDR1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SEC61G	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SPDYE3	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				EPHA1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				CTSB	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				PTK2B	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				CLU	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SHARPIN	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ABCA1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				USP6NL	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ANK3	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				TSPAN14	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				BLNK	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				PLEKHA1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SPI1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				MS4A4A	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				EED	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SORL1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				TPCN1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				FERMT2	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SLC24A4	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SPPL2A	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				MINDY2	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				APH1B	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SNX1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				CTSH	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				DOC2A	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				BCKDK	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				IL34	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				MAF	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				PLCG2	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				FOXF1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				PRDM7	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				WDR81	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SCIMP	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				MYO15A	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				GRN	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				WNT3	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ABI3	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				TSPOAP1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ACE	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ABCA7	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				KLF16	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SIGLEC11	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				LILRB2	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				RBCK1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				CASS4	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				SLC2A4RG	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				APP	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ADAMTS1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				New	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				HS3ST1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				HLA	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				NME8	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ZCWPW1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				NYAP1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ECHDC3	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				CELF1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				MS4A	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				PICALM	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				RIN3	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				ADAM10	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				KAT8	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				RABEP1	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
				MAPT	AD	NearestGene	Bellenguez22	StdGWAS	Suptab5_colsDandE
