"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1669","RBBP9","ENSMUSG00000027428","1669.1.1","RBBP9","ENSG00000089050","RB binding protein 9, serine hydrolase [Source:HGNC Symbol;Acc:HGNC:9892]"
"1670","SEC23B","ENSMUSG00000027429","1670.1.1","SEC23B","ENSG00000101310","SEC23 homolog B, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10702]"
"1671","SMIM26","ENSMUSG00000074754","1671.1.1","SMIM26","ENSG00000232388","small integral membrane protein 26 [Source:HGNC Symbol;Acc:HGNC:43430]"
"1672","DTD1","ENSMUSG00000027430","1672.1.1","DTD1","ENSG00000125821","D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219]"
"1673","SLC24A3","ENSMUSG00000063873","1673.1.1","SLC24A3","ENSG00000185052","solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]"
"1674","GM14092","ENSMUSG00000074753","1674.1.1","N/A","N/A","N/A"
"1675","RIN2","ENSMUSG00000001768","1675.1.1","RIN2","ENSG00000132669","Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]"
"1676","NAA20","ENSMUSG00000002728","1676.1.1","NAA20","ENSG00000173418","N-alpha-acetyltransferase 20, NatB catalytic subunit [Source:HGNC Symbol;Acc:HGNC:15908]"
"1677","CRNKL1","ENSMUSG00000001767","1677.1.1","CRNKL1","ENSG00000101343","crooked neck pre-mRNA splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:15762]"
"1678","CFAP61","ENSMUSG00000037143","1678.1.1","CFAP61","ENSG00000089101","cilia and flagella associated protein 61 [Source:HGNC Symbol;Acc:HGNC:15872]"
"1679","RALGAPA2","ENSMUSG00000037110","1679.1.1","RALGAPA2","ENSG00000188559","Ral GTPase activating protein catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:16207]"
"1680","A930019D19RIK","ENSMUSG00000085958","1680.1.1","N/A","N/A","N/A"
"1681","GM14114","ENSMUSG00000087618","1681.1.1","N/A","N/A","N/A"
"1682","KIZ","ENSMUSG00000074749","1682.1.1","KIZ","ENSG00000088970","kizuna centrosomal protein [Source:HGNC Symbol;Acc:HGNC:15865]"
"1683","XRN2","ENSMUSG00000027433","1683.1.1","XRN2","ENSG00000088930","5'-3' exoribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:12836]"
"1684","NKX2-2","ENSMUSG00000027434","1684.1.1","NKX2-2","ENSG00000125820","NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]"
"1685","NKX2-2OS","ENSMUSG00000086509","1685.1.1","N/A","N/A","N/A"
"1686","NXT1","ENSMUSG00000036992","1686.1.1","NXT1","ENSG00000132661","nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913]"
"1687","GZF1","ENSMUSG00000027439","1687.1.1","GZF1","ENSG00000125812","GDNF inducible zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:15808]"
"1688","NAPB","ENSMUSG00000027438","1688.1.1","NAPB","ENSG00000125814","NSF attachment protein beta [Source:HGNC Symbol;Acc:HGNC:15751]"
"1689","CST3","ENSMUSG00000027447","1689.1.1","CST3","ENSG00000101439","cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]"
"1690","SYNDIG1","ENSMUSG00000074736","1690.1.1","SYNDIG1","ENSG00000101463","synapse differentiation inducing 1 [Source:HGNC Symbol;Acc:HGNC:15885]"
"1691","ZFP120","ENSMUSG00000068134","1691.1.1","N/A","N/A","N/A"
"1692","ZFP937","ENSMUSG00000060336","1692.1.1","N/A","N/A","N/A"
"1693","3300002I08RIK","ENSMUSG00000063364","1693.1.1","N/A","N/A","N/A"
"1694","GM10130","ENSMUSG00000095315","1694.1.1","N/A","N/A","N/A"
"1695","ZFP442","ENSMUSG00000068130","1695.1.1","N/A","N/A","N/A"
"1696","APMAP","ENSMUSG00000033096","1696.1.1","APMAP","ENSG00000101474","adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]"
"1697","ACSS1","ENSMUSG00000027452","1697.1.1","ACSS1","ENSG00000154930","acyl-CoA synthetase short chain family member 1 [Source:HGNC Symbol;Acc:HGNC:16091]"
"1698","GM26681","N/A","1698.1.1","N/A","N/A","N/A"
"1699","ENTPD6","ENSMUSG00000033068","1699.1.1","ENTPD6","ENSG00000197586","ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368]"
"1700","PYGB","ENSMUSG00000033059","1700.1.1","PYGB","ENSG00000100994","glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]"
"1701","ABHD12","ENSMUSG00000032046","1701.1.1","ABHD12","ENSG00000100997","abhydrolase domain containing 12, lysophospholipase [Source:HGNC Symbol;Acc:HGNC:15868]"
"1702","NINL","ENSMUSG00000068115","1702.1.1","NINL","ENSG00000101004","ninein like [Source:HGNC Symbol;Acc:HGNC:29163]"
"1703","NSFL1C","ENSMUSG00000027455","1703.1.1","NSFL1C","ENSG00000088833","NSFL1 cofactor [Source:HGNC Symbol;Acc:HGNC:15912]"
"1704","GM14167","ENSMUSG00000087433","1704.1.1","N/A","N/A","N/A"
"1705","FKBP1A","ENSMUSG00000032966","1705.1.1","FKBP1A","ENSG00000088832","FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]"
"1705","FKBP1A","ENSMUSG00000032966","1705.1.2","FKBP1C","ENSG00000198225","FKBP prolyl isomerase family member 1C [Source:HGNC Symbol;Acc:HGNC:21376]"
"1706","SDCBP2","ENSMUSG00000027456","1706.1.1","SDCBP2","ENSG00000125775","syndecan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15756]"
"1707","SNPH","ENSMUSG00000027457","1707.1.1","SNPH","ENSG00000101298","syntaphilin [Source:HGNC Symbol;Acc:HGNC:15931]"
"1708","TMEM74B","ENSMUSG00000044364","1708.1.1","TMEM74B","ENSG00000125895","transmembrane protein 74B [Source:HGNC Symbol;Acc:HGNC:15893]"
"1709","PSMF1","ENSMUSG00000032869","1709.1.1","PSMF1","ENSG00000125818","proteasome inhibitor subunit 1 [Source:HGNC Symbol;Acc:HGNC:9571]"
"1710","SCRT2","ENSMUSG00000060257","1710.1.1","SCRT2","ENSG00000215397","scratch family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:15952]"
"1711","SRXN1","ENSMUSG00000032802","1711.1.1","SRXN1","ENSG00000271303","sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]"
"1712","CSNK2A1","ENSMUSG00000074698","1712.1.1","CSNK2A1","ENSG00000101266","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"1712","CSNK2A1","ENSMUSG00000074698","1712.1.2","CSNK2A3","ENSG00000254598","casein kinase 2 alpha 3 [Source:HGNC Symbol;Acc:HGNC:2458]"
"1713","TBC1D20","ENSMUSG00000027465","1713.1.1","TBC1D20","ENSG00000125875","TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133]"
"1714","RBCK1","ENSMUSG00000027466","1714.1.1","RBCK1","ENSG00000125826","RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]"
"1715","NRSN2","ENSMUSG00000059361","1715.1.1","NRSN2","ENSG00000125841","neurensin 2 [Source:HGNC Symbol;Acc:HGNC:16229]"
"1716","SOX12","ENSMUSG00000051817","1716.1.1","SOX12","ENSG00000177732","SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198]"
"1717","ZCCHC3","ENSMUSG00000074682","1717.1.1","ZCCHC3","ENSG00000247315","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"1718","6820408C15RIK","ENSMUSG00000032680","1718.1.1","C20orf96","ENSG00000196476","chromosome 20 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:16227]"
"1719","H13","ENSMUSG00000019188","1719.1.1","HM13","ENSG00000101294","histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435]"
"1720","MCTS2","ENSMUSG00000042814","1720.1.1","N/A","N/A","N/A"
"1721","BCL2L1","ENSMUSG00000007659","1721.1.1","BCL2L1","ENSG00000171552","BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]"
"1722","DUSP15","ENSMUSG00000042662","1722.1.1","DUSP15","ENSG00000149599","dual specificity phosphatase 15 [Source:HGNC Symbol;Acc:HGNC:16236]"
"1723","TTLL9","ENSMUSG00000074673","1723.1.1","TTLL9","ENSG00000131044","tubulin tyrosine ligase like 9 [Source:HGNC Symbol;Acc:HGNC:16118]"
"1724","PDRG1","ENSMUSG00000027472","1724.1.1","PDRG1","ENSG00000088356","p53 and DNA damage regulated 1 [Source:HGNC Symbol;Acc:HGNC:16119]"
"1725","XKR7","ENSMUSG00000042631","1725.1.1","XKR7","ENSG00000260903","XK related 7 [Source:HGNC Symbol;Acc:HGNC:23062]"
"1726","HCK","ENSMUSG00000003283","1726.1.1","HCK","ENSG00000101336","HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]"
"1727","TM9SF4","ENSMUSG00000068040","1727.1.1","TM9SF4","ENSG00000101337","transmembrane 9 superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:30797]"
"1728","PLAGL2","ENSMUSG00000051413","1728.1.1","PLAGL2","ENSG00000126003","PLAG1 like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:9047]"
"1729","POFUT1","ENSMUSG00000046020","1729.1.1","POFUT1","ENSG00000101346","protein O-fucosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:14988]"
"1730","KIF3B","ENSMUSG00000027475","1730.1.1","KIF3B","ENSG00000101350","kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]"
"1731","ASXL1","ENSMUSG00000042548","1731.1.1","ASXL1","ENSG00000171456","ASXL transcriptional regulator 1 [Source:HGNC Symbol;Acc:HGNC:18318]"
"1732","NOL4L","ENSMUSG00000061411","1732.1.1","NOL4L","ENSG00000197183","nucleolar protein 4 like [Source:HGNC Symbol;Acc:HGNC:16106]"
"1733","COMMD7","ENSMUSG00000056941","1733.1.1","COMMD7","ENSG00000149600","COMM domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16223]"
"1734","MAPRE1","ENSMUSG00000027479","1734.1.1","MAPRE1","ENSG00000101367","microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]"
"1735","CDK5RAP1","ENSMUSG00000027487","1735.1.1","CDK5RAP1","ENSG00000101391","CDK5 regulatory subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15880]"
"1736","SNTA1","ENSMUSG00000027488","1736.1.1","SNTA1","ENSG00000101400","syntrophin alpha 1 [Source:HGNC Symbol;Acc:HGNC:11167]"
"1737","CBFA2T2","ENSMUSG00000038533","1737.1.1","CBFA2T2","ENSG00000078699","CBFA2/RUNX1 partner transcriptional co-repressor 2 [Source:HGNC Symbol;Acc:HGNC:1536]"
"1738","NECAB3","ENSMUSG00000027489","1738.1.1","NECAB3","ENSG00000125967","N-terminal EF-hand calcium binding protein 3 [Source:HGNC Symbol;Acc:HGNC:15851]"
"1739","1700003F12RIK","ENSMUSG00000038523","1739.1.1","C20orf144","ENSG00000149609","chromosome 20 open reading frame 144 [Source:HGNC Symbol;Acc:HGNC:16137]"
"1740","PXMP4","ENSMUSG00000000876","1740.1.1","PXMP4","ENSG00000101417","peroxisomal membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:15920]"
"1741","ZFP341","ENSMUSG00000059842","1741.1.1","ZNF341","ENSG00000131061","zinc finger protein 341 [Source:HGNC Symbol;Acc:HGNC:15992]"
"1742","CHMP4B","ENSMUSG00000038467","1742.1.1","CHMP4B","ENSG00000101421","charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]"
"1743","RALY","ENSMUSG00000027593","1743.1.1","RALY","ENSG00000125970","RALY heterogeneous nuclear ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15921]"
"1744","A","ENSMUSG00000027596","1744.1.1","ASIP","ENSG00000101440","agouti signaling protein [Source:HGNC Symbol;Acc:HGNC:745]"
"1745","EIF2S2","ENSMUSG00000074656","1745.1.1","EIF2S2","ENSG00000125977","eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]"
"1746","GM45609","ENSMUSG00000109877","1746.1.1","N/A","N/A","N/A"
"1747","ITCH","ENSMUSG00000027598","1747.1.1","ITCH","ENSG00000078747","itchy E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13890]"
"1748","DYNLRB1","ENSMUSG00000047459","1748.1.1","DYNLRB1","ENSG00000125971","dynein light chain roadblock-type 1 [Source:HGNC Symbol;Acc:HGNC:15468]"
"1749","MAP1LC3A","ENSMUSG00000027602","1749.1.1","MAP1LC3A","ENSG00000101460","microtubule associated protein 1 light chain 3 alpha [Source:HGNC Symbol;Acc:HGNC:6838]"
"1750","PIGU","ENSMUSG00000038383","1750.1.1","PIGU","ENSG00000101464","phosphatidylinositol glycan anchor biosynthesis class U [Source:HGNC Symbol;Acc:HGNC:15791]"
"1751","TRP53INP2","ENSMUSG00000038375","1751.1.1","TP53INP2","ENSG00000078804","tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]"
"1752","NCOA6","ENSMUSG00000038369","1752.1.1","NCOA6","ENSG00000198646","nuclear receptor coactivator 6 [Source:HGNC Symbol;Acc:HGNC:15936]"
"1753","GGT7","ENSMUSG00000027603","1753.1.1","GGT7","ENSG00000131067","gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]"
"1754","ACSS2","ENSMUSG00000027605","1754.1.1","ACSS2","ENSG00000131069","acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]"
"1755","ACSS2OS","ENSMUSG00000086529","1755.1.1","N/A","N/A","N/A"
"1756","GSS","ENSMUSG00000027610","1756.1.1","GSS","ENSG00000100983","glutathione synthetase [Source:HGNC Symbol;Acc:HGNC:4624]"
"1757","MYH7B","ENSMUSG00000074652","1757.1.1","MYH7B","ENSG00000078814","myosin heavy chain 7B [Source:HGNC Symbol;Acc:HGNC:15906]"
"1758","TRPC4AP","ENSMUSG00000038324","1758.1.1","TRPC4AP","ENSG00000100991","transient receptor potential cation channel subfamily C member 4 associated protein [Source:HGNC Symbol;Acc:HGNC:16181]"
"1759","EDEM2","ENSMUSG00000038312","1759.1.1","EDEM2","ENSG00000088298","ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]"
"1760","MMP24","ENSMUSG00000027612","1760.1.1","MMP24","ENSG00000125966","matrix metallopeptidase 24 [Source:HGNC Symbol;Acc:HGNC:7172]"
"1761","BC029722","ENSMUSG00000074649","1761.1.1","N/A","N/A","N/A"
"1762","EIF6","ENSMUSG00000027613","1762.1.1","EIF6","ENSG00000242372","eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]"
"1763","UQCC1","ENSMUSG00000005882","1763.1.1","UQCC1","ENSG00000101019","ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:15891]"
"1764","CEP250","ENSMUSG00000038241","1764.1.1","CEP250","ENSG00000126001","centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]"
"1765","6430550D23RIK","ENSMUSG00000074646","1765.1.1","C20orf173","ENSG00000125975","chromosome 20 open reading frame 173 [Source:HGNC Symbol;Acc:HGNC:16166]"
"1766","ERGIC3","ENSMUSG00000005881","1766.1.1","ERGIC3","ENSG00000125991","ERGIC and golgi 3 [Source:HGNC Symbol;Acc:HGNC:15927]"
"1767","SPAG4","ENSMUSG00000038180","1767.1.1","SPAG4","ENSG00000061656","sperm associated antigen 4 [Source:HGNC Symbol;Acc:HGNC:11214]"
"1768","RBM12","ENSMUSG00000089824","1768.1.1","N/A","N/A","N/A"
"1769","NFS1","ENSMUSG00000027618","1769.1.1","NFS1","ENSG00000244005","NFS1 cysteine desulfurase [Source:HGNC Symbol;Acc:HGNC:15910]"
"1770","ROMO1","ENSMUSG00000067847","1770.1.1","ROMO1","ENSG00000125995","reactive oxygen species modulator 1 [Source:HGNC Symbol;Acc:HGNC:16185]"
"1771","RBM39","ENSMUSG00000027620","1771.1.1","RBM39","ENSG00000131051","RNA binding motif protein 39 [Source:HGNC Symbol;Acc:HGNC:15923]"
"1772","PHF20","ENSMUSG00000038116","1772.1.1","PHF20","ENSG00000025293","PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]"
"1773","SCAND1","ENSMUSG00000046229","1773.1.1","SCAND1","ENSG00000171222","SCAN domain containing 1 [Source:HGNC Symbol;Acc:HGNC:10566]"
"1774","CNBD2","ENSMUSG00000038085","1774.1.1","CNBD2","ENSG00000149646","cyclic nucleotide binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16145]"
"1775","2900097C17RIK","N/A","1775.1.1","N/A","N/A","N/A"
"1776","EPB41L1","ENSMUSG00000027624","1776.1.1","EPB41L1","ENSG00000088367","erythrocyte membrane protein band 4.1 like 1 [Source:HGNC Symbol;Acc:HGNC:3378]"
"1777","AAR2","ENSMUSG00000027628","1777.1.1","AAR2","ENSG00000131043","AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]"
"1778","DLGAP4","ENSMUSG00000061689","1778.1.1","DLGAP4","ENSG00000080845","DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476]"
"1779","TGIF2","ENSMUSG00000062175","1779.1.1","TGIF2","ENSG00000118707","TGFB induced factor homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15764]"
"1780","4930518I15RIK","ENSMUSG00000074629","1780.1.1","N/A","N/A","N/A"
"1781","1110008F13RIK","N/A","1781.1.1","N/A","N/A","N/A"
"1782","NDRG3","ENSMUSG00000027634","1782.1.1","NDRG3","ENSG00000101079","NDRG family member 3 [Source:HGNC Symbol;Acc:HGNC:14462]"
"1783","SOGA1","ENSMUSG00000055485","1783.1.1","SOGA1","ENSG00000149639","suppressor of glucose, autophagy associated 1 [Source:HGNC Symbol;Acc:HGNC:16111]"
"1784","SAMHD1","ENSMUSG00000027639","1784.1.1","SAMHD1","ENSG00000101347","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]"
"1785","RBL1","ENSMUSG00000027641","1785.1.1","RBL1","ENSG00000080839","RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]"
"1786","MROH8","ENSMUSG00000074627","1786.1.1","MROH8","ENSG00000101353","maestro heat like repeat family member 8 [Source:HGNC Symbol;Acc:HGNC:16125]"
"1787","RPN2","ENSMUSG00000027642","1787.1.1","RPN2","ENSG00000118705","ribophorin II [Source:HGNC Symbol;Acc:HGNC:10382]"
"1788","GHRH","ENSMUSG00000027643","1788.1.1","GHRH","ENSG00000118702","growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]"
"1789","MANBAL","ENSMUSG00000063019","1789.1.1","MANBAL","ENSG00000101363","mannosidase beta like [Source:HGNC Symbol;Acc:HGNC:15799]"
"1790","SRC","ENSMUSG00000027646","1790.1.1","SRC","ENSG00000197122","SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]"
"1791","BLCAP","ENSMUSG00000067787","1791.1.1","BLCAP","ENSG00000166619","BLCAP apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]"
"1792","NNAT","ENSMUSG00000067786","1792.1.1","N/A","N/A","N/A"
"1793","CTNNBL1","ENSMUSG00000027649","1793.1.1","CTNNBL1","ENSG00000132792","catenin beta like 1 [Source:HGNC Symbol;Acc:HGNC:15879]"
"1794","VSTM2L","ENSMUSG00000037843","1794.1.1","VSTM2L","ENSG00000132821","V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:HGNC:16096]"
"1795","TTI1","ENSMUSG00000027650","1795.1.1","TTI1","ENSG00000101407","TELO2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29029]"
"1796","RPRD1B","ENSMUSG00000027651","1796.1.1","RPRD1B","ENSG00000101413","regulation of nuclear pre-mRNA domain containing 1B [Source:HGNC Symbol;Acc:HGNC:16209]"
"1797","2010009K17RIK","ENSMUSG00000100860","1797.1.1","N/A","N/A","N/A"
"1798","TGM2","ENSMUSG00000037820","1798.1.1","TGM2","ENSG00000198959","transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]"
"1799","D630003M21RIK","ENSMUSG00000037813","1799.1.1","KIAA1755","ENSG00000149633","KIAA1755 [Source:HGNC Symbol;Acc:HGNC:29372]"
"1800","SNHG11","ENSMUSG00000044349","1800.1.1","N/A","N/A","N/A"
"1801","RALGAPB","ENSMUSG00000027652","1801.1.1","RALGAPB","ENSG00000170471","Ral GTPase activating protein non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:29221]"
"1802","SLC32A1","ENSMUSG00000037771","1802.1.1","SLC32A1","ENSG00000101438","solute carrier family 32 member 1 [Source:HGNC Symbol;Acc:HGNC:11018]"
"1803","ACTR5","ENSMUSG00000037761","1803.1.1","ACTR5","ENSG00000101442","actin related protein 5 [Source:HGNC Symbol;Acc:HGNC:14671]"
"1804","PPP1R16B","ENSMUSG00000037754","1804.1.1","PPP1R16B","ENSG00000101445","protein phosphatase 1 regulatory subunit 16B [Source:HGNC Symbol;Acc:HGNC:15850]"
"1805","DHX35","ENSMUSG00000027655","1805.1.1","DHX35","ENSG00000101452","DEAH-box helicase 35 [Source:HGNC Symbol;Acc:HGNC:15861]"
"1806","MAFB","ENSMUSG00000074622","1806.1.1","MAFB","ENSG00000204103","MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]"
"1807","TOP1","ENSMUSG00000070544","1807.1.1","TOP1","ENSG00000198900","DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]"
"1808","PLCG1","ENSMUSG00000016933","1808.1.1","PLCG1","ENSG00000124181","phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]"
"1809","GM27206","ENSMUSG00000098889","1809.1.1","N/A","N/A","N/A"
"1810","ZHX3","ENSMUSG00000035877","1810.1.1","ZHX3","ENSG00000174306","zinc fingers and homeoboxes 3 [Source:HGNC Symbol;Acc:HGNC:15935]"
"1811","CHD6","ENSMUSG00000057133","1811.1.1","CHD6","ENSG00000124177","chromodomain helicase DNA binding protein 6 [Source:HGNC Symbol;Acc:HGNC:19057]"
"1812","GM45447","ENSMUSG00000109780","1812.1.1","N/A","N/A","N/A"
"1813","PTPRT","ENSMUSG00000053141","1813.1.1","PTPRT","ENSG00000196090","protein tyrosine phosphatase receptor type T [Source:HGNC Symbol;Acc:HGNC:9682]"
"1814","PTPRTOS","ENSMUSG00000084919","1814.1.1","N/A","N/A","N/A"
"1815","SRSF6","ENSMUSG00000016921","1815.1.1","SRSF6","ENSG00000124193","serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]"
"1816","L3MBTL1","ENSMUSG00000035576","1816.1.1","L3MBTL1","ENSG00000185513","L3MBTL histone methyl-lysine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:15905]"
"1817","SGK2","ENSMUSG00000017868","1817.1.1","SGK2","ENSG00000101049","serum/glucocorticoid regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:13900]"
"1818","IFT52","ENSMUSG00000017858","1818.1.1","IFT52","ENSG00000101052","intraflagellar transport 52 [Source:HGNC Symbol;Acc:HGNC:15901]"
"1819","GM11454","ENSMUSG00000086152","1819.1.1","N/A","N/A","N/A"
"1820","TOX2","ENSMUSG00000074607","1820.1.1","TOX2","ENSG00000124191","TOX high mobility group box family member 2 [Source:HGNC Symbol;Acc:HGNC:16095]"
"1821","OSER1","ENSMUSG00000035399","1821.1.1","OSER1","ENSG00000132823","oxidative stress responsive serine rich 1 [Source:HGNC Symbol;Acc:HGNC:16105]"
"1822","2900093K20RIK","ENSMUSG00000099632","1822.1.1","N/A","N/A","N/A"
"1823","GDAP1L1","ENSMUSG00000017943","1823.1.1","GDAP1L1","ENSG00000124194","ganglioside induced differentiation associated protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:4213]"
"1824","FITM2","ENSMUSG00000048486","1824.1.1","FITM2","ENSG00000197296","fat storage inducing transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:16135]"
"1825","TTPAL","ENSMUSG00000017679","1825.1.1","TTPAL","ENSG00000124120","alpha tocopherol transfer protein like [Source:HGNC Symbol;Acc:HGNC:16114]"
"1826","SERINC3","ENSMUSG00000017707","1826.1.1","SERINC3","ENSG00000132824","serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]"
"1827","PKIG","ENSMUSG00000035268","1827.1.1","PKIG","ENSG00000168734","cAMP-dependent protein kinase inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:9019]"
"1828","GM16316","ENSMUSG00000087129","1828.1.1","N/A","N/A","N/A"
"1829","RIMS4","ENSMUSG00000035226","1829.1.1","RIMS4","ENSG00000101098","regulating synaptic membrane exocytosis 4 [Source:HGNC Symbol;Acc:HGNC:16183]"
"1830","YWHAB","ENSMUSG00000018326","1830.1.1","YWHAB","ENSG00000166913","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]"
"1831","TOMM34","ENSMUSG00000018322","1831.1.1","TOMM34","ENSG00000025772","translocase of outer mitochondrial membrane 34 [Source:HGNC Symbol;Acc:HGNC:15746]"
"1832","STK4","ENSMUSG00000018209","1832.1.1","STK4","ENSG00000101109","serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]"
"1833","MATN4","ENSMUSG00000016995","1833.1.1","MATN4","ENSG00000124159","matrilin 4 [Source:HGNC Symbol;Acc:HGNC:6910]"
"1834","SDC4","ENSMUSG00000017009","1834.1.1","SDC4","ENSG00000124145","syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]"
"1835","SYS1","ENSMUSG00000045503","1835.1.1","SYS1","ENSG00000204070","SYS1 golgi trafficking protein [Source:HGNC Symbol;Acc:HGNC:16162]"
"1836","GM20458","ENSMUSG00000090996","1836.1.1","N/A","N/A","N/A"
"1837","DBNDD2","ENSMUSG00000017734","1837.1.1","DBNDD2","ENSG00000244274","dysbindin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15881]"
"1838","PIGT","ENSMUSG00000017721","1838.1.1","PIGT","ENSG00000124155","phosphatidylinositol glycan anchor biosynthesis class T [Source:HGNC Symbol;Acc:HGNC:14938]"
"1839","DNTTIP1","ENSMUSG00000017299","1839.1.1","DNTTIP1","ENSG00000101457","deoxynucleotidyltransferase terminal interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16160]"
"1840","GM11457","ENSMUSG00000086453","1840.1.1","N/A","N/A","N/A"
"1841","SNX21","ENSMUSG00000050373","1841.1.1","SNX21","ENSG00000124104","sorting nexin family member 21 [Source:HGNC Symbol;Acc:HGNC:16154]"
"1842","ACOT8","ENSMUSG00000017307","1842.1.1","ACOT8","ENSG00000101473","acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]"
"1843","ZSWIM3","ENSMUSG00000045822","1843.1.1","ZSWIM3","ENSG00000132801","zinc finger SWIM-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16157]"
