Gene Symbol	Gene for PCA, Harmony, Clustering	Rank (n=85 sections)	Deviance (n=85 sections)	Ensembl Gene ID
GFRA2	No	8410	21820.39	ENSG00000168546
ESRRG	No	8411	21819.21	ENSG00000196482
VPS26C	No	8412	21802.83	ENSG00000157538
FAM126A	No	8413	21800.97	ENSG00000122591
RTL10	No	8414	21797.96	ENSG00000215012
POLR3C	No	8415	21794.36	ENSG00000186141
ZNF793	No	8416	21794.27	ENSG00000188227
MSTO1	No	8417	21789.8	ENSG00000125459
RXYLT1	No	8418	21789.79	ENSG00000118600
DCC	No	8419	21788.37	ENSG00000187323
TSPAN6	No	8420	21788.06	ENSG00000000003
PWWP3B	No	8421	21788.05	ENSG00000157502
NAAA	No	8422	21784.54	ENSG00000138744
LINC00634	No	8423	21782.98	ENSG00000205704
UTP25	No	8424	21776	ENSG00000117597
UNC13B	No	8425	21767.1	ENSG00000198722
NAT9	No	8426	21763.91	ENSG00000109065
KLC4	No	8427	21759.83	ENSG00000137171
TANC1	No	8428	21759.4	ENSG00000115183
KLF15	No	8429	21758.81	ENSG00000163884
SLC9A8	No	8430	21758.06	ENSG00000197818
ARL5B	No	8431	21752.72	ENSG00000165997
EBF3	No	8432	21751.97	ENSG00000108001
ALG1	No	8433	21751.95	ENSG00000033011
MED17	No	8434	21749.31	ENSG00000042429
ANO6	No	8435	21749.14	ENSG00000177119
GABPB2	No	8436	21749	ENSG00000143458
LNX1	No	8437	21743.9	ENSG00000072201
HPS5	No	8438	21740.65	ENSG00000110756
MRNIP	No	8439	21739.07	ENSG00000161010
TAB1	No	8440	21736.7	ENSG00000100324
SBK1	No	8441	21735.67	ENSG00000188322
RBMXL1	No	8442	21731.77	ENSG00000213516
CROCC	No	8443	21713.55	ENSG00000058453
MKNK1	No	8444	21708.6	ENSG00000079277
SUMF1	No	8445	21707.76	ENSG00000144455
SOX21	No	8446	21706.88	ENSG00000125285
OSBPL11	No	8447	21706.39	ENSG00000144909
STAG1	No	8448	21704.63	ENSG00000118007
LRFN4	No	8449	21703.75	ENSG00000173621
PELO	No	8450	21694.74	ENSG00000152684
CACNA1C	No	8451	21694.55	ENSG00000151067
SMURF2	No	8452	21693.77	ENSG00000108854
LIAS	No	8453	21693	ENSG00000121897
ELOVL2	No	8454	21692.91	ENSG00000197977
FAIM	No	8455	21690.84	ENSG00000158234
CORO2A	No	8456	21689.8	ENSG00000106789
TTF1	No	8457	21689.79	ENSG00000125482
GRIK4	No	8458	21689.42	ENSG00000149403
FAM76A	No	8459	21689.01	ENSG00000009780
CSMD3	No	8460	21688.45	ENSG00000164796
GATD3A	No	8461	21684.06	ENSG00000160221
UEVLD	No	8462	21684.04	ENSG00000151116
FTSJ1	No	8463	21682.5	ENSG00000068438
PPP4R1	No	8464	21679.31	ENSG00000154845
ESS2	No	8465	21677.19	ENSG00000100056
SLC38A7	No	8466	21673.17	ENSG00000103042
ABHD11	No	8467	21668.39	ENSG00000106077
LINC01128	No	8468	21668.19	ENSG00000228794
KBTBD4	No	8469	21657.58	ENSG00000123444
WDR35	No	8470	21657.14	ENSG00000118965
IGSF11	No	8471	21649.32	ENSG00000144847
PIM2	No	8472	21646.83	ENSG00000102096
BRMS1	No	8473	21636.54	ENSG00000174744
COQ8B	No	8474	21633.46	ENSG00000123815
ZNF362	No	8475	21631.92	ENSG00000160094
PDCD11	No	8476	21631.36	ENSG00000148843
PUS7L	No	8477	21627.12	ENSG00000129317
GPRC5C	No	8478	21622.44	ENSG00000170412
LINC01278	No	8479	21617.3	ENSG00000235437
NELFA	No	8480	21615.96	ENSG00000185049
TIGAR	No	8481	21611.97	ENSG00000078237
CHMP6	No	8482	21609.96	ENSG00000176108
ARHGEF26-AS1	No	8483	21609.75	ENSG00000243069
RAP2B	No	8484	21605.92	ENSG00000181467
NAA16	No	8485	21605.47	ENSG00000172766
LIN37	No	8486	21605.38	ENSG00000267796
CUTC	No	8487	21601.97	ENSG00000119929
FOXP2	No	8488	21601.71	ENSG00000128573
IMMP1L	No	8489	21598.73	ENSG00000148950
CRIM1-DT	No	8490	21597.11	ENSG00000260025
SYNE2	No	8491	21596.99	ENSG00000054654
AC007952.4	No	8492	21584.08	ENSG00000262202
AL691432.2	No	8493	21576.36	ENSG00000272106
COG3	No	8494	21573.39	ENSG00000136152
AKNA	No	8495	21572.81	ENSG00000106948
PREP	No	8496	21569.72	ENSG00000085377
KCNIP3	No	8497	21567.55	ENSG00000115041
ING1	No	8498	21555.38	ENSG00000153487
IFT81	No	8499	21553.8	ENSG00000122970
ICK	No	8500	21551.83	ENSG00000112144
IPPK	No	8501	21551.56	ENSG00000127080
NHLRC2	No	8502	21551.25	ENSG00000196865
LACTB2	No	8503	21550.69	ENSG00000147592
PCCA	No	8504	21538.73	ENSG00000175198
AC008124.1	No	8505	21533.34	ENSG00000273015
TADA2B	No	8506	21532.97	ENSG00000173011
TMEM168	No	8507	21530.52	ENSG00000146802
IFT74	No	8508	21528.18	ENSG00000096872
PUDP	No	8509	21525.01	ENSG00000130021
ABHD3	No	8510	21521.75	ENSG00000158201
CORO7	No	8511	21519.76	ENSG00000262246
BOLA2B	No	8512	21518.01	ENSG00000169627
PRR7	No	8513	21517.23	ENSG00000131188
TGFB1	No	8514	21513.94	ENSG00000105329
ARAF	No	8515	21512.1	ENSG00000078061
RNF138	No	8516	21510	ENSG00000134758
C17orf97	No	8517	21506.92	ENSG00000187624
TDRD7	No	8518	21505.81	ENSG00000196116
PIGC	No	8519	21501.59	ENSG00000135845
UGGT2	No	8520	21491.3	ENSG00000102595
U2AF1L4	No	8521	21487.76	ENSG00000161265
CSTF1	No	8522	21487.45	ENSG00000101138
LINC00320	No	8523	21487.22	ENSG00000224924
WDR36	No	8524	21483.54	ENSG00000134987
MGAT2	No	8525	21474.28	ENSG00000168282
ECD	No	8526	21469.52	ENSG00000122882
TSPAN17	No	8527	21461.74	ENSG00000048140
LINC00342	No	8528	21459.33	ENSG00000232931
AC015922.3	No	8529	21457.69	ENSG00000276855
TUBGCP3	No	8530	21455.76	ENSG00000126216
INTS8	No	8531	21455.74	ENSG00000164941
ATP7A	No	8532	21454.49	ENSG00000165240
PLSCR1	No	8533	21453.31	ENSG00000188313
PIK3C2B	No	8534	21441.96	ENSG00000133056
CCDC130	No	8535	21441.74	ENSG00000104957
SLC7A8	No	8536	21441.09	ENSG00000092068
TMEM68	No	8537	21440.19	ENSG00000167904
GDPD2	No	8538	21438.26	ENSG00000130055
USP38	No	8539	21432	ENSG00000170185
PTPN14	No	8540	21426.74	ENSG00000152104
ZNF576	No	8541	21424.48	ENSG00000124444
GART	No	8542	21417.84	ENSG00000159131
VPS33B	No	8543	21413.74	ENSG00000184056
THAP9-AS1	No	8544	21411.3	ENSG00000251022
GLCCI1	No	8545	21410.73	ENSG00000106415
RWDD2B	No	8546	21410.62	ENSG00000156253
MNS1	No	8547	21409.62	ENSG00000138587
ZNF317	No	8548	21407.9	ENSG00000130803
ALKBH4	No	8549	21404.45	ENSG00000160993
ARL10	No	8550	21401.05	ENSG00000175414
KLHL26	No	8551	21396.79	ENSG00000167487
ZBTB21	No	8552	21396.68	ENSG00000173276
BRINP2	No	8553	21390.67	ENSG00000198797
SLC25A48	No	8554	21389.43	ENSG00000145832
CEP250	No	8555	21387.49	ENSG00000126001
CFAP157	No	8556	21382.52	ENSG00000160401
EEF1AKMT2	No	8557	21380.84	ENSG00000203791
MSRB1	No	8558	21365.25	ENSG00000198736
PLEKHG1	No	8559	21364.6	ENSG00000120278
PPP2R3B	No	8560	21364.58	ENSG00000167393
PACRGL	No	8561	21361.14	ENSG00000163138
CNOT6	No	8562	21361.02	ENSG00000113300
ZNF33B	No	8563	21358.67	ENSG00000196693
HES5	No	8564	21355.24	ENSG00000197921
RBM48	No	8565	21354.53	ENSG00000127993
ZNF22	No	8566	21352.01	ENSG00000165512
NANOS3	No	8567	21351.05	ENSG00000187556
AC008443.5	No	8568	21343.37	ENSG00000250222
PSMB8	No	8569	21338.76	ENSG00000204264
SYNGAP1	No	8570	21335.79	ENSG00000197283
PLPPR5	No	8571	21335.63	ENSG00000117598
AP004609.3	No	8572	21335.01	ENSG00000278376
TRDN	No	8573	21332.81	ENSG00000186439
DDR2	No	8574	21324.68	ENSG00000162733
RPRM	No	8575	21319.64	ENSG00000177519
DAGLA	No	8576	21319.54	ENSG00000134780
MEX3C	No	8577	21317.6	ENSG00000176624
DRAM2	No	8578	21309.81	ENSG00000156171
NDST2	No	8579	21308.98	ENSG00000166507
SMUG1	No	8580	21308.15	ENSG00000123415
TMEM69	No	8581	21303.59	ENSG00000159596
CEBPA	No	8582	21294.94	ENSG00000245848
SPIN2B	No	8583	21292.15	ENSG00000186787
PDCL	No	8584	21287.97	ENSG00000136940
CD38	No	8585	21280.25	ENSG00000004468
CD34	No	8586	21279.76	ENSG00000174059
SNAP23	No	8587	21277.53	ENSG00000092531
CA5B	No	8588	21274.5	ENSG00000169239
FARP2	No	8589	21273.53	ENSG00000006607
JMJD6	No	8590	21265.02	ENSG00000070495
HVCN1	No	8591	21260.77	ENSG00000122986
DAGLB	No	8592	21260.15	ENSG00000164535
PLOD2	No	8593	21257.42	ENSG00000152952
OCEL1	No	8594	21255.34	ENSG00000099330
OGFOD3	No	8595	21254.51	ENSG00000181396
STX10	No	8596	21251.11	ENSG00000104915
GRK4	No	8597	21248.82	ENSG00000125388
ZNF746	No	8598	21246.33	ENSG00000181220
TMEM107	No	8599	21242.36	ENSG00000179029
ARL14EP	No	8600	21238.46	ENSG00000152219
E4F1	No	8601	21235.42	ENSG00000167967
UPRT	No	8602	21231.09	ENSG00000094841
RAP2C	No	8603	21230.57	ENSG00000123728
CFAP43	No	8604	21229.98	ENSG00000197748
FIGN	No	8605	21227.07	ENSG00000182263
ARNT	No	8606	21225.36	ENSG00000143437
AKAP8	No	8607	21225.06	ENSG00000105127
PLEKHM1	No	8608	21222.33	ENSG00000225190
AMBRA1	No	8609	21213.66	ENSG00000110497
GUCD1	No	8610	21208.49	ENSG00000138867
ACAD8	No	8611	21205.33	ENSG00000151498
EHBP1L1	No	8612	21189.02	ENSG00000173442
PBDC1	No	8613	21187.96	ENSG00000102390
RNF169	No	8614	21181.24	ENSG00000166439
STX1A	No	8615	21181.22	ENSG00000106089
MTMR12	No	8616	21179.3	ENSG00000150712
STAR	No	8617	21178.59	ENSG00000147465
ARHGAP29	No	8618	21171.05	ENSG00000137962
FAM47E	No	8619	21168.28	ENSG00000189157
NINL	No	8620	21167.59	ENSG00000101004
TFIP11	No	8621	21165.9	ENSG00000100109
TMEM132C	No	8622	21165.43	ENSG00000181234
ZNF263	No	8623	21163.36	ENSG00000006194
PLCXD2	No	8624	21161.59	ENSG00000240891
LCA5	No	8625	21157.33	ENSG00000135338
AC004158.1	No	8626	21155.94	ENSG00000260664
SEC24A	No	8627	21153.09	ENSG00000113615
CCDC14	No	8628	21150.87	ENSG00000175455
CHCHD4	No	8629	21150.69	ENSG00000163528
MLLT10	No	8630	21150.69	ENSG00000078403
METTL8	No	8631	21150.27	ENSG00000123600
GADD45G	No	8632	21148.72	ENSG00000130222
JCAD	No	8633	21143.12	ENSG00000165757
ANO4	No	8634	21138.22	ENSG00000151572
THRB	No	8635	21137.26	ENSG00000151090
EFCAB2	No	8636	21134.05	ENSG00000203666
KCTD1	No	8637	21133.11	ENSG00000134504
SPIN3	No	8638	21130.83	ENSG00000204271
ERCC4	No	8639	21126.45	ENSG00000175595
LINC00685	No	8640	21118.81	ENSG00000226179
RPP14	No	8641	21114.58	ENSG00000163684
OBI1	No	8642	21110.16	ENSG00000152193
POLR3G	No	8643	21095	ENSG00000113356
FAM104A	No	8644	21092.7	ENSG00000133193
HECTD3	No	8645	21085.73	ENSG00000126107
DHX8	No	8646	21085.57	ENSG00000067596
AIFM1	No	8647	21085.56	ENSG00000156709
EML1	No	8648	21074.1	ENSG00000066629
HDAC7	No	8649	21072.7	ENSG00000061273
MAP2K6	No	8650	21072.59	ENSG00000108984
DRD2	No	8651	21072.13	ENSG00000149295
MTMR1	No	8652	21071.02	ENSG00000063601
ABRAXAS2	No	8653	21070.96	ENSG00000165660
GFER	No	8654	21069.46	ENSG00000127554
COA7	No	8655	21060.65	ENSG00000162377
FKTN	No	8656	21055.48	ENSG00000106692
SULF1	No	8657	21052.42	ENSG00000137573
AKAP17A	No	8658	21048.99	ENSG00000197976
FRMD5	No	8659	21041.45	ENSG00000171877
METTL21A	No	8660	21040.09	ENSG00000144401
AAAS	No	8661	21038.27	ENSG00000094914
ZFR2	No	8662	21036.86	ENSG00000105278
ADAM11	No	8663	21026.34	ENSG00000073670
FPGS	No	8664	21019.71	ENSG00000136877
PARP8	No	8665	21019.52	ENSG00000151883
XRCC1	No	8666	21017.58	ENSG00000073050
YBEY	No	8667	21016.88	ENSG00000182362
LRFN3	No	8668	21016.75	ENSG00000126243
BBS5	No	8669	21015.91	ENSG00000163093
ZNF544	No	8670	21014.9	ENSG00000198131
BRF2	No	8671	21014.43	ENSG00000104221
DHRS4-AS1	No	8672	21013.98	ENSG00000215256
NANOS1	No	8673	21007.16	ENSG00000188613
USF3	No	8674	21006.78	ENSG00000176542
RNPEP	No	8675	20994.28	ENSG00000176393
MAK16	No	8676	20964.72	ENSG00000198042
AFAP1L2	No	8677	20954.35	ENSG00000169129
TNFRSF6B	No	8678	20947.32	ENSG00000243509
NUP155	No	8679	20941.74	ENSG00000113569
ZNF507	No	8680	20924.65	ENSG00000168813
WDPCP	No	8681	20923.87	ENSG00000143951
SLC1A6	No	8682	20923.26	ENSG00000105143
MTAP	No	8683	20921.07	ENSG00000099810
PILRB	No	8684	20917.47	ENSG00000121716
COLGALT1	No	8685	20915.91	ENSG00000130309
SIDT1	No	8686	20912.64	ENSG00000072858
CDK12	No	8687	20907.51	ENSG00000167258
RSPRY1	No	8688	20904.79	ENSG00000159579
CHST15	No	8689	20903.8	ENSG00000182022
SMIM18	No	8690	20897.74	ENSG00000253457
CDH23	No	8691	20894.95	ENSG00000107736
PAQR7	No	8692	20891.29	ENSG00000182749
YEATS4	No	8693	20889.52	ENSG00000127337
SOWAHC	No	8694	20883.4	ENSG00000198142
F13A1	No	8695	20883.01	ENSG00000124491
UTP6	No	8696	20877.14	ENSG00000108651
AC005670.3	No	8697	20875.36	ENSG00000262879
PLD5	No	8698	20874.24	ENSG00000180287
TGFBRAP1	No	8699	20858.99	ENSG00000135966
OSBPL5	No	8700	20847.57	ENSG00000021762
RNF123	No	8701	20844.57	ENSG00000164068
TYK2	No	8702	20835.46	ENSG00000105397
YDJC	No	8703	20832.22	ENSG00000161179
ZNF506	No	8704	20827.4	ENSG00000081665
XPO5	No	8705	20825.79	ENSG00000124571
MARC1	No	8706	20822.95	ENSG00000186205
LGR5	No	8707	20820.23	ENSG00000139292
NOS1AP	No	8708	20817.03	ENSG00000198929
SZT2	No	8709	20814.54	ENSG00000198198
MTHFD2L	No	8710	20810.25	ENSG00000163738
TAP1	No	8711	20809.54	ENSG00000168394
COG8	No	8712	20809.3	ENSG00000213380
COX18	No	8713	20806.43	ENSG00000163626
BMT2	No	8714	20801.7	ENSG00000164603
ACVR2A	No	8715	20792.46	ENSG00000121989
GRM7	No	8716	20791.89	ENSG00000196277
LMAN2L	No	8717	20788.89	ENSG00000114988
IFT172	No	8718	20787.67	ENSG00000138002
E2F6	No	8719	20787.66	ENSG00000169016
ZC3H18	No	8720	20783.04	ENSG00000158545
SH3BP4	No	8721	20779.53	ENSG00000130147
SCRN3	No	8722	20778.53	ENSG00000144306
ANAPC4	No	8723	20777.2	ENSG00000053900
TIPARP	No	8724	20773.7	ENSG00000163659
PLD2	No	8725	20768.94	ENSG00000129219
TGFBR3	No	8726	20764.54	ENSG00000069702
PLPP5	No	8727	20764.27	ENSG00000147535
TRPM7	No	8728	20759.27	ENSG00000092439
DNAJC25	No	8729	20759.09	ENSG00000059769
XAF1	No	8730	20757.91	ENSG00000132530
SNX8	No	8731	20755.06	ENSG00000106266
ELP4	No	8732	20751.86	ENSG00000109911
TNXB	No	8733	20749.43	ENSG00000168477
DUSP12	No	8734	20745.26	ENSG00000081721
RAB11B-AS1	No	8735	20737.44	ENSG00000269386
ZHX2	No	8736	20734.72	ENSG00000178764
SPATA7	No	8737	20733.41	ENSG00000042317
UHRF2	No	8738	20730.79	ENSG00000147854
ZNF280B	No	8739	20724.73	ENSG00000275004
KIRREL3	No	8740	20724.09	ENSG00000149571
COQ10A	No	8741	20723.36	ENSG00000135469
SH3D19	No	8742	20706.75	ENSG00000109686
CTXN3	No	8743	20706.66	ENSG00000205279
LMNB2	No	8744	20706	ENSG00000176619
EPCAM	No	8745	20703.11	ENSG00000119888
CTTNBP2NL	No	8746	20686.82	ENSG00000143079
TAB3	No	8747	20684.47	ENSG00000157625
TMEM223	No	8748	20683.99	ENSG00000168569
KCNQ5	No	8749	20682.56	ENSG00000185760
PRORP	No	8750	20676.5	ENSG00000100890
ZC4H2	No	8751	20673.9	ENSG00000126970
DNAH17-AS1	No	8752	20670.72	ENSG00000267432
C11orf24	No	8753	20660.76	ENSG00000171067
NPEPL1	No	8754	20658.65	ENSG00000215440
ATG16L1	No	8755	20658.36	ENSG00000085978
ING2	No	8756	20655.63	ENSG00000168556
ZNF562	No	8757	20655.17	ENSG00000171466
CC2D1B	No	8758	20653.05	ENSG00000154222
ELFN1	No	8759	20653.03	ENSG00000225968
TAF2	No	8760	20651.23	ENSG00000064313
ENTPD3-AS1	No	8761	20648.53	ENSG00000223797
ATP8B2	No	8762	20640.03	ENSG00000143515
RMND1	No	8763	20639.62	ENSG00000155906
ORC5	No	8764	20639.44	ENSG00000164815
RAPGEFL1	No	8765	20634.35	ENSG00000108352
ANKRD29	No	8766	20634.32	ENSG00000154065
HOMER2	No	8767	20630.29	ENSG00000103942
SAMD11	No	8768	20615.23	ENSG00000187634
ZBTB37	No	8769	20611.14	ENSG00000185278
TMOD1	No	8770	20605.84	ENSG00000136842
RFX2	No	8771	20604.96	ENSG00000087903
SSTR1	No	8772	20603.67	ENSG00000139874
MIA2	No	8773	20598.52	ENSG00000150527
RBBP9	No	8774	20597.66	ENSG00000089050
RRAS	No	8775	20594.86	ENSG00000126458
LAMP5	No	8776	20592.87	ENSG00000125869
SNHG17	No	8777	20589.23	ENSG00000196756
LCORL	No	8778	20581.78	ENSG00000178177
CDK11B	No	8779	20578.69	ENSG00000248333
HS1BP3	No	8780	20578.2	ENSG00000118960
ZNF688	No	8781	20577.98	ENSG00000229809
ZNF286A	No	8782	20575.65	ENSG00000187607
TTC8	No	8783	20570.31	ENSG00000165533
AR	No	8784	20569.58	ENSG00000169083
LGR6	No	8785	20567.99	ENSG00000133067
PRRC1	No	8786	20567.48	ENSG00000164244
TRAF3IP2	No	8787	20561.87	ENSG00000056972
GTF3C2	No	8788	20555.4	ENSG00000115207
PARP14	No	8789	20554.1	ENSG00000173193
C6orf120	No	8790	20552.29	ENSG00000185127
TBC1D22B	No	8791	20549.22	ENSG00000065491
ZNF236	No	8792	20548.86	ENSG00000130856
PRPF4	No	8793	20548.81	ENSG00000136875
SDS	No	8794	20536.92	ENSG00000135094
ZNF426	No	8795	20535.91	ENSG00000130818
SAC3D1	No	8796	20530.82	ENSG00000168061
CDC42EP2	No	8797	20528.52	ENSG00000149798
STK19	No	8798	20528.32	ENSG00000204344
TTC21B	No	8799	20527.08	ENSG00000123607
TIMM29	No	8800	20519.11	ENSG00000142444
HEXD	No	8801	20517.68	ENSG00000169660
TBC1D7	No	8802	20516.32	ENSG00000145979
RPS6KA6	No	8803	20515.41	ENSG00000072133
INO80D	No	8804	20513.74	ENSG00000114933
NCOA5	No	8805	20513.12	ENSG00000124160
KIAA1549	No	8806	20511.97	ENSG00000122778
TMEM62	No	8807	20509.47	ENSG00000137842
NUP98	No	8808	20507.59	ENSG00000110713
BAHD1	No	8809	20507.3	ENSG00000140320
NOP14	No	8810	20504.68	ENSG00000087269
MISP3	No	8811	20498.04	ENSG00000141854
ZNF493	No	8812	20494.97	ENSG00000196268
WDR20	No	8813	20489.04	ENSG00000140153
FXYD5	No	8814	20482.8	ENSG00000089327
XYLT1	No	8815	20481.06	ENSG00000103489
HS3ST4	No	8816	20480.28	ENSG00000182601
PTP4A3	No	8817	20478.12	ENSG00000184489
GNPNAT1	No	8818	20471.41	ENSG00000100522
IFNAR2	No	8819	20466.79	ENSG00000159110
IRF2	No	8820	20466.47	ENSG00000168310
RDH13	No	8821	20466.3	ENSG00000160439
FUCA1	No	8822	20466.25	ENSG00000179163
FXN	No	8823	20465.47	ENSG00000165060
PIP5K1A	No	8824	20460.98	ENSG00000143398
ZNF605	No	8825	20460.63	ENSG00000196458
PYCR3	No	8826	20452.68	ENSG00000104524
CYB561A3	No	8827	20449.86	ENSG00000162144
NOB1	No	8828	20449.64	ENSG00000141101
GPN3	No	8829	20446.98	ENSG00000111231
GMDS	No	8830	20441.58	ENSG00000112699
LRCH4	No	8831	20438.3	ENSG00000077454
TMEM254	No	8832	20436.21	ENSG00000133678
RPUSD4	No	8833	20432.19	ENSG00000165526
UGDH	No	8834	20431.88	ENSG00000109814
ANKRD65	No	8835	20431.87	ENSG00000235098
PDE11A	No	8836	20427.65	ENSG00000128655
PLPP7	No	8837	20426.9	ENSG00000160539
RNF128	No	8838	20425.27	ENSG00000133135
MYOM1	No	8839	20420.56	ENSG00000101605
FAM149B1	No	8840	20414.69	ENSG00000138286
ZNF598	No	8841	20402.51	ENSG00000167962
BORCS6	No	8842	20400.76	ENSG00000196544
FGFRL1	No	8843	20391.2	ENSG00000127418
MAP3K3	No	8844	20390.28	ENSG00000198909
KDM2B	No	8845	20389.99	ENSG00000089094
ZNF318	No	8846	20385.09	ENSG00000171467
TVP23A	No	8847	20384.11	ENSG00000166676
COIL	No	8848	20383	ENSG00000121058
BEND5	No	8849	20382.66	ENSG00000162373
MICAL2	No	8850	20381.57	ENSG00000133816
MTCL1	No	8851	20376.78	ENSG00000168502
C16orf89	No	8852	20372.17	ENSG00000153446
DHX57	No	8853	20366.52	ENSG00000163214
ANKZF1	No	8854	20356.85	ENSG00000163516
AC055839.2	No	8855	20353.54	ENSG00000286190
MTM1	No	8856	20348.05	ENSG00000171100
HERC6	No	8857	20340.92	ENSG00000138642
AKR1C3	No	8858	20338.92	ENSG00000196139
ZNF329	No	8859	20337.97	ENSG00000181894
ELK4	No	8860	20337.37	ENSG00000158711
NINJ2	No	8861	20336.76	ENSG00000171840
CDK5RAP1	No	8862	20336.02	ENSG00000101391
SPR	No	8863	20333.74	ENSG00000116096
HIRA	No	8864	20328.33	ENSG00000100084
A1BG	No	8865	20327.08	ENSG00000121410
ING3	No	8866	20322.47	ENSG00000071243
PEX3	No	8867	20321.25	ENSG00000034693
ZNF260	No	8868	20320.83	ENSG00000254004
ABITRAM	No	8869	20318.81	ENSG00000119328
ICOSLG	No	8870	20311.61	ENSG00000160223
SDCBP2	No	8871	20311.37	ENSG00000125775
TARS2	No	8872	20309.77	ENSG00000143374
RPS6KL1	No	8873	20308.61	ENSG00000198208
PTRH1	No	8874	20302.8	ENSG00000187024
GREM1	No	8875	20300.26	ENSG00000166923
SMCR8	No	8876	20297.33	ENSG00000176994
GEMIN5	No	8877	20285.82	ENSG00000082516
SRPK1	No	8878	20284.85	ENSG00000096063
TMEM229B	No	8879	20282.14	ENSG00000198133
GRAMD1C	No	8880	20269.84	ENSG00000178075
JUP	No	8881	20268.79	ENSG00000173801
SMARCAL1	No	8882	20263.2	ENSG00000138375
SF3A2	No	8883	20263.02	ENSG00000104897
BTBD17	No	8884	20254.16	ENSG00000204347
INTS13	No	8885	20248.15	ENSG00000064102
PCID2	No	8886	20247.04	ENSG00000126226
ENOX1	No	8887	20245.97	ENSG00000120658
KHDC4	No	8888	20241.5	ENSG00000132680
ADCY6	No	8889	20234.44	ENSG00000174233
TMEM38B	No	8890	20233.95	ENSG00000095209
ABCD2	No	8891	20229.63	ENSG00000173208
PRKCG	No	8892	20227.39	ENSG00000126583
AC024075.2	No	8893	20224.34	ENSG00000269044
ABHD13	No	8894	20224.16	ENSG00000139826
BCAT2	No	8895	20216.54	ENSG00000105552
CTPS1	No	8896	20214.01	ENSG00000171793
CASC2	No	8897	20211.78	ENSG00000177640
ISLR	No	8898	20207.72	ENSG00000129009
MDGA2	No	8899	20202.18	ENSG00000139915
ZNF131	No	8900	20199.47	ENSG00000172262
POLL	No	8901	20197.07	ENSG00000166169
GALNT7	No	8902	20195.83	ENSG00000109586
PLCH1	No	8903	20193.97	ENSG00000114805
SDK2	No	8904	20190.13	ENSG00000069188
ZNF875	No	8905	20190.13	ENSG00000181666
MAP2K5	No	8906	20188.9	ENSG00000137764
WWC3	No	8907	20186.51	ENSG00000047644
CRYBG3	No	8908	20179.47	ENSG00000080200
TMEM161B	No	8909	20177.44	ENSG00000164180
MYO1C	No	8910	20174.06	ENSG00000197879
NPL	No	8911	20173.69	ENSG00000135838
MOGS	No	8912	20169.01	ENSG00000115275
ESCO1	No	8913	20168.5	ENSG00000141446
MED11	No	8914	20155.13	ENSG00000161920
DOLK	No	8915	20155.04	ENSG00000175283
PTPN1	No	8916	20154.43	ENSG00000196396
ZNF641	No	8917	20147.88	ENSG00000167528
TMEM11	No	8918	20146.05	ENSG00000178307
LRRC61	No	8919	20145.4	ENSG00000127399
PPARGC1A	No	8920	20144.27	ENSG00000109819
SCO2	No	8921	20143.9	ENSG00000284194
EXOSC5	No	8922	20142.16	ENSG00000077348
FASTKD1	No	8923	20139.34	ENSG00000138399
CALCRL	No	8924	20134.73	ENSG00000064989
ZNF787	No	8925	20127.97	ENSG00000142409
ZNF626	No	8926	20125.02	ENSG00000188171
METTL14	No	8927	20124.49	ENSG00000145388
ERBB2	No	8928	20121.26	ENSG00000141736
CTSO	No	8929	20117.07	ENSG00000256043
PPP1R35	No	8930	20116.67	ENSG00000160813
MEX3D	No	8931	20107.96	ENSG00000181588
NUP54	No	8932	20097.77	ENSG00000138750
CCDC24	No	8933	20097.73	ENSG00000159214
CCDC84	No	8934	20092.28	ENSG00000186166
EXOSC2	No	8935	20090.4	ENSG00000130713
SFI1	No	8936	20084.07	ENSG00000198089
TCHP	No	8937	20081.44	ENSG00000139437
CWF19L1	No	8938	20075.46	ENSG00000095485
RNF25	No	8939	20075.06	ENSG00000163481
PABPC1L2B	No	8940	20074.27	ENSG00000184388
ZNF415	No	8941	20072.14	ENSG00000170954
TYMP	No	8942	20069.02	ENSG00000025708
ARID2	No	8943	20063.55	ENSG00000189079
NUP205	No	8944	20062.77	ENSG00000155561
LINC00839	No	8945	20062.07	ENSG00000185904
ZBTB17	No	8946	20052.17	ENSG00000116809
CSGALNACT2	No	8947	20052.06	ENSG00000169826
EEF2K	No	8948	20049.68	ENSG00000103319
SLC25A42	No	8949	20047.89	ENSG00000181035
MIIP	No	8950	20047.21	ENSG00000116691
ANKS3	No	8951	20043.89	ENSG00000168096
EML3	No	8952	20040.77	ENSG00000149499
C11orf71	No	8953	20031.37	ENSG00000180425
GSTZ1	No	8954	20029.15	ENSG00000100577
ANAPC10	No	8955	20029.11	ENSG00000164162
FAM114A2	No	8956	20017.63	ENSG00000055147
SIRT1	No	8957	20016.6	ENSG00000096717
FHIT	No	8958	20015.52	ENSG00000189283
GOLGA1	No	8959	20014.18	ENSG00000136935
ABCB7	No	8960	20013.21	ENSG00000131269
TRIM32	No	8961	19999.78	ENSG00000119401
ZNF160	No	8962	19998.92	ENSG00000170949
SCFD2	No	8963	19995.44	ENSG00000184178
COBLL1	No	8964	19991.06	ENSG00000082438
EXOC6	No	8965	19988.38	ENSG00000138190
NFKB1	No	8966	19984.69	ENSG00000109320
MOK	No	8967	19984.21	ENSG00000080823
