gene_id	gene_name	nsigsamps	meanrank	V13M06-331_A1s2	V13M06-331_A1s1	V13M06-331_B1s2	V13M06-331_B1s1	V13M06-331_C1s2	V13M06-331_C1s1	V13M06-331_D1s2	V13M06-333_A1s1	V13M06-333_A1s2	V13M06-333_B1s2	V13M06-333_B1s1	V13M06-333_C1s1	V13M06-333_C1s2	V13M06-333_D1s1	V13M06-333_D1s2	V13M06-332_A1s1	V13M06-332_A1s2	V13M06-332_B1s1	V13M06-332_B1s2	V13M06-332_D1s2	V13M06-332_D1s1	V13M06-404_A1s1	V13M06-404_A1s2	V13M06-404_B1s2	V13M06-404_B1s1	V13M06-404_C1s1	V13M06-404_C1s2	V13M06-404_D1s1	V13M06-404_D1s2	V13M06-403_D1s2	V13M06-403_D1s1	V13M06-402_A1s1	V13M06-402_A1s2	V13M06-402_B1s2	V13M06-402_B1s1	V13M06-402_C1s2	V13M06-402_C1s1	V13M06-402_D1s2	V13M06-402_D1s1	V13M06-401_A1s2	V13M06-401_A1s1	V13M06-401_C1s1	V13M06-401_D1s1	V13M06-401_D1s2	V13M06-386_A1s2	V13M06-386_A1s1	V13M06-386_C1s1	V13M06-386_D1s1	V13M06-386_D1s2	V13B23-366_A1s1	V13B23-284_A1s1	V13B23-284_A1s2	V13B23-284_C1s2	V13B23-284_C1s1	V13B23-284_D1s2	V13B23-284_D1s1	V13F27-339_A1s1	V13F27-339_A1s2	V13F27-339_B1s2	V13F27-339_B1s1	V13F27-339_C1s1	V13B23-286_A1s1	V13B23-286_A1s2	V13M06-331_D1s1	V13M06-401_B1s2	V13M06-401_B1s1	V13B23-284_B1s1	V13F27-339_C1s2
ENSG00000106683	LIMK1	2	93.5											156																																															31										
ENSG00000106688	SLC1A1	1	26													26																																																							
ENSG00000106771	TMEM245	1	65																																														65																						
ENSG00000106772	PRUNE2	1	197																		197																																																		
ENSG00000106780	MEGF9	2	154.5																																													100																				209			
ENSG00000106789	CORO2A	1	119																																																																				119
ENSG00000106799	TGFBR1	1	101																																			101																																	
ENSG00000106803	SEC61B	2	68								66																																																												70
ENSG00000106976	DNM1	3	173.666666666667	291																				118																							112																								
ENSG00000106991	ENG	2	148																				172																																										124						
ENSG00000107105	ELAVL2	2	23																																										24																							22			
ENSG00000107130	NCS1	2	265.5	263																			268																																																
ENSG00000107175	CREB3	1	17																																																									17											
ENSG00000107223	EDF1	3	178.333333333333															143																															64																328						
ENSG00000107242	PIP5K1B	2	103						175																																																												31		
ENSG00000107262	BAG1	2	146.5																									130										163																																	
ENSG00000107281	NPDC1	2	88.5						113																																																									64					
ENSG00000107282	APBA1	2	66.5													48								85																																															
ENSG00000107290	SETX	2	65.5																						6													125																																	
ENSG00000107295	SH3GL2	1	245																																																															245					
ENSG00000107317	PTGDS	11	79.8181818181818										67					157			112	54	40			91	127																									13	53												112		52				
ENSG00000107331	ABCA2	1	30																													30																																							
ENSG00000107341	UBE2R2	3	117		59																	270											22																																						
ENSG00000107362	ABHD17B	1	76																			76																																																	
ENSG00000107372	ZFAND5	1	9						9																																																														
ENSG00000107485	GATA3	2	3										3		3																																																								
ENSG00000107521	HPS1	2	76													39																																																				113			
ENSG00000107537	PHYH	1	55																			55																																																	
ENSG00000107581	EIF3A	2	34											36																			32																																						
ENSG00000107669	ATE1	1	147	147																																																																			
ENSG00000107679	PLEKHA1	1	144																																																																	144			
ENSG00000107742	SPOCK2	3	78.6666666666667																									135																												30				71											
ENSG00000107745	MICU1	2	247.5		73																																																																	422	
ENSG00000107758	PPP3CB	2	120																					186																		54																													
ENSG00000107816	LZTS2	1	128							128																																																													
ENSG00000107862	GBF1	2	168.5																					236																																									101						
ENSG00000107863	ARHGAP21	1	56																																																									56											
ENSG00000107864	CPEB3	2	17.5			23																																																									12								
ENSG00000107872	FBXL15	1	42																																																																			42	
ENSG00000107897	ACBD5	1	254																																																																			254	
ENSG00000107902	LHPP	2	46											38			54																																																						
ENSG00000107937	GTPBP4	3	217.666666666667																		253			295																																				105											
ENSG00000107954	NEURL1	1	35																																																																	35			
ENSG00000108010	GLRX3	2	130.5																		229																						32																												
ENSG00000108061	SHOC2	3	179.666666666667						105																												71																																	363	
ENSG00000108064	TFAM	2	215.5																			198	233																																																
ENSG00000108091	CCDC6	2	41																							46																												36																	
ENSG00000108100	CCNY	1	249																																																																			249	
ENSG00000108106	UBE2S	1	104																																																																			104	
ENSG00000108107	RPL28	4	99	206											108																					34																								48											
ENSG00000108175	ZMIZ1	1	75																																																																		75		
ENSG00000108176	DNAJC12	2	45.5	60												31																																																							
ENSG00000108179	PPIF	1	3																														3																																						
ENSG00000108231	LGI1	2	44.5	34																																55																																			
ENSG00000108256	NUFIP2	3	76																			70																											26															132							
ENSG00000108262	GIT1	1	249																					249																																															
ENSG00000108298	RPL19	1	37																								37																																												
ENSG00000108309	RUNDC3A	1	65																																																																		65		
ENSG00000108344	PSMD3	2	105															91					119																																																
ENSG00000108349	CASC3	2	110.5																																																														161			60			
ENSG00000108370	RGS9	2	71										19																																																									123	
ENSG00000108387	SEPTIN4	1	50																	50																																																			
ENSG00000108389	MTMR4	1	390																																																																			390	
ENSG00000108395	TRIM37	2	195	152																																																														238					
ENSG00000108406	DHX40	1	51																																		51																																		
ENSG00000108424	KPNB1	1	237																																																														237						
ENSG00000108468	CBX1	1	305	305																																																																			
ENSG00000108509	CAMTA2	1	73																																																																		73		
ENSG00000108518	PFN1	5	124.8																				154				100																												33										86	251					
ENSG00000108523	RNF167	2	165.5						128									203																																																					
ENSG00000108528	SLC25A11	3	99.6666666666667																		99																													88																	112				
ENSG00000108561	C1QBP	2	24.5						42																										7																																				
ENSG00000108576	SLC6A4	17	7.82352941176471	5	1						2	1	1	2	2								1						1	1						1	1	2					1																					1			109		1		
ENSG00000108582	CPD	1	51																							51																																													
ENSG00000108587	GOSR1	1	96																		96																																																		
ENSG00000108588	CCDC47	3	201.333333333333													73								53																																														478	
ENSG00000108590	MED31	1	30		30																																																																		
ENSG00000108591	DRG2	1	83																								83																																												
ENSG00000108654	DDX5	1	228																																																																			228	
ENSG00000108666	C17orf75	1	67																																																			67																	
ENSG00000108671	PSMD11	1	29																																	29																																			
ENSG00000108679	LGALS3BP	3	133.666666666667																																												256									47				98											
ENSG00000108773	KAT2A	1	13																																																									13											
ENSG00000108774	RAB5C	1	155																																																																				155
ENSG00000108826	MRPL27	2	204.5																						3																																													406	
ENSG00000108828	VAT1	12	68.0833333333333							48							51						165	23				45									32	78												48															238	24	36			29	
ENSG00000108830	RND2	3	141																					184																																													55		184
ENSG00000108840	HDAC5	1	46													46																																																							
ENSG00000108848	LUC7L3	2	152.5												174																																						131																		
ENSG00000108852	MPP2	2	79		124																																												34																						
ENSG00000108883	EFTUD2	2	72.5							120						25																																																							
ENSG00000108946	PRKAR1A	2	84.5																																																															49		120			
ENSG00000108947	EFNB3	1	25																																																																25				
ENSG00000108953	YWHAE	5	96.8					167					73																							64																	166			14															
ENSG00000109062	SLC9A3R1	3	54.3333333333333																								48																																		78			37							
ENSG00000109084	TMEM97	2	26									16																																																								36			
ENSG00000109103	UNC119	2	100																																																													38	162						
ENSG00000109107	ALDOC	5	108.4	200	99																															22											193													28											
ENSG00000109132	PHOX2B	3	84												56													58																																											138
ENSG00000109133	TMEM33	1	113																						113																																														
ENSG00000109171	SLAIN2	2	233.5																																													112																				355			
ENSG00000109180	OCIAD1	2	143															28																																																258					
ENSG00000109270	LAMTOR3	1	125																							125																																													
ENSG00000109339	MAPK10	1	63																																													63																							
ENSG00000109390	NDUFC1	2	106.5																																				5																										208						
ENSG00000109436	TBC1D9	5	85.6				26	84						136																																																		93				89			
ENSG00000109466	KLHL2	1	146																																																															146					
ENSG00000109472	CPE	3	83.6666666666667												168																					7	76																																		
ENSG00000109475	RPL34	5	21.6																								21											25			16	14							32																						
ENSG00000109501	WFS1	1	228															228																																																					
ENSG00000109519	GRPEL1	3	126																																												26													37										315	
ENSG00000109572	CLCN3	1	279																																																														279						
ENSG00000109606	DHX15	1	101																								101																																												
ENSG00000109654	TRIM2	1	37																											37																																									
ENSG00000109670	FBXW7	1	21																																															21																					
ENSG00000109738	GLRB	1	32													32																																																							
ENSG00000109756	RAPGEF2	1	68									68																																																											
ENSG00000109762	SNX25	1	208																																																		208																		
ENSG00000109790	KLHL5	2	270																		257		283																																																
ENSG00000109832	DDX25	1	269																																																																			269	
ENSG00000109846	CRYAB	2	83															163																							3																														
ENSG00000109917	ZPR1	1	16																																																																				16
ENSG00000109919	MTCH2	1	340																																																																			340	
ENSG00000109929	SC5D	1	110						110																																																														
ENSG00000109971	HSPA8	7	155	217					11									191					231																			38																	15									382			
ENSG00000110002	VWA5A	2	100.5												151													50																																											
ENSG00000110013	SIAE	3	181																																									12									63																	468	
ENSG00000110025	SNX15	1	149														149																																																						
ENSG00000110074	FOXRED1	1	102																						102																																														
ENSG00000110076	NRXN2	2	91																		153																																										29								
ENSG00000110090	CPT1A	1	17																																													17																							
ENSG00000110107	PRPF19	1	125																																																														125						
ENSG00000110200	ANAPC15	1	69																																																																			69	
ENSG00000110321	EIF4G2	1	126																					126																																															
ENSG00000110330	BIRC2	1	50																																															50																					
ENSG00000110400	NECTIN1	1	116																								116																																												
ENSG00000110422	HIPK3	2	128.5																																														39																	218					
ENSG00000110429	FBXO3	1	50																																																															50					
ENSG00000110435	PDHX	3	99																				114																														182			1															
ENSG00000110436	SLC1A2	6	61.3333333333333		82			66				15			39							124																														42																			
ENSG00000110536	PTPMT1	1	154												154																																																								
ENSG00000110628	SLC22A18	1	51					51																																																															
ENSG00000110651	CD81	2	147.5																																				38																											257					
ENSG00000110696	C11orf58	1	94																						94																																														
ENSG00000110697	PITPNM1	3	34.6666666666667	41																																														45																		18			
ENSG00000110700	RPS13	5	80.8							107														33													59																						9											196	
ENSG00000110717	NDUFS8	3	59.3333333333333																																		70			49																													59		
ENSG00000110721	CHKA	3	100.666666666667																					56																							86						160																		
ENSG00000110799	VWF	1	213																																																															213					
ENSG00000110851	PRDM4	1	50										50																																																										
ENSG00000110880	CORO1C	1	25																	25																																																			
ENSG00000110888	CAPRIN2	1	241																			241																																																	
ENSG00000110906	KCTD10	2	152															108						196																																															
ENSG00000110911	SLC11A2	1	218																																																																	218			
ENSG00000110917	MLEC	2	147																					285											9																																				
ENSG00000110921	MVK	2	135																																															34															236						
ENSG00000110925	CSRNP2	1	42					42																																																															
ENSG00000110955	ATP5F1B	4	74.75																			6															35																														55	203			
ENSG00000110958	PTGES3	2	16.5																											26												7																													
ENSG00000111144	LTA4H	2	118.5																																																														118					119	
ENSG00000111229	ARPC3	1	39																																			39																																	
ENSG00000111275	ALDH2	4	53.25															98	41																					62		12																													
ENSG00000111371	SLC38A1	4	45.5																				58		56															40												28																			
ENSG00000111412	C12orf49	2	93																																			119																							67										
ENSG00000111481	COPZ1	1	114																																												114																								
ENSG00000111530	CAND1	2	135.5																					30																																									241						
ENSG00000111540	RAB5B	3	128.666666666667																																							22																			94									270	
ENSG00000111640	GAPDH	13	76.3076923076923	103										84					7		16	37		194				67																			213			75	9	70											33							84	
ENSG00000111666	CHPT1	1	44																																																																			44	
ENSG00000111667	USP5	1	215																																																															215					
ENSG00000111669	TPI1	5	102.8																							62																					244			14		52															142				
ENSG00000111670	GNPTAB	1	385																																																																			385	
ENSG00000111674	ENO2	6	127.666666666667																					8														154																19											100	120				365	
ENSG00000111676	ATN1	2	94.5																				158																													31																			
ENSG00000111678	C12orf57	3	173.666666666667																																												186																							173	162
ENSG00000111711	GOLT1B	1	79																																																																	79			
ENSG00000111716	LDHB	6	52.1666666666667	140									48											48																	18								54										5												
ENSG00000111726	CMAS	3	80					108																																												80														52					
ENSG00000111731	C2CD5	1	315																																																																	315			
ENSG00000111737	RAB35	1	108																																																															108					
ENSG00000111775	COX6A1	5	136		138																227							175																																					139			1			
ENSG00000111786	SRSF9	3	88.3333333333333																														29			3																														233					
ENSG00000111790	FGFR1OP2	1	119															119																																																					
ENSG00000111802	TDP2	2	217					198																																																														236	
ENSG00000111832	RWDD1	3	37																		80																		21																							10									
ENSG00000111843	TMEM14C	1	117		117																																																																		
ENSG00000111875	ASF1A	2	94																				160																																																28
ENSG00000111879	FAM184A	1	233												233																																																								
ENSG00000111897	SERINC1	2	111																																																8																	214			
ENSG00000111907	TPD52L1	3	63																						99																		73											17																	
ENSG00000111911	HINT3	1	342																																																																	342			
ENSG00000111912	NCOA7	1	77																																															77																					
ENSG00000111961	SASH1	3	130.333333333333																		219																													68											104										
ENSG00000112096	SOD2	3	86															35																21																																	202				
ENSG00000112110	MRPL18	1	63								63																																																												
ENSG00000112130	RNF8	1	189						189																																																														
ENSG00000112146	FBXO9	1	202																																												202																								
ENSG00000112149	CD83	1	268																																																																			268	
ENSG00000112186	CAP2	2	119																																												127													111											
ENSG00000112200	ZNF451	1	130						130																																																														
ENSG00000112210	RAB23	1	90																																																																90				
ENSG00000112234	FBXL4	1	326																																																																	326			
ENSG00000112237	CCNC	1	69																																																																		69		
ENSG00000112290	WASF1	2	60																						55																																										65				
ENSG00000112294	ALDH5A1	1	215	215																																																																			
ENSG00000112304	ACOT13	3	109										63								90																																														174				
ENSG00000112306	RPS12	7	89.1428571428572														35										66										78					17							68				111												249						
ENSG00000112308	C6orf62	1	60									60																																																											
ENSG00000112309	B3GAT2	2	88								44																																																												132
ENSG00000112320	SOBP	1	207																				207																																																
ENSG00000112335	SNX3	2	139.5	163																			116																																																
ENSG00000112339	HBS1L	1	309																																																																			309	
ENSG00000112367	FIG4	1	159																					159																																															
ENSG00000112419	PHACTR2	1	58																																											58																									
ENSG00000112473	SLC39A7	1	26	26																																																																			
ENSG00000112514	CUTA	4	144.25				32														46		107																																															392	
ENSG00000112576	CCND3	1	83					83																																																															
ENSG00000112640	PPP2R5D	1	181																					181																																															
ENSG00000112679	DUSP22	1	27																																													27																							
ENSG00000112685	EXOC2	2	79																							134																																									24				
ENSG00000112695	COX7A2	2	112.5								73																											152																																	
ENSG00000112697	TMEM30A	2	168.5																					312						25																																									
ENSG00000112701	SENP6	1	48																																											48																									
ENSG00000112763	BTN2A1	2	101																																																															144		58			
ENSG00000112796	ENPP5	1	107						107																																																														
ENSG00000112972	HMGCS1	7	105.714285714286	28			37														254				112																		10																								44			255	
ENSG00000113013	HSPA9	3	154																		222						124																																											116	
ENSG00000113048	MRPS27	1	127							127																																																													
ENSG00000113108	APBB3	2	160												77																																243																								
ENSG00000113140	SPARC	25	72.04	139			24			7	5			173	209		96				14	18	254			23	6	38		21					2			209												10		50	9							4					5	5	3		22	455	
ENSG00000113161	HMGCR	2	163					207																																																										119					
ENSG00000113231	PDE8B	1	147						147																																																														
ENSG00000113327	GABRG2	2	87.5		146																														29																																				
ENSG00000113369	ARRDC3	2	173.5																																																													59				288			
ENSG00000113384	GOLPH3	2	89.5	56	123																																																																		
ENSG00000113387	SUB1	5	142.8																				186															227																													19			180	102
ENSG00000113441	LNPEP	3	154											124								251																																															87		
ENSG00000113522	RAD50	1	4																							4																																													
ENSG00000113558	SKP1	7	96.2857142857143										217								226																		22																22									19	82						86
ENSG00000113575	PPP2CA	2	220																																																				32															408	
ENSG00000113578	FGF1	1	90																																																													90							
ENSG00000113580	NR3C1	1	18																																																										18										
ENSG00000113583	C5orf15	1	206																		206																																																		
ENSG00000113594	LIFR	2	127						150															104																																															
ENSG00000113638	TTC33	2	57																																											4																						110			
ENSG00000113657	DPYSL3	6	123.666666666667						139															274		53															14		37																						225						
ENSG00000113712	CSNK1A1	1	132						132																																																														
ENSG00000113732	ATP6V0E1	3	117																																	18																						10												323	
ENSG00000113739	STC2	1	24																																																										24										
ENSG00000113742	CPEB4	2	3.5				4													3																																																			
ENSG00000113758	DBN1	1	100											100																																																									
ENSG00000113845	TIMMDC1	1	116																						116																																														
ENSG00000113851	CRBN	4	150.75															238																																	28			38																299	
ENSG00000114021	NIT2	1	101																																																																				101
ENSG00000114062	UBE3A	1	109																			109																																																	
ENSG00000114098	ARMC8	1	164																																												164																								
ENSG00000114125	RNF7	3	90.3333333333333						54																													201																		16															
ENSG00000114126	TFDP2	1	57																																																																	57			
ENSG00000114166	KAT2B	1	74																																																																	74			
ENSG00000114279	FGF12	3	110.333333333333		150																																		54																											127					
ENSG00000114302	PRKAR2A	2	141.5																			207																																													76				
ENSG00000114331	ACAP2	1	16											16																																																									
ENSG00000114353	GNAI2	2	47.5													12						83																																																	
ENSG00000114354	TFG	1	200																																																																			200	
ENSG00000114383	TUSC2	1	412																																																																			412	
ENSG00000114391	RPL24	3	117					175					96																																		80																								
ENSG00000114395	CYB561D2	1	108														108																																																						
ENSG00000114405	C3orf14	1	4																																																							4													
ENSG00000114416	FXR1	1	186										186																																																										
ENSG00000114480	GBE1	2	48																						48														48																																
ENSG00000114503	NCBP2	2	73																			105																										41																							
ENSG00000114544	SLC41A3	3	120.666666666667																									127																		45																			190						
ENSG00000114573	ATP6V1A	4	102.25					38																																																					16					154	201				
ENSG00000114631	PODXL2	3	129.333333333333		131																																	224		33																															
ENSG00000114646	CSPG5	2	23	4																																				42																															
ENSG00000114757	PEX5L	1	390																																																																	390			
ENSG00000114770	ABCC5	1	69																																													69																							
ENSG00000114784	EIF1B	1	14																											14																																									
ENSG00000114796	KLHL24	1	242	242																																																																			
ENSG00000114850	SSR3	1	128																			128																																																	
ENSG00000114861	FOXP1	1	155																																																														155						
ENSG00000114867	EIF4G1	2	39																																					6																												72			
ENSG00000114902	SPCS1	2	254.5																																																																			383	126
ENSG00000114923	SLC4A3	3	57.6666666666667																																														48													55						70			
ENSG00000114942	EEF1B2	2	82.5												91																																		74																						
ENSG00000114948	ADAM23	1	79																																											79																									
ENSG00000114956	DGUOK	2	153.5																		196																																																	111	
ENSG00000115084	SLC35F5	1	255																																																																	255			
ENSG00000115091	ACTR3	1	167																									167																																											
ENSG00000115128	SF3B6	3	109.333333333333							60								16																																																252					
ENSG00000115137	DNAJC27	1	245	245																																																																			
ENSG00000115155	OTOF	1	112															112																																																					
ENSG00000115204	MPV17	2	208																				269																																															147	
ENSG00000115216	NRBP1	2	80																																								64																					96							
ENSG00000115232	ITGA4	1	154							154																																																													
ENSG00000115233	PSMD14	1	267																					267																																															
ENSG00000115234	SNX17	1	150																																																																150				
ENSG00000115241	PPM1G	1	144											144																																																									
ENSG00000115268	RPS15	2	20																																		12																										28								
ENSG00000115286	NDUFS7	1	132																																																		132																		
ENSG00000115307	AUP1	1	140																																			140																																	
ENSG00000115310	RTN4	6	104.666666666667										104										102					99																																					268		43	12			
ENSG00000115350	POLE4	2	156											131																																							181																		
ENSG00000115353	TACR1	1	264																																																														264						
ENSG00000115355	CCDC88A	1	27																																									27																											
ENSG00000115365	LANCL1	1	23																																					23																															
ENSG00000115368	WDR75	1	42															42																																																					
ENSG00000115380	EFEMP1	1	105																		105																																																		
ENSG00000115392	FANCL	2	47									53																															41																												
ENSG00000115419	GLS	3	260.333333333333					144																202																																														435	
ENSG00000115461	IGFBP5	1	95																						95																																														
ENSG00000115464	USP34	1	138						138																																																														
ENSG00000115468	EFHD1	1	314																																																																	314			
ENSG00000115484	CCT4	2	162																							130																																									194				
ENSG00000115504	EHBP1	2	189														82																																																			296			
ENSG00000115514	TXNDC9	1	40	40																																																																			
ENSG00000115520	COQ10B	1	185												185																																																								
ENSG00000115525	ST3GAL5	2	144					121																																																														167	
ENSG00000115539	PDCL3	1	20																																																																20				
ENSG00000115541	HSPE1	2	205.5																																																									88					323						
ENSG00000115561	CHMP3	1	102																																																										102										
ENSG00000115652	UXS1	1	170																									170																																											
ENSG00000115665	SLC5A7	2	74					25					123																																																										
ENSG00000115677	HDLBP	1	36																																																					36															
ENSG00000115685	PPP1R7	3	101.666666666667																																																													31				244		30	
ENSG00000115694	STK25	1	42																																														42																						
ENSG00000115738	ID2	3	134.333333333333					172														194																												37																					
ENSG00000115756	HPCAL1	3	117.666666666667		126									30																																	197																								
ENSG00000115762	PLEKHB2	1	155																																																															155					
ENSG00000115806	GORASP2	1	209	209																																																																			
ENSG00000115808	STRN	1	68		68																																																																		
ENSG00000115828	QPCT	3	94																					83			49																				150																								
ENSG00000115840	SLC25A12	2	267																																																																	127		407	
ENSG00000115866	DARS	4	95.5	182				104																		24																																		72											
ENSG00000115896	PLCL1	5	130.8		103																	174		258																	9																													110	
ENSG00000115902	SLC1A4	4	145.5																			278			42																																								175	87					
ENSG00000115947	ORC4	2	56																	34																							78																												
ENSG00000115963	RND3	4	53.5																														18													22																				99		75			
ENSG00000115966	ATF2	1	99																					99																																															
ENSG00000115977	AAK1	1	38																																					38																															
ENSG00000115993	TRAK2	1	64								64																																																												
ENSG00000116001	TIA1	1	86																																																																		86		
ENSG00000116005	PCYOX1	1	17																																						17																														
ENSG00000116120	FARSB	2	154.5																																			236																												73					
ENSG00000116133	DHCR24	2	169.5		165																			174																																															
ENSG00000116138	DNAJC16	1	2																																											2																									
ENSG00000116141	MARK1	1	68																																											68																									
ENSG00000116147	TNR	1	79																																																																		79		
ENSG00000116161	CACYBP	2	118.5																					204																		33																													
ENSG00000116171	SCP2	1	231																		231																																																		
ENSG00000116209	TMEM59	2	110					79													141																																																		
ENSG00000116221	MRPL37	1	104																																																																	104			
ENSG00000116237	ICMT	1	43																																								43																												
ENSG00000116251	RPL22	2	65.5								31										100																																																		
ENSG00000116254	CHD5	3	107.666666666667													74																																																63						186	
ENSG00000116260	QSOX1	1	43																				43																																																
ENSG00000116266	STXBP3	2	210																			187																																														233			
ENSG00000116285	ERRFI1	1	8																																																																	8			
ENSG00000116288	PARK7	3	147.666666666667	199					194																																								50																						
ENSG00000116299	KIAA1324	1	30																																																													30							
ENSG00000116337	AMPD2	2	163																					226	100																																														
ENSG00000116396	KCNC4	2	250.5																					214																																												287			
ENSG00000116455	WDR77	1	4						4																																																														
ENSG00000116459	ATP5PB	3	206.333333333333	284																		222																																																	113
ENSG00000116489	CAPZA1	1	282																																																														282						
ENSG00000116514	RNF19B	1	104																																												104																								
ENSG00000116539	ASH1L	1	120		120																																																																		
ENSG00000116604	MEF2D	1	94																																			94																																	
ENSG00000116661	FBXO2	3	135.333333333333																					199														182													25																				
ENSG00000116667	C1orf21	1	111																							111																																													
ENSG00000116675	DNAJC6	4	133.75							122												44	163																																															206	
ENSG00000116688	MFN2	1	303	303																																																																			
ENSG00000116691	MIIP	1	200																																			200																																	
ENSG00000116729	WLS	1	69													69																																																							
ENSG00000116741	RGS2	5	38.6										20					111																			22																29																	11	
ENSG00000116752	BCAS2	1	139																								139																																												
ENSG00000116786	PLEKHM2	3	64											98			55																																															39							
ENSG00000116791	CRYZ	1	13																					13																																															
ENSG00000116793	PHTF1	1	38																																																									38											
ENSG00000116857	TMEM9	4	105											69																									60									68																		223					
ENSG00000116863	ADPRHL2	1	76										76																																																										
ENSG00000116871	MAP7D1	3	162															21												33																																								432	
ENSG00000116898	MRPS15	2	121	145																							97																																												
ENSG00000116906	GNPAT	1	181		181																																																																		
ENSG00000116918	TSNAX	1	210																																																		210																		
ENSG00000116954	RRAGC	2	265.5																																	54																																		477	
ENSG00000116983	HPCAL4	2	109.5																							18																																										201			
ENSG00000117016	RIMS3	2	58								29																																																								87				
ENSG00000117020	AKT3	1	336																																																																	336			
ENSG00000117054	ACADM	1	3									3																																																											
ENSG00000117115	PADI2	2	148.5	231								66																																																											
ENSG00000117118	SDHB	2	91																			62																																																120	
ENSG00000117152	RGS4	5	97			7							43							62				157																																												216			
ENSG00000117153	KLHL12	1	271																																																														271						
ENSG00000117155	SSX2IP	1	227										227																																																										
ENSG00000117266	CDK18	3	162										39											296														151																																	
ENSG00000117308	GALE	1	229																				229																																																
ENSG00000117362	APH1A	1	246																																												246																								
ENSG00000117410	ATP6V0B	3	125.333333333333		143								105																									128																																	
ENSG00000117411	B4GALT2	1	209										209																																																										
ENSG00000117419	ERI3	6	118.666666666667	101																				154	78																												151						17								211				
ENSG00000117448	AKR1A1	1	239																				239																																																
ENSG00000117450	PRDX1	7	136.285714285714					35	7																																																			19					300			256		284	53
ENSG00000117505	DR1	1	182																																																																182				
ENSG00000117523	PRRC2C	2	51																																	69																										33									
ENSG00000117528	ABCD3	1	310																																																																			310	
ENSG00000117533	VAMP4	2	130.5										233																																											28															
ENSG00000117569	PTBP2	3	165.333333333333																									137																																							196				163
ENSG00000117592	PRDX6	2	59.5										61																													58																													
ENSG00000117602	RCAN3	3	101																																													2																		65		236			
ENSG00000117616	RSRP1	1	88																																											88																									
ENSG00000117625	RCOR3	1	143	143																																																																			
ENSG00000117632	STMN1	8	57.625	17													14								54	90				43								139			26																								78						
ENSG00000117640	MTFR1L	1	23								23																																																												
ENSG00000117682	DHDDS	1	4																																													4																							
ENSG00000117691	NENF	2	61.5												100																																														23										
ENSG00000117697	NSL1	1	70							70																																																													
ENSG00000117713	ARID1A	1	85											85																																																									
ENSG00000117758	STX12	3	58																		104															27										43																									
ENSG00000117859	OSBPL9	1	103										103																																																										
ENSG00000117868	ESYT2	1	62					62																																																															
ENSG00000117899	MESD	2	281.5															152																																																				411	
ENSG00000117906	RCN2	6	81.3333333333333					73													42																										66														81								3	223	
ENSG00000117984	CTSD	7	105.142857142857														30				68	277	16			81												86																											178						
ENSG00000118046	STK11	1	174	174																																																																			
ENSG00000118181	RPS25	4	58.25	114															18								93																					8																							
ENSG00000118200	CAMSAP2	1	37																																													37																							
ENSG00000118242	MREG	1	159																																																																159				
ENSG00000118246	FASTKD2	1	197	197																																																																			
ENSG00000118271	TTR	5	6.4										5	1													1																																								23		2		
ENSG00000118363	SPCS2	1	92																						92																																														
ENSG00000118418	HMGN3	2	261.5																														41																																					482	
ENSG00000118482	PHF3	2	195																																			213									177																								
ENSG00000118564	FBXL5	1	79																																												79																								
ENSG00000118596	SLC16A7	1	2																																												2																								
ENSG00000118600	RXYLT1	1	197																																																														197						
ENSG00000118680	MYL12B	1	452																																																																			452	
ENSG00000118705	RPN2	1	266																																																																	266			
ENSG00000118733	OLFM3	2	192.5																		210																										175																								
