gene_id	gene_name	V13M06-331_A1s2	V13M06-331_A1s1	V13M06-331_B1s1	V13M06-331_B1s2	V13M06-331_C1s2	V13M06-331_C1s1	V13M06-331_D1s1	V13M06-331_D1s2	V13M06-333_A1s2	V13M06-333_A1s1	V13M06-333_B1s1	V13M06-333_B1s2	V13M06-333_C1s2	V13M06-333_C1s1	V13M06-333_D1s1	V13M06-333_D1s2	V13M06-332_A1s2	V13M06-332_A1s1	V13M06-332_B1s1	V13M06-332_B1s2	V13M06-332_C1s1	V13M06-332_C1s2	V13M06-332_D1s2	V13M06-332_D1s1	V13M06-404_A1s1	V13M06-404_A1s2	V13M06-404_B1s2	V13M06-404_B1s1	V13M06-404_C1s1	V13M06-404_C1s2	V13M06-404_D1s1	V13M06-404_D1s2	V13M06-403_A1s1	V13M06-403_A1s2	V13M06-403_B1s2	V13M06-403_B1s1	V13M06-403_C1s1	V13M06-403_C1s2	V13M06-403_D1s1	V13M06-403_D1s2	V13M06-402_A1s1	V13M06-402_A1s2	V13M06-402_B1s1	V13M06-402_B1s2	V13M06-402_C1s2	V13M06-402_C1s1	V13M06-402_D1s1	V13M06-402_D1s2	V13M06-401_A1s1	V13M06-401_A1s2	V13M06-401_B1s1	V13M06-401_B1s2	V13M06-401_C1s1	V13M06-401_C1s2	V13M06-401_D1s1	V13M06-401_D1s2	V13M06-386_A1s2	V13M06-386_A1s1	V13M06-386_B1s2	V13M06-386_B1s1	V13M06-386_C1s1	V13M06-386_C1s2	V13M06-386_D1s2	V13M06-386_D1s1	V13B23-366_A1s1	V13B23-284_A1s2	V13B23-284_A1s1	V13B23-284_B1s2	V13B23-284_B1s1	V13B23-284_C1s2	V13B23-284_C1s1	V13B23-284_D1s1	V13B23-284_D1s2	V13F27-339_A1s1	V13F27-339_A1s2	V13F27-339_B1s1	V13F27-339_B1s2	V13F27-339_C1s2	V13F27-339_C1s1	V13F27-339_D1s2	V13F27-339_D1s1	V13B23-286_A1s1	V13B23-286_A1s2	V13B23-286_B1s2	V13B23-286_B1s1	meanrank	samples_signif	Gene for PCA, Harmony, Clustering
ENSG00000085365	SCAMP1					1125	462	1323	1231	1220	964		842	792	1064	1119	1174			1682	1506			1264		1145	1067	669	2094			1472								229		584	688	1350						459		545	962			1027	657		608			1018		594				1237										743	967				818	1004			991.805555555556	36	No
ENSG00000085433	WDR47					1248	750	466	815		1756	1310		764	2760	1269	1173			1035	1563					1223	1002	1597															811	1503						535	741								445																					1884			1405	1280			1188.47826086957	23	No
ENSG00000085449	WDFY1																			1467																																																												1530							1498.5	2	No
ENSG00000085662	AKR1B1	247	500	533		174	351	397	887	539	1156	1578	345	420	845	181	667	448	399	221	531			330	534	604	521	709	1150	462	268	1412								351		1023	664	457	385			527				616	462	858		235	344	472	563			726	326			172		1410	535	374					333		319	922	596	573	328		337	220	1025	592	564.105263157895	57	Yes
ENSG00000085719	CPNE3					1239					1201		2097		2255						932				980																																																							1212			1353				1408.625	8	No
ENSG00000085733	CTTN								1180								1740				947						1872																																									1364															1909				1502	6	No
ENSG00000085788	DDHD2																1891			1452																						1124					835																						1068										1400								1295	6	No
ENSG00000085831	TTC39A					402								1700	1961					656	1192																																																																		1182.2	5	No
ENSG00000085832	EPS15	682			530		1409	1349			2534				1885	1388				869	1149				911		1124	1325	933			1400	1149									1891		829			587						811					549	431																1282			1188	1553	1500			1510	803			1169.2962962963	27	No
ENSG00000085998	POMGNT1																																																																			1100											1601								1350.5	2	No
ENSG00000086061	DNAJA1			308		248	409	552		420	1034	585	422	695	937	246	496	797		294	1167			716		593	572	510	873	602		623	923		312					453		768		607	486			334				436	397	331	407	644			407			562	945			414		1466	605	594				161	681			953	314	422			1210	915	975		608.591836734694	49	Yes
ENSG00000086065	CHMP5						1088				2504	1321	1398		2619	857	1787			2027	1095			1060		1146			1508															808			749						1539	535			766											789											1038	1833			1401				1327.04761904762	21	No
ENSG00000086205	FOLH1																																																																			603																			603	1	No
ENSG00000086232	EIF2AK1					968											1542									1612			1622																																																										1436	4	No
ENSG00000086289	EPDR1	325	445	177	263	235	413	236	289	497	302	384	372	300	739	284	213	456	485	179	359			611	294	627	533	641	743	562	167	1074	886							331		1185	1353	500	150			501		258	391	107	87	589	600	204	392	331	706			459	87	580	184	257	77	478	177	290		252			359	608	293	255	555	670			231	237			419.140625	64	Yes
ENSG00000086300	SNX10	240	362	321	188	185	190	146	282	383	526	421	179	254	427	349	175	581		314	374			228	184	423	361	522	605	335	205	541	1209							315	206	406	315	254	422	571		380		384	375	98	229	855	594	199	141	60	348			310	403	426		88	331	598	247	414		434	151		215	130	232	236	291	287			72	91	613	585	340.537313432836	67	Yes
ENSG00000086504	MRPL28						1722					1123														1477	1219		1442																											790																											1743	1195	1076		1309.66666666667	9	No
ENSG00000086598	TMED2																	1205		1773	972				880		1895																										1660																														1846				1461.57142857143	7	No
ENSG00000086666	ZFAND6															692				1337																							764																																												931	3	No
ENSG00000086758	HUWE1		275	626						943	1112		2289	2684	1397		948	1031		1719	886				968	1195	1753	804	1346													1315								294			1199						916				1082						958						1002			716		1012			884	1044			1125.85185185185	27	No
ENSG00000087085	ACHE	563	131	634	209	361	172	150	200	362	677	1151	615	292	424	440	300	440	461	795	869			337	743	875	371	737	660	579	401	1251									318	397	618	662	784	354	666	554	349	391	453		996		380	250	346					392	556	508		453						181			558	527	1058	564	534	1231			442	709			533.877192982456	57	Yes
ENSG00000087086	FTL	95	489	199	56	228	386	793	246	34	183	52	52	141	371	948	255	84	56	77	40	181	156	123	284	100	60	50	128	56	199	62	35	34	124	55	44	43		174	174	221	171	130	61	26	25	11	17	67	74	64	193	157	214	21	70	146	49	71	102	63	125	80	118	536	6	9	30	26	149	35	49	46	223	217	67	62	272	62	122	86	1937	176	63	40	159	84	Yes
ENSG00000087152	ATXN7L3						1831							2675	2034			943																								1671																																													1830.8	5	No
ENSG00000087191	PSMC5	759	214				635	484		1255		1441	1580	1547	1905			1258	335	1886	1313			931		1510	1322	1002	610				876									543		1489									968			913		691	612			990										530					469	874	274	1329				1485	840		996.060606060606	33	No
ENSG00000087250	MT3	142	109	89	77		289	225	226	62	342	275	159	109	108	764	511	62	23	41	30	71	31	71	106	17	16	43	32	12	24	59	37	232	25	12	13	33	32	107	142	50	8	58	123	275	111	79	67	85	90	93	110	22	11	437	124	110	75	21	12	44	63	59	221	87	104	147	82	53	145	29	48		22	39	129	46	135	102	150	451	182	125	36	141	112.759036144578	83	Yes
ENSG00000087253	LPCAT2							1434												1068	1405																																				820																														1181.75	4	No
ENSG00000087258	GNAO1		171	514	370		513	248	606	1196	977	1177	561	632	557	289	307	1165	443	414	407	200	102	372	366	483	895	1315	648	487	322	789		152						479	159	176	483	480			782	369	328	474		400	900	603	480	325	786	604	328			539	606	500		304		780	414			380			381	334	210	962	1312	692	339	225	156	451	502	125	515.848484848485	66	Yes
ENSG00000087263	OGFOD1													2066											1310																																																							1712			1546				1658.5	4	No
ENSG00000087274	ADD1	728	355				677			1125	1566			2090	2688			1224		1306	890			736		1225	1678	1387	1552	642	293		1129									1432		880									728	545								918	867					1253		444					961		1104	1026		1243	448		1782	1068	783		1081.55882352941	34	No
ENSG00000087302	RTRAF							997							2413											1762																																																						1299							1617.75	4	No
ENSG00000087365	SF3B2						1291				1544				2644					2236				1274			1532	1430				1353	960									1459		968							942		1028																														1257				1422.71428571429	14	No
ENSG00000087448	KLHL42																																									1737																																													1737	1	No
ENSG00000087460	GNAS	34	55	12	20	24	21	46	152	59	62	87	186	90	34	37	18	201	19	48	33	88	96	61	101	23	44	101	66	9	12	184	186	136	184	17	45	13	24	27	36	11	9	33	35	154	200	74	23	20	33	122	71	8	19	36	36	13	19	4	6	35	33	125	51	35	25	173	37	42	15	11	53	47	13	21	34	49	39	81	25	84	155	72	19	20	57.7764705882353	85	Yes
ENSG00000087470	DNM1L	830	329				1458			760	2223		917	1731	2358					884				1112		2050	1510	732	554													1113		1263									1120																858			431												974			1160.35	20	No
ENSG00000088205	DDX18														2119																																																																								2119	1	No
ENSG00000088367	EPB41L1	385	573			1018	1002		846		1243	953	1584	785	2338	1010	1220		268	814	443				1308	541	655	1132	1169	908	320		1106									964	663				922			494			1494				415		686			1057		664		430		1047				478							1321	976			1900	1139	473	365	905.09756097561	41	No
ENSG00000088387	DOCK9											693		2670		1604																															358																																								1331.25	4	No
ENSG00000088538	DOCK3														2887																																																																								2887	1	No
ENSG00000088727	KIF9										1535			2409	2505																																																																								2149.66666666667	3	No
ENSG00000088812	ATRN					1258		959				1152		2277																												1719																																													1473	5	No
ENSG00000088832	FKBP1A					1040		1332	927	812			1459	2578	2738	1290	756			799	1391						1854	1198	2269			1072	1136																				723				533																		1149				943				1005				1285.90476190476	21	No
ENSG00000088833	NSFL1C													2568						2220	1733					2056	1075		1993															1307									1305						845																				905				1010				1547	11	No
ENSG00000088854	C20orf194											566		2433		1648	1734																																																																						1595.25	4	No
ENSG00000088899	LZTS3						1463			996		1105	1796																																																																										1340	4	No
ENSG00000088986	DYNLL1	183		101	495	484	79	952	837	335	399	837	413	774	353	122	439	322	218	279	631			428	601	66	177	185	180	520	237	452	337	295						225	338	230	187	138	181		577	241		403	242	466	75	19	86	399	434	67	94	52	56	265	165	450		282	380	219	203	182		198		223	167		327	340	321	432	457		879	532	169	184	323.085714285714	70	Yes
ENSG00000089006	SNX5										1779				1968																																																																								1873.5	2	No
ENSG00000089009	RPL6	197			394		1045		751	542	1005	301	484	658	270	350	784	288		347	209			415	423	349	152	424	174	685	433	155	127	162				151		686		587	333	217	516	338	316	218	378			520	1169	363	372		437	731	308	80	118	216	401	177	107		189	109	691	192		453			426	523	1061	540	1510	770		420			334	456	437.095238095238	63	Yes
ENSG00000089048	ESF1																															1375																																																		404					889.5	2	No
ENSG00000089053	ANAPC5						2140		1247				1861				1492																																																			1274											1375								1564.83333333333	6	No
ENSG00000089057	SLC23A2							947					1527																1891																																																			1748							1528.25	4	No
ENSG00000089063	TMEM230						1529					1087	1694	2150						1338						1415	1584		2068	613											542											739						670	831									1487				520						595	878	675							1134.16666666667	18	No
ENSG00000089157	RPLP0		371					780			1708	1470	1167	1061	1075	844	1313	454		1310	526			638	631	870	524	369	617	894		596	491									641	1150	413	595		862	493			697		1685	634				493				188		229	65			446		499					629			587	1473	832	440		861	928	374	470	742.066666666667	45	Yes
ENSG00000089169	RPH3A					508	395	1075			2459			1534	1506																											627	558																																								1755				1157.44444444444	9	No
ENSG00000089199	CHGB	9	10	51	150	15	9	66	124	146	114	24	12	74	76	4	6	248		28	63			59	49	120	15	19	10	295		80	99							30	42	270	231	9	9	251	433	76	42	154	229	13	18			25	8	4	6			8	10	354	94	21	198	183	9	7	27	224			144	36	84	124	6	6			20	25	306		86.530303030303	66	Yes
ENSG00000089220	PEBP1	250	459	96	187	569	370	601	1250	212	730	1389	148	683	521	305	933	275	116	163	62			587	417	39	144	283	145	54	68	147	106	217	271	65	151	145	79	144	173	80	80	202	262	316	438	254		205	171	471	345	43	208	1134	578	396	252	62	46	196	176	157	103	242		431	163	241	223	152		216	86	153	205	263	461	605	221	112	329	378	70	146	292.825	80	Yes
ENSG00000089248	ERP29						1039	1001		796	2455			1235	1400	687				816	1062			1019	1240	981		787	2014				1069										1249	1303							725							684				681	466														969						384	1346			1058.66666666667	24	No
ENSG00000089250	NOS1					858	1748			283	758			343	369	1572	424	766																												238	591				516					505																															690.076923076923	13	No
ENSG00000089280	FUS									789											1644						1759		1912			1026										1747																					832																1430				1352				1387.88888888889	9	No
ENSG00000089289	IGBP1												2144																																																																			1756							1950	2	No
ENSG00000089351	GRAMD1A														2804																																																																								2804	1	No
ENSG00000089486	CDIP1		168	440	296	329	538	1123	774	541	679	840	763	867	1132		419	450		964	979	241		754	524	485	1251	1644	598	488		1499									395	1150	504	1130	604						433		1333	313		428	276		402			448	495			215			1009	572	151				418	688	739	197		1502	420		324	806	792	522	661.358490566038	53	Yes
ENSG00000089597	GANAB													2522				706											1913																																																										1713.66666666667	3	No
ENSG00000089693	MLF2	884				784	522			865	775	1496	433	651	1750	509				807	741			548	1340	305	581	747	304	587	248		1193							587		720	888	867			927	494	361	362	662		614	538				471	562			468	543			659									337		989	490	1030	1091			1754		615		729.522727272727	44	Yes
ENSG00000089737	DDX24	331	642	163		503	884	866	1076	598	662	789	409	570	870	438	348	875	427	1005	751			1230	1243	511	431	951	591	809		1536	1167							467	127	248	1031	361					76			469	1104	391	305	1021		667				948	530			353		1309			314				217	551	601	765	993	562	294	430	346	1499	303	265	653.035087719298	57	Yes
ENSG00000089818	NECAP1	633				394	733	820		826	939	1234	1308	622	1394	643	885	941		634	1559					1210	1012		1546													1065		1547							946		1027			602	768	658				1042	1088						492						662		256		1136	1177			1700	330			936.147058823529	34	No
ENSG00000090013	BLVRB					1118	2262						1984		2554	557	587	1293		1545									1572															1015																																							620				1373.36363636364	11	No
ENSG00000090054	SPTLC1												1978	1576		1444				1770																																																																			1692	4	No
ENSG00000090060	PAPOLA										1235			1768						2216				1159		2103			1402																																																						1824				1672.42857142857	7	No
ENSG00000090097	PCBP4										1938	902	1444																																											1104												920																			1261.6	5	No
ENSG00000090238	YPEL3						1750		773	981	2277			2658	1748	1430	972	1051						1254		1682	999		2055	755												628	931		450											675	892					839																	820	720					1049		1190.82608695652	23	No
ENSG00000090263	MRPS33						1840						925		2319	375	780			1167				1285			944		1039															986									1533				945																						990	1772			806				1180.4	15	No
ENSG00000090266	NDUFB2	199	271				1037	1497		1345	1588		1171		438	776	627		429	806	702				1314	444		820	347			1320	714									1277	602	502	601		427	469	316				361	541	523	653						816	444	507				110	692			502			639		537	516	428	443					579		674.52380952381	42	No
ENSG00000090273	NUDC							878	840	791	2307		1054		1564		1814	973		1588	1116					1193	1738		469				809									1234	1280	965	667																											507			494				1308	1048			1258		690		1107.70833333333	24	No
ENSG00000090316	MAEA						819	673			1177			2111	2830	1351	1870			1030	1425				1016	2044	1498		736																								1116																480						993					1020			1614	1108			1311.10526315789	19	No
ENSG00000090565	RAB11FIP3														1892																																																																								1892	1	No
ENSG00000090581	GNPTG							1016						1845	2723													1740	1980																																							596																			1650	6	No
ENSG00000090615	GOLGA3													2591																																																																									2591	1	No
ENSG00000090621	PABPC4											749																					706																																														1333								929.333333333333	3	No
ENSG00000090674	MCOLN1														2609																																																																								2609	1	No
ENSG00000090686	USP48										2087																																																																												2087	1	No
ENSG00000090861	AARS									822	2368		1411	845	1700		1601			1112	1572			953		1970	1658		1990													1849	1146																				939						713						865			1149	814	949			1261	504			1281.40909090909	22	No
ENSG00000090863	GLG1	905		760		1176		402			2064		1419		2645			805			1393					1294	1108	980	2116	780												1017		1340											558		651		652			1062				557		1530	931								779						400	1391	583		1085.11111111111	27	No
ENSG00000090905	TNRC6A											359	1101									248						1650														1247																																			872					186	1317		970	443	839.3	10	No
ENSG00000090971	NAT14							1494	628		1248		1752							2253						2089		1752																552																																											1471	8	No
ENSG00000090989	EXOC1						1623								2658			1179																																																																					1820	3	No
ENSG00000091039	OSBPL8												1639			1336	1833			2160								1129																																																				1616			1920				1661.85714285714	7	No
ENSG00000091129	NRCAM					1082	1836	1060		629	773	890	2301	436	1190		1148	461		1910						1540	1296		1943	355	475	1478										873	518	963			509				896		910									1110		524				1397							1083								1901	1447			1097.8	30	No
ENSG00000091140	DLD					851	1534						1078	1651	1474		1192	1377		1703				919		1028	1052	1480	1223													1715	505														774																							1840							1258.58823529412	17	No
ENSG00000091157	WDR7						1487	862	797		1928			1301			700	832		1626				1239	959	2071	1332		1571													1660					873				877		694			922	773	477																				1048		1059			905				1130.13043478261	23	No
ENSG00000091164	TXNL1	791					593			1252	1692		546	625	1091		603	1169		830	1592						1174		1645													1798		1194	485		861			545			1598				853	224	764									1407	851									845					691	679			977.703703703704	27	No
ENSG00000091428	RAPGEF4														1875																																									908																															1391.5	2	No
ENSG00000091483	FH						1565						1836	2249	2014	957	1429			1763	1706								1762																																																		1599	1797							1697.90909090909	11	No
ENSG00000091513	TF	328	172	73	46	49	229	155	88	23	42	19	22	703	55	916	318	6	3	803	413	59	113	132	464	771	569	454	1718	402	589	170	172	19	29		28			154	105	835	124	317	55	8	6	16	165	100	76	59	106	140	547	59	97	363	30	84		373	198	64	19	259	49	24	64	159	23	70	52	32	546	463	24	10	60	32	115	164	514	324	43	16	213.518518518519	81	Yes
ENSG00000091527	CDV3																															445	797																																																						621	2	No
ENSG00000091542	ALKBH5						1672					1640	1383	1293		1372	1460			1243	1538				1224			1004	1808													1401															856						1117						965								1197						1186	1249			1311.55555555556	18	No
ENSG00000091592	NLRP1	322	95	248	541	471	637	1133	1108	1035	1664	575	439	2211	997	543	1514			524				361	1040	2002	1548	1389	936				1049									1704	1259								529		1004			555	441		810				585			371	157	556	230	528	159	233			461	290	543	391	756	927			432	557	549		758.520833333333	48	Yes
ENSG00000091640	SPAG7						2003						1577																																																																										1790	2	No
ENSG00000091656	ZFHX4					1130	1929					1033																																																																											1364	3	No
ENSG00000091664	SLC17A6					831	821	1173	449	593	384	499	1558	579	509	641	248	694		1351				417	425	501	484	1731	2000													991	140					541		124	102	507	516	276	104	176	749							681														637	865	794				1470			682.25	36	No
ENSG00000091972	CD200		597			701	485	638	491	1635	613	615	1825	1762	1323	992	1168			1445	1066				949	1119	1619	1066	1418													492	563							201	715		1345			474	604						951						550	249					1295				1214	846			1206	875			945.914285714286	35	No
ENSG00000091986	CCDC80										1589				800																	434	1059																																													1214									1019.2	5	No
ENSG00000092010	PSME1									1611																						1343																																																							1477	2	No
ENSG00000092051	JPH4						1145				1206		2309	1846	2774	1244				1176																																	624																600														1792	641			1396.09090909091	11	No
ENSG00000092096	SLC22A17	41	59	303	350	106	58	171	544	82	116	403	1055	148	219	189	62	91	114	370	329			200	218	74	109	466	271	59	85	495	741	187						410	326	23	166	57	251	215	402	133	120	78	115	192	309	84	76	73	142	247	286	10	47	144	408	547	208	151	160	944	732	220	204	118	105	163	206	231	329	346	123	570	105	96	569	628	178	204	245.717948717949	78	Yes
ENSG00000092108	SCFD1													2432																																																																					1769				2100.5	2	No
ENSG00000092148	HECTD1									1233			2324	2280	2002	1450																										1016											1404																														1832				1692.625	8	No
ENSG00000092199	HNRNPC	902	490				1584			914	2674		637	1588	2053	1529	1014	1320	433	1977	1068				1186	579	538	704	295	953		586	547									1510	868	898			380	539			555		1284	610	322							647	448					1220												1226		359		1206	746		957.605263157895	38	No
ENSG00000092201	SUPT16H												1947							2075							1234																								650																								891								1464				1376.83333333333	6	No
ENSG00000092203	TOX4												1670		2112										1250																																																														1677.33333333333	3	No
ENSG00000092421	SEMA6A									933	1052	716	2219																																																							1137									1054										1185.16666666667	6	No
ENSG00000092445	TYRO3											979			2703																																																					1262																			1648	3	No
ENSG00000092529	CAPN3								638	861	696	201	642	1080	612			199														446	691													136	185																					166									200	140	701	635							484.058823529412	17	No
ENSG00000092621	PHGDH							785	1017	1200	804		1722	1341						2034				875	283	394	392	880	777			738	654									1477									341																								1079		1124	721					1544	415	643		923.478260869565	23	No
ENSG00000092758	COL9A3																																																																			1259																			1259	1	No
ENSG00000092820	EZR			88				96	110	214	259		849	250	332					1303	818			647	230	451	589	191	301			223	149									265	135								139		1220									649													497	83		350					449	188	165		387.586206896552	29	No
ENSG00000092841	MYL6	146	419	323	298	426	772			606	731	518	377	964	669	220	1039	219		272	357			334	530	855	396	207	557	897		286	366							132		485	901	330	388		718					377	330	636		854		379	261			167	660	63	98	583	233	262	772			275		157	73	121	753	737	260	366	118		553	297	289	335	436.389830508475	59	Yes
ENSG00000092871	RFFL																																																																			1464																			1464	1	No
ENSG00000092931	MFSD11															1070																																																																							1070	1	No
ENSG00000092964	DPYSL2	112	466	271	174	540	291	421		313	1406	365	135	1698	467	780	332	169	362	373	170			800		235	346	205	372	494	416	410	532	56	170	76	51	142		155	278	326	564	273	889	225	170	462	304			324	548	219	66			300	184	118	101	322	189	729	86	549	363	313	1018			580	67		512	295	196	214	189	206	119	255	661	492	211	287	363.13698630137	73	Yes
ENSG00000093000	NUP50																1557																																																																						1557	1	No
ENSG00000093010	COMT							1119		902	1785	1458	2212		2320											922	941	797	1200			1369	1179																				1332															436																			1283.71428571429	14	No
ENSG00000093144	ECHDC1						1618									1322																																																																							1470	2	No
ENSG00000093183	SEC22C												2186																																																							1117																			1651.5	2	No
ENSG00000094631	HDAC6						1985							2112	2786																																																																								2294.33333333333	3	No
ENSG00000094916	CBX5						1648						1184		2476		1782				1495					840	1187		2284			1237	493									464	1324	1399									1397																						951				755								1307.25	16	No
ENSG00000095059	DHPS														2177																																																																1465								1821	2	No
ENSG00000095139	ARCN1									1217						1650				1566																																																																			1477.66666666667	3	No
ENSG00000095321	CRAT																908																																																																		1625				1266.5	2	No
ENSG00000095380	NANS						1683							1320		1458																																																																1781							1560.5	4	No
ENSG00000095397	WHRN																1828																																																																						1828	1	No
ENSG00000095637	SORBS1							222	717	272	352			655	570										469			888	1590			802																		469																																					636.909090909091	11	No
ENSG00000095713	CRTAC1														895																																																																								895	1	No
ENSG00000095787	WAC							1319					2113			1667	1203	940			1317							1748	1799			731	1119									1763									937																										927		1388				1423				1359.6	15	No
ENSG00000095794	CREM										1770			2087																																																																									1928.5	2	No
ENSG00000096060	FKBP5																															612	544																																																						578	2	No
ENSG00000096092	TMEM14A	450				1089	479		1221		1096	514	1502	930	1281	454	1092			449	1558			1084	994	1727	1152		1649			1463										782	1288	722	779							650	268				153	745	323			1113							759	403					718			915	940	1047			512	1218			905.918918918919	37	No
ENSG00000096093	EFHC1													209																																																																									209	1	No
ENSG00000096384	HSP90AB1	63	18	28	78	101	62	108	188	153	291	140	140	102	72	89	177	111	63	32	60	37	38	66	99	49	102	148	110	33	30	241	256	131	115	85	100	17	26	15	97	48	37	71	135	260	304	131	119	41	112	148	65	55	96	56	79	26	38	8	17	37	40	227		31	232	310	141	103	40	60	41	106	24	51	192	95	75	200	62	39	52	50	85	21	95.6071428571429	84	Yes
ENSG00000096746	HNRNPH3								912	1535	1671			2055						2228									1503				1095									1948		1170																									1051																		1516.8	10	No
ENSG00000097021	ACOT7	202	242	181	204	95	77	157	156	464	231	396	130	287	254	208	229	93	189	198	72			258	200	323	150	301	290	783	262	420	892		327					55	315	844	244	115	232	367	310	155	170	337	397	80	167	832		119	177	434	216			193	51		216	127		906	196	533	213	364	290		76	203	240	585	111	177	153		57	37	396	195	269.802816901408	71	Yes
ENSG00000097033	SH3GLB1																															337																																				950																			643.5	2	No
ENSG00000099194	SCD	577	217	92	89	68	235	732	380	54	206	62	23	1516	197	1475	1074	13	24	175	90	76	151	229	568	365	188	303	162	150	163	176	241	32	26	61	46	24		198	168	336	416	150	185	19	16	43		114	340	202	370	183	318	60	287	77	42	239	132	235	93	166	26	717	81	84	133	152	66	206	129	57	194	210	112	122	51	38	31	75	533	845	182	98	226.397590361446	83	Yes
ENSG00000099204	ABLIM1					1017					814		1480													765			1208			884	494									723	1361		893								1452																																		1008.27272727273	11	No
ENSG00000099246	RAB18		452			876	1183	796		1143	1090	1250	725	1875	2236	1110	1339			1549						529		1749	593	556	614	1304									566			924						468	908	521		371		1096	590		915			931	527			747		1017	755						1033	241	608			1280			1592	1077	1011		953.675	40	No
ENSG00000099282	TSPAN15																																																																			619																			619	1	No
ENSG00000099308	MAST3							1142								1528	729			1958	1315					1622		1719	1972																																																	1110					1256				1435.1	10	No
ENSG00000099341	PSMD8					1005	283	1367		1440	1296	818	535	1050	1479	635	379			553	593			399	439	1673	828	882	492				894									1599		501	493							594	684			1023		735	442			814	552						725	440					931		1088		1226	564			728	1126			823.815789473684	38	No
ENSG00000099365	STX1B			608		989	407	870	1032	1594	913		797	937	1780		1020	1012		913						1654	1338		1733	812												920	489				559			500	395					627	946					771	817	541					900			429							1409	1458			1576	1524			977.878787878788	33	No
ENSG00000099622	CIRBP						1148	524	776	428	1216	1334	1545	809	1548	1147			438	809	1207			867	1053	839	1230	646	511	931	617	570	747	292						510		228	390	956	852	561				324	542		680	627		926			369				762	373		508		1096	695			387			770				830	1281	151		1539	579	348	551	761.34	50	Yes
ENSG00000099624	ATP5F1D	557	460		312	889	397	822	705		2501	1014	420	970	1752			1017	431	950	543					901	548	1134	807	435	522	605	751		335					610	257	727	541	343	590	517							1085	684	336			95	397			505	510	539		712		1079				293			233	298		1041	620	468			1404		337		679.98	50	Yes
ENSG00000099783	HNRNPM											1167		1299	2433											1424	1648		1579			654	1188									901																																	997		1187	1080	1578					1535			1333.57142857143	14	No
ENSG00000099795	NDUFB7	886			596		849						1436		1762	505		515		472	1282			1201	1267	600	604	1547	612	578		1448	873									1125	1189	421				345					499	463				148	895				612				278	274								235	316		675	870				734	625		763.914285714286	35	No
ENSG00000099797	TECR			705			1212		1297	1341	1282		1267		2881		1338			967						955	936	1003	1098				1175									1334	1079				568																893	493				365	728						640			752	974	1378			1108		823		1058.96296296296	27	No
ENSG00000099800	TIMM13	471					1288	1163			2003			2564	1721	1460		1316			720							1281	1585													805	1285																									1313							1001												1331.73333333333	15	No
ENSG00000099804	CDC34						2036									1605					1196																																																																		1612.33333333333	3	No
ENSG00000099814	CEP170B	896				739	1267	482	1270	1590	2109			1967	1811	1261				623	910			592					1563													1914	848	1261							785	423	1029			478	632																		506		959	1075	1487	1098			1102	1084			1095.20689655172	29	No
ENSG00000099817	POLR2E					487	753			1354	1488		2233	1631						1064						849		1663	1737				1230									1859		1422			810						1285					129	506				795																					1148			1181.21052631579	19	No
ENSG00000099822	HCN2						1790						2076	2324	2093			1225								1723	1472																			376	650																					456									824	619	845	1123							1256.85714285714	14	No
ENSG00000099860	GADD45B																										1327					320	270																																																		1591				877	4	No
ENSG00000099864	PALM							844						1744	1705						1204					842		1373	2192													1174																										1190										1148							926		1303.81818181818	11	No
ENSG00000099901	RANBP1																	1013			1267					1992		1046				1279																																																							1319.4	5	No
ENSG00000099917	MED15																																																																																		1639				1639	1	No
ENSG00000099942	CRKL											1704		2557																																																																									2130.5	2	No
ENSG00000099960	SLC7A4																946			1893																																																																			1419.5	2	No
ENSG00000099968	BCL2L13														2724																																																																								2724	1	No
ENSG00000099977	DDT						1782							1893	2669	883				821	1275							784	2258				698									1281			710																							855	981										1162	1735							1319.13333333333	15	No
ENSG00000099994	SUSD2					398		169	109							1623	715			537	278																																				343																										146	146			446.4	10	No
ENSG00000099998	GGT5																																181																																																						181	1	No
ENSG00000100028	SNRPD3											1284			2161																																																																	1762			1721				1732	4	No
ENSG00000100030	MAPK1	856	338			659	560	532		720	822	1453	1128	819	1130	448	1195			459	1059			705		476	852	1674	925	299	586									637		733	468	773			890						336	263	371	1068	225		462			879	964			464		1501	792	237					737	571	795	775	1139	916			683	629	699	435	737.489795918367	49	Yes
ENSG00000100075	SLC25A1	419			570	441	366	545	325				1183	1472	1925	128	1453			691	501			1194	677	1439	417	530	661			1235										1951		454									495			527	301	747					756						445						489				352	219			265	181			707.69696969697	33	No
ENSG00000100095	SEZ6L					984	2157	1254	1237	1114	942	1695	1579	1000	863	1632	1324				1748			1298	395	1444	1444		1008													1834	691				912				456		1724			354	767					1079	469																	1504			1294				1179.37931034483	29	No
ENSG00000100097	LGALS1	512	135	359	207	525	588	295	441	293	544	48	76	1250	269	319	89	95	315	54	117			108	164	695	511	269	65		561	627	429							93	385	771	300	258	160	52	77	62			865	483	124	797		486	274	30	23			418	190	67	236	194	83	8	362	360	311	258	279	88	183	127	123	79	79	52	384	239	63	83	177	35	277.154929577465	71	Yes
ENSG00000100116	GCAT										2300			2006																																																																					1113	1332			1687.75	4	No
ENSG00000100129	EIF3L															1117																1018												1457									1740																																		1333	4	No
