Domain	Domains Compared to	Gene Symbol	FDR	logFC	p	t statistic	Ensembl Gene ID
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPIG	0.02	-0.351	0.01	-2.61	ENSG00000138398
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPM1A	0.069	-0.213	0.04	-2.062	ENSG00000100614
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPM1K	0.028	-0.265	0.014	-2.464	ENSG00000163644
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP1CB	0.056	-0.144	0.032	-2.162	ENSG00000213639
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP1CC	0.044	0.246	0.024	2.275	ENSG00000186298
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP1R12A	0.024	-0.345	0.012	-2.527	ENSG00000058272
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP1R14A	0	1.098	0	12.414	ENSG00000167641
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP2CA	0.051	0.243	0.028	2.209	ENSG00000113575
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP2CB	0.231	-0.074	0.168	-1.382	ENSG00000104695
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP2R1A	0.814	0.028	0.757	0.31	ENSG00000105568
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP2R2B	0.183	-0.163	0.127	-1.532	ENSG00000156475
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP2R2C	0.842	-0.025	0.793	-0.263	ENSG00000074211
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP2R5C	0.104	-0.212	0.066	-1.849	ENSG00000078304
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP3CA	0	-0.57	0	-5.992	ENSG00000138814
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPP3CB	0.588	0.073	0.502	0.673	ENSG00000107758
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PPT1	0.457	0.12	0.368	0.903	ENSG00000131238
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRAF2	0.009	0.327	0.004	2.907	ENSG00000243279
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRDX1	0.001	0.202	0	3.759	ENSG00000117450
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRDX2	0	-0.377	0	-6.295	ENSG00000167815
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRDX3	0.342	0.111	0.262	1.125	ENSG00000165672
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRDX5	0.005	-0.188	0.002	-3.129	ENSG00000126432
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRDX6	0	-0.465	0	-5.281	ENSG00000117592
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PREPL	0.895	0.015	0.861	0.175	ENSG00000138078
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PREX1	0	0.719	0	6.29	ENSG00000124126
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRKACA	0.025	-0.284	0.013	-2.511	ENSG00000072062
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRKACB	0.005	0.189	0.002	3.149	ENSG00000142875
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRKAR1A	0.001	0.273	0	3.715	ENSG00000108946
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRKAR1B	0.014	-0.315	0.006	-2.751	ENSG00000188191
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRKCA	0.62	-0.074	0.54	-0.614	ENSG00000154229
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRKCB	0.122	-0.248	0.079	-1.767	ENSG00000166501
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRKCSH	0	0.793	0	7.706	ENSG00000130175
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRKCZ	0.926	0.01	0.906	0.119	ENSG00000067606
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRMT2	0.814	-0.032	0.756	-0.311	ENSG00000160310
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRNP	0	0.367	0	7.363	ENSG00000171867
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRPF19	0.697	0.052	0.623	0.493	ENSG00000110107
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRPF8	0.022	0.347	0.011	2.573	ENSG00000174231
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRR13	0.645	-0.072	0.565	-0.576	ENSG00000205352
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRR18	0	0.949	0	7.04	ENSG00000176381
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRRC2B	0.205	-0.18	0.145	-1.462	ENSG00000130723
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRRC2C	0	-0.491	0	-5.013	ENSG00000117523
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRRG1	0	1.159	0	7.516	ENSG00000130962
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRUNE2	0.009	0.324	0.004	2.911	ENSG00000106772
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PRXL2A	0	-0.3	0	-4.422	ENSG00000122378
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSAP	0.012	0.097	0.005	2.814	ENSG00000197746
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSAT1	0.008	0.349	0.004	2.948	ENSG00000135069
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSD2	0	-0.719	0	-5.641	ENSG00000146005
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSD3	0.226	-0.164	0.163	-1.398	ENSG00000156011
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSEN1	0	0.864	0	7.407	ENSG00000080815
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSIP1	0.912	-0.014	0.886	-0.144	ENSG00000164985
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMA1	0.734	0.046	0.664	0.435	ENSG00000129084
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMA2	0.009	0.333	0.004	2.897	ENSG00000106588
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMA4	0.171	0.205	0.117	1.572	ENSG00000041357
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMA6	0.566	0.091	0.478	0.71	ENSG00000100902
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMA7	0.172	0.144	0.118	1.567	ENSG00000101182
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMB1	0.001	0.413	0	3.799	ENSG00000008018
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMB2	0.009	0.325	0.004	2.9	ENSG00000126067
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMB3	0.002	0.399	0.001	3.428	ENSG00000277791
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMB4	0.061	0.203	0.035	2.121	ENSG00000159377
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMB5	0.044	0.21	0.024	2.268	ENSG00000100804
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMB6	0.13	0.211	0.086	1.727	ENSG00000142507
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMB7	0.064	0.183	0.037	2.094	ENSG00000136930
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMC1	0.495	0.075	0.408	0.83	ENSG00000100764
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMC2	0.002	0.458	0.001	3.379	ENSG00000161057
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMC3	0.524	-0.067	0.437	-0.778	ENSG00000165916
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMC5	0	-0.3	0	-4.046	ENSG00000087191
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMC6	0.858	0.028	0.815	0.234	ENSG00000100519
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMD1	0.077	-0.199	0.047	-2.001	ENSG00000173692
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMD10	0.148	0.226	0.1	1.652	ENSG00000101843
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMD12	0.178	-0.185	0.123	-1.547	ENSG00000197170
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMD2	0.177	-0.135	0.122	-1.552	ENSG00000175166
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMD4	0.827	-0.032	0.777	-0.283	ENSG00000159352
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMD7	0.898	0.017	0.866	0.169	ENSG00000103035
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PSMD8	0.017	0.281	0.008	2.674	ENSG00000099341
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTGDS	0	0.385	0	8.432	ENSG00000107317
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTGES3	0	0.269	0	4.957	ENSG00000110958
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTK2	0.041	0.292	0.022	2.3	ENSG00000169398
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTMA	0.082	0.163	0.05	1.97	ENSG00000187514
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTMS	0	-0.639	0	-5.046	ENSG00000159335
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTN	0	-0.587	0	-6.532	ENSG00000105894
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTOV1	0.004	0.315	0.002	3.201	ENSG00000104960
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTP4A2	0.003	-0.226	0.001	-3.3	ENSG00000184007
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTPA	0.082	-0.235	0.05	-1.972	ENSG00000119383
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTPN11	0.001	-0.32	0	-3.651	ENSG00000179295
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTPRA	0.001	-0.239	0	-3.541	ENSG00000132670
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTPRD	0	0.59	0	5.277	ENSG00000153707
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTPRF	0.889	0.019	0.851	0.188	ENSG00000142949
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTPRN	0	-0.564	0	-5.096	ENSG00000054356
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTPRN2	0.295	-0.149	0.222	-1.226	ENSG00000155093
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTPRZ1	0	-0.556	0	-5.71	ENSG00000106278
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PTTG1IP	0.416	0.127	0.329	0.978	ENSG00000183255
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PUF60	0.317	0.139	0.241	1.176	ENSG00000179950
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PUM1	0.052	-0.243	0.029	-2.193	ENSG00000134644
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PURA	0.003	-0.429	0.001	-3.286	ENSG00000185129
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PXK	0.002	0.43	0.001	3.472	ENSG00000168297
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PYGB	0.145	-0.181	0.097	-1.666	ENSG00000100994
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	PYURF	0.001	0.417	0	3.579	ENSG00000145337
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	QDPR	0.006	0.171	0.002	3.062	ENSG00000151552
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	QKI	0	0.56	0	8.933	ENSG00000112531
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	QSOX1	0	0.79	0	7.167	ENSG00000116260
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB10	0	0.481	0	4.118	ENSG00000084733
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB11A	0.463	0.107	0.374	0.89	ENSG00000103769
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB11B	0.012	0.275	0.006	2.797	ENSG00000185236
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB11FIP4	0.494	-0.104	0.406	-0.832	ENSG00000131242
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB14	0.006	0.347	0.003	3.049	ENSG00000119396
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB18	0.788	0.034	0.723	0.355	ENSG00000099246
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB1A	0.135	-0.136	0.089	-1.706	ENSG00000138069
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB1B	0.731	-0.046	0.66	-0.44	ENSG00000174903
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB21	0.001	0.315	0	3.54	ENSG00000080371
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB2A	0.229	0.091	0.166	1.388	ENSG00000104388
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB31	0	-0.597	0	-5.375	ENSG00000168461
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB3A	0.04	-0.264	0.022	-2.312	ENSG00000105649
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB3B	0	-0.79	0	-5.825	ENSG00000169213
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB3C	0.005	-0.362	0.002	-3.127	ENSG00000152932
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB40B	0	0.727	0	5.881	ENSG00000141542
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB4A	0.994	-0.001	0.992	-0.01	ENSG00000168118
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB5A	0.213	0.162	0.153	1.435	ENSG00000144566
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB5B	0.433	0.087	0.345	0.947	ENSG00000111540
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB5C	0.833	0.032	0.784	0.274	ENSG00000108774
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB6A	0.672	0.052	0.593	0.535	ENSG00000175582
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB6B	0.003	-0.291	0.001	-3.311	ENSG00000154917
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAB7A	0.036	0.177	0.019	2.366	ENSG00000075785
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RABAC1	0.073	0.206	0.043	2.034	ENSG00000105404
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RABEP1	0.048	-0.241	0.026	-2.237	ENSG00000029725
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RABGAP1	0.618	0.069	0.537	0.618	ENSG00000011454
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RABL6	0.386	-0.128	0.301	-1.036	ENSG00000196642
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAC1	0.932	-0.006	0.914	-0.108	ENSG00000136238
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RACK1	0.441	0.071	0.352	0.932	ENSG00000204628
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAD21	0.284	0.089	0.212	1.251	ENSG00000164754
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAD23A	0.62	0.068	0.539	0.615	ENSG00000179262
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAD23B	0.797	-0.042	0.734	-0.34	ENSG00000119318
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAD50	0.213	-0.202	0.153	-1.435	ENSG00000113522
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RALBP1	0	-0.6	0	-5.491	ENSG00000017797
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RALGDS	0	0.753	0	5.745	ENSG00000160271
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RALY	0.001	0.422	0.001	3.528	ENSG00000125970
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAMP1	0	-0.639	0	-6.554	ENSG00000132329
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAN	0.59	0.042	0.504	0.67	ENSG00000132341
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RANGAP1	0.814	-0.038	0.757	-0.309	ENSG00000100401
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAP1A	0.046	0.255	0.025	2.253	ENSG00000116473
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAP1GDS1	0.04	0.228	0.022	2.308	ENSG00000138698
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAP2A	0.003	0.375	0.001	3.269	ENSG00000125249
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RAPGEF5	0	1.272	0	10.382	ENSG00000136237
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RASGRP3	0	1.132	0	7.345	ENSG00000152689
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RASSF2	0	0.711	0	6.852	ENSG00000101265
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RB1CC1	0	-0.599	0	-6.132	ENSG00000023287
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RBBP4	0.018	0.327	0.009	2.651	ENSG00000162521
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RBM25	0	-0.57	0	-4.759	ENSG00000119707
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RBM26	0.949	-0.009	0.938	-0.078	ENSG00000139746
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RBM3	0.76	-0.054	0.691	-0.398	ENSG00000102317
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RBM39	0.103	-0.184	0.065	-1.852	ENSG00000131051
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RBM8A	0.912	0.015	0.885	0.145	ENSG00000265241
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RBPJ	0.006	0.32	0.003	3.032	ENSG00000168214
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RBX1	0	0.421	0	4.321	ENSG00000100387
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RCAN1	0.002	0.389	0.001	3.386	ENSG00000159200
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RCAN2	0.494	0.065	0.407	0.831	ENSG00000172348
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RCN2	0.015	-0.296	0.007	-2.724	ENSG00000117906
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RDH11	0.001	0.351	0	3.747	ENSG00000072042
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RDX	0.169	0.131	0.116	1.578	ENSG00000137710
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	REEP1	0.008	-0.334	0.004	-2.949	ENSG00000068615
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	REEP2	0	-0.422	0	-4.045	ENSG00000132563
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	REEP3	0	1.011	0	7.574	ENSG00000165476
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	REEP5	0.535	0.062	0.448	0.761	ENSG00000129625
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RERE	0.007	-0.355	0.003	-3.03	ENSG00000142599
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RETREG1	0	0.581	0	4.611	ENSG00000154153
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RETREG2	0.959	0.006	0.949	0.064	ENSG00000144567
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RFK	0.317	-0.149	0.241	-1.177	ENSG00000135002
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RGCC	0.036	-0.256	0.019	-2.355	ENSG00000102760
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RGS5	0	-0.62	0	-4.711	ENSG00000143248
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHBDD2	0.145	-0.171	0.097	-1.666	ENSG00000005486
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHEB	0.572	-0.059	0.485	-0.7	ENSG00000106615
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHOA	0	0.266	0	4.614	ENSG00000067560
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHOB	0	0.421	0	5.508	ENSG00000143878
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHOBTB3	0.069	-0.306	0.041	-2.057	ENSG00000164292
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHOC	0	-0.553	0	-5.345	ENSG00000155366
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHOG	0	0.897	0	7.195	ENSG00000177105
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHOQ	0.019	-0.352	0.009	-2.626	ENSG00000119729
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RHOU	0	0.781	0	6.105	ENSG00000116574
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNASE1	0	0.604	0	7.09	ENSG00000129538
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNASEK	0.587	0.054	0.5	0.675	ENSG00000219200
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RND2	0	-0.518	0	-5.812	ENSG00000108830
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNF11	0.009	-0.185	0.004	-2.935	ENSG00000123091
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNF13	0	1.16	0	11.455	ENSG00000082996
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNF130	0	0.901	0	8.685	ENSG00000113269
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNF141	0	0.518	0	4.508	ENSG00000110315
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNF187	0.075	-0.114	0.045	-2.019	ENSG00000168159
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNF220	0.013	0.293	0.006	2.762	ENSG00000187147
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNH1	0	0.812	0	6.955	ENSG00000023191
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RNPS1	0.805	-0.035	0.746	-0.324	ENSG00000205937
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ROCK1	0.005	-0.443	0.002	-3.147	ENSG00000067900
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ROGDI	0	0.757	0	6.759	ENSG00000067836
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	ROMO1	0.466	0.084	0.377	0.885	ENSG00000125995
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL10	0.908	-0.008	0.881	-0.151	ENSG00000147403
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL10A	0.296	-0.097	0.223	-1.222	ENSG00000198755
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL11	0.001	-0.191	0	-3.626	ENSG00000142676
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL12	0.427	-0.084	0.34	-0.957	ENSG00000197958
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL13	0	-0.248	0	-5.434	ENSG00000167526
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL13A	0.073	-0.103	0.043	-2.034	ENSG00000142541
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL14	0.001	-0.214	0	-3.621	ENSG00000188846
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL15	0.792	0.017	0.728	0.348	ENSG00000174748
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL17	0.006	-0.148	0.003	-3.056	ENSG00000265681
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL18	0.918	-0.008	0.895	-0.132	ENSG00000063177
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL18A	0.001	-0.225	0	-3.653	ENSG00000105640
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL19	0.807	-0.026	0.748	-0.322	ENSG00000108298
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL21	0	-0.259	0	-5.109	ENSG00000122026
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL22	0	-0.257	0	-3.997	ENSG00000116251
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL23	0.002	-0.178	0.001	-3.474	ENSG00000125691
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL23A	0	-0.235	0	-3.84	ENSG00000198242
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL24	0.017	-0.161	0.008	-2.681	ENSG00000114391
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL26	0.028	-0.178	0.015	-2.459	ENSG00000161970
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL27	0.296	-0.093	0.223	-1.223	ENSG00000131469
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL27A	0.002	-0.188	0.001	-3.368	ENSG00000166441
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL28	0.055	-0.11	0.032	-2.164	ENSG00000108107
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL29	0.049	-0.132	0.027	-2.226	ENSG00000162244
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL3	0	-0.214	0	-4.419	ENSG00000100316
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL30	0.015	-0.164	0.007	-2.733	ENSG00000156482
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL31	0	-0.234	0	-4.242	ENSG00000071082
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL32	0	-0.27	0	-5.469	ENSG00000144713
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL34	0.005	-0.184	0.002	-3.107	ENSG00000109475
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL35	0	-0.235	0	-4.018	ENSG00000136942
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL35A	0.077	-0.156	0.047	-2	ENSG00000182899
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL36	0.001	-0.219	0	-3.749	ENSG00000130255
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL36A	0.167	-0.152	0.114	-1.587	ENSG00000241343
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL36AL	0.332	-0.101	0.254	-1.145	ENSG00000165502
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL37	0.002	-0.229	0.001	-3.472	ENSG00000145592
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL37A	0	-0.246	0	-4.347	ENSG00000197756
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL38	0.275	-0.079	0.205	-1.272	ENSG00000172809
Oligo	Oligo-Astro, Oligo-Other Cell Types Mixed	RPL39	0	-0.228	0	-3.994	ENSG00000198918
